Index;Include?;Label;Path to Results;Max Layers;Layer Type;Secchi Depth (m);HMF?;VFF?;Vicoww;Dicoww;Mesh;Area (m2);Volume (m3);2D Cells;3D Cells;3D Links;Courant Limit;Max Timestep (s);Start;End;Simulation Period (h);Timesteps;Model Size;Run Time (h);Simulation Time/Run Time;Correlation;Sum of Squares Error;Mean Absolute Error;Mean Squared Error;Root Mean Squared Error;Mean Percent Error
19;1;40 Layer, Filtered, Secchi Depth=1;D:\Russell\Delft3D\Projects\ESwA\Results\2mnth\40_filtered_secchi1;40;z;1;1;1;1.00E-06;1.00E-06;High-Res;7.55E+06;2.54E+08;4935;65904;94081;0.7;30;25.04.2024 00:00;28.06.2024 00:00;1536;184345;29492434825;6.07;253.24312;0.9718;933.1118;0.4449;0.5012;0.7079;6.3757
18;1;40 Layer, Filtered, Secchi Depth=1, Courant=0.4;D:\Russell\Delft3D\Projects\ESwA\Results\2mnth\40_Secchi1_Courant4;40;z;1;1;1;1.00E-06;1.00E-06;High-Res;7.55E+06;2.54E+08;4935;65904;94081;0.4;30;25.04.2024 00:00;28.06.2024 00:00;1536;184345;29492434825;6.34;242.42658;0.9718;933.1118;0.4449;0.5012;0.7079;6.3757
17;1;40 Layer, Filtered, Secchi Depth=2;D:\Russell\Delft3D\Projects\ESwA\Stored Results\2mnth\40_filtered_2Secchi;40;z;2;1;1;1.00E-06;1.00E-06;High-Res;7.55E+06;2.54E+08;4935;65904;94081;0.7;30;25.04.2024 00:00;28.06.2024 00:00;1536;184345;29492434825;5.46;281.40408;0.9697;871.3135;0.4448;0.5074;0.7123;5.9688
4;0;20 Layer, Low Res, Filtered, Secchi Depth=1;D:\Russell\Delft3D\Projects\ESwA\Results\2mnth\20_filtered_secchi1_lowres;20;z;1;1;1;1.00E-06;1.00E-06;Low-Res;7.58E+06;2.59E+08;2603;18661;26203;0.7;30;25.04.2024 00:00;28.06.2024 00:00;1536;184345;8270454080;2.15;715.83186;0.9148;221.702;0.5527;1.0912;1.0446;1.5753
16;1;40 Layer, Filtered, Secchi Depth=7;D:\Russell\Delft3D\Projects\ESwA\Stored Results\2mnth\40_filtered;40;z;7;1;1;1.00E-06;1.00E-06;High-Res;7.55E+06;2.54E+08;4935;65904;94081;0.7;30;25.04.2024 00:00;28.06.2024 00:00;1536;184345;29492434825;6.89;222.92886;0.9005;671.6502;0.5893;1.3018;1.141;3.2155
15;1;40 Layer, Unfiltered, Secchi Depth=7;D:\Russell\Delft3D\Projects\ESwA\Stored Results\2mnth\40_unfiltered;40;z;7;0;0;1.00E-06;1.00E-06;High-Res;7.55E+06;2.54E+08;4935;65904;94081;0.7;30;25.04.2024 00:00;28.06.2024 00:00;1536;184443;29508113355;5.16;297.64787;0.8907;644.6042;0.6117;1.4052;1.1854;2.8727
14;1;20 Layer, Filtered, Secchi Depth=7;D:\Russell\Delft3D\Projects\ESwA\Stored Results\2mnth\20_filtered;20;z;7;1;1;1.00E-06;1.00E-06;High-Res;7.55E+06;2.54E+08;4935;34160;48822;0.7;30;25.04.2024 00:00;28.06.2024 00:00;1536;184345;15297316790;3.71;413.63475;0.8363;217.9334;0.7076;1.9586;1.3995;0.1416
13;1;20 Layer, Unfiltered, Secchi Depth=7;D:\Russell\Delft3D\Projects\ESwA\Stored Results\2mnth\20_unfiltered;20;z;7;0;0;1.00E-06;1.00E-06;High-Res;7.55E+06;2.54E+08;4935;34160;48822;0.7;30;25.04.2024 00:00;28.06.2024 00:00;1536;184345;15297316790;3.29;467.26816;0.8205;186.8871;0.7429;2.1177;1.4552;-0.6682
12;0;40 Layer, Low Res, Filtered, Secchi Depth=0;D:\Russell\Delft3D\Projects\ESwA\Results\2mnth\40_Low_Secc0;40;z;0;1;1;1.00E-06;1.00E-06;Low-Res;7.58E+06;2.59E+08;2603;9884;13938;0.7;30;25.04.2024 00:00;28.06.2024 00:00;1536;184345;4391466590;3.45;445.19743;0.9627;267.6413;1.2241;2.3332;1.5275;9.0534
11;1;40 Layer, Filtered, Secchi Depth=0;D:\Russell\Delft3D\Projects\ESwA\Results\2mnth\40_0Secchi;40;z;0;1;1;1.00E-06;1.00E-06;High-Res;7.55E+06;2.54E+08;4935;65904;94081;0.7;30;25.04.2024 00:00;28.06.2024 00:00;1536;184345;29492434825;6.08;252.57449;0.9628;269.6722;1.2356;2.3568;1.5352;9.0426
11;0;10 Layer, Low-Res Filtered, Secchi Depth=0;D:\Russell\Delft3D\Projects\ESwA\Results\2mnth\10_filtered_secchi0;10;z;0;1;1;1.00E-06;1.00E-06;Low-Res;7.58E+06;2.59E+08;2603;9884;13938;0.7;30;25.04.2024 00:00;28.06.2024 00:00;1536;184345;4391466590;0.98;1563.78941;0.7798;19.6073;0.9988;2.5458;1.5956;-4.859
10;1;10 Layer, Low Res, Filtered, Secchi Depth=0, 15s Max dt;D:\Russell\Delft3D\Projects\ESwA\Results\2mnth\10_filtered_15s;10;z;0;1;1;1.00E-06;1.00E-06;Low-Res;7.58E+06;2.59E+08;2603;9884;13938;0.7;15;25.04.2024 00:00;28.06.2024 00:00;1536;368658;8782170876;2.56;599.17905;0.7797;19.4567;0.999;2.5464;1.5957;-4.8648
