Time [yyyy.MM.dd HH:mm:ss],NH4 [gN/m3]
2024.08.01 00:00:00,0
2024.08.01 01:00:00,0
2024.08.01 02:00:00,0
2024.08.01 03:00:00,0
2024.08.01 04:00:00,0
2024.08.01 05:00:00,3.6240522844E-13
2024.08.01 06:00:00,3.37354574614E-13
2024.08.01 07:00:00,3.59586085951E-13
2024.08.01 08:00:00,4.05752688393E-13
2024.08.01 09:00:00,4.59668002446E-13
2024.08.01 10:00:00,5.09232792652E-13
2024.08.01 11:00:00,5.44851056633E-13
2024.08.01 12:00:00,5.84922681037E-13
2024.08.01 13:00:00,6.33206486376E-13
2024.08.01 14:00:00,6.90872923106E-13
2024.08.01 15:00:00,7.53971375351E-13
2024.08.01 16:00:00,8.16393719121E-13
2024.08.01 17:00:00,8.49893343636E-13
2024.08.01 18:00:00,8.98921291136E-13
2024.08.01 19:00:00,9.38619299472E-13
2024.08.01 20:00:00,9.8036509466E-13
2024.08.01 21:00:00,1.01113637862E-12
2024.08.01 22:00:00,1.03443241386E-12
2024.08.01 23:00:00,1.05471935439E-12
2024.08.02 00:00:00,1.064244721E-12
2024.08.02 01:00:00,1.07174046114E-12
2024.08.02 02:00:00,1.08294916003E-12
2024.08.02 03:00:00,1.08697003221E-12
2024.08.02 04:00:00,1.0894808276E-12
2024.08.02 05:00:00,1.09256256386E-12
2024.08.02 06:00:00,1.0982017162E-12
2024.08.02 07:00:00,1.10269638472E-12
2024.08.02 08:00:00,1.10915953071E-12
2024.08.02 09:00:00,1.11192890832E-12
2024.08.02 10:00:00,1.11406760553E-12
2024.08.02 11:00:00,1.11732335623E-12
2024.08.02 12:00:00,1.11566680373E-12
2024.08.02 13:00:00,1.11517869592E-12
2024.08.02 14:00:00,1.1157224233E-12
2024.08.02 15:00:00,1.1109806651E-12
2024.08.02 16:00:00,1.10064485737E-12
2024.08.02 17:00:00,1.0840504926E-12
2024.08.02 18:00:00,1.07346748678E-12
2024.08.02 19:00:00,1.07007360872E-12
2024.08.02 20:00:00,1.06904611032E-12
2024.08.02 21:00:00,1.06986565874E-12
2024.08.02 22:00:00,1.06928821266E-12
2024.08.02 23:00:00,1.06660665543E-12
2024.08.03 00:00:00,1.06316713246E-12
2024.08.03 01:00:00,1.05856328477E-12
2024.08.03 02:00:00,1.05450479078E-12
2024.08.03 03:00:00,1.05030502524E-12
2024.08.03 04:00:00,1.04618375595E-12
2024.08.03 05:00:00,1.08502638298E-12
2024.08.03 06:00:00,7.48509110596E-13
2024.08.03 07:00:00,7.1527386878E-13
2024.08.03 08:00:00,7.26011752886E-13
2024.08.03 09:00:00,7.49125587951E-13
2024.08.03 10:00:00,7.60542887349E-13
2024.08.03 11:00:00,7.63450663365E-13
2024.08.03 12:00:00,7.63559517263E-13
2024.08.03 13:00:00,7.56838602206E-13
2024.08.03 14:00:00,7.38201492122E-13
2024.08.03 15:00:00,7.28227753707E-13
2024.08.03 16:00:00,7.21206026757E-13
