Time [yyyy.MM.dd HH:mm:ss],NH4 [gN/m3]
2024.08.01 00:00:00,0
2024.08.01 01:00:00,0
2024.08.01 02:00:00,0
2024.08.01 03:00:00,0
2024.08.01 04:00:00,0
2024.08.01 05:00:00,0
2024.08.01 06:00:00,2_80048716422E-13
2024.08.01 07:00:00,9_93050585339E-13
2024.08.01 08:00:00,1_78775570736E-12
2024.08.01 09:00:00,2_46774410802E-12
2024.08.01 10:00:00,2_99742869414E-12
2024.08.01 11:00:00,3_29553290039E-12
2024.08.01 12:00:00,3_39289208708E-12
2024.08.01 13:00:00,3_39923293506E-12
2024.08.01 14:00:00,3_30717050967E-12
2024.08.01 15:00:00,3_24276803326E-12
2024.08.01 16:00:00,3_1445536279E-12
2024.08.01 17:00:00,3_01615590143E-12
2024.08.01 18:00:00,2_887164249E-12
2024.08.01 19:00:00,2_77129621334E-12
2024.08.01 20:00:00,2_71608191667E-12
2024.08.01 21:00:00,2_64251055933E-12
2024.08.01 22:00:00,2_56101910512E-12
2024.08.01 23:00:00,2_49510525088E-12
2024.08.02 00:00:00,2_43088752253E-12
2024.08.02 01:00:00,2_36941737931E-12
2024.08.02 02:00:00,2_33096896819E-12
2024.08.02 03:00:00,2_29475357987E-12
2024.08.02 04:00:00,2_26031498206E-12
2024.08.02 05:00:00,2_23072949002E-12
2024.08.02 06:00:00,2_20037464811E-12
2024.08.02 07:00:00,2_17513658994E-12
2024.08.02 08:00:00,2_12634684166E-12
2024.08.02 09:00:00,2_11535324847E-12
2024.08.02 10:00:00,2_10252063156E-12
2024.08.02 11:00:00,2_10001785926E-12
2024.08.02 12:00:00,2_10205724355E-12
2024.08.02 13:00:00,2_11147028681E-12
2024.08.02 14:00:00,2_13233358921E-12
2024.08.02 15:00:00,2_14623674735E-12
2024.08.02 16:00:00,2_15916780982E-12
2024.08.02 17:00:00,2_16167990626E-12
2024.08.02 18:00:00,2_15641762259E-12
2024.08.02 19:00:00,2_15785484099E-12
2024.08.02 20:00:00,2_16249934626E-12
2024.08.02 21:00:00,2_17427920286E-12
2024.08.02 22:00:00,2_19702641496E-12
2024.08.02 23:00:00,2_23311625268E-12
2024.08.03 00:00:00,2_30604359393E-12
2024.08.03 01:00:00,2_41315604652E-12
2024.08.03 02:00:00,2_5990999717E-12
2024.08.03 03:00:00,2_89636370443E-12
2024.08.03 04:00:00,3_32672019272E-12
2024.08.03 05:00:00,8_07864799363E-12
2024.08.03 06:00:00,1_0191182967E-11
2024.08.03 07:00:00,1_14467419918E-11
2024.08.03 08:00:00,1_22901957708E-11
2024.08.03 09:00:00,1_32368577904E-11
2024.08.03 10:00:00,1_43019467796E-11
2024.08.03 11:00:00,1_55081607278E-11
2024.08.03 12:00:00,1_69499882879E-11
2024.08.03 13:00:00,1_86957966469E-11
2024.08.03 14:00:00,2_07976864897E-11
2024.08.03 15:00:00,2_31296978098E-11
2024.08.03 16:00:00,2_57671349535E-11
