Time [yyyy.MM.dd HH:mm:ss],NH4 [gN/m3]
2024.08.01 00:00:00,0
2024.08.01 01:00:00,0
2024.08.01 02:00:00,0
2024.08.01 03:00:00,0
2024.08.01 04:00:00,0
2024.08.01 05:00:00,0_0288587454706
2024.08.01 06:00:00,0_00212127692066
2024.08.01 07:00:00,0_00042902759742
2024.08.01 08:00:00,0_000178243833943
2024.08.01 09:00:00,9_2950220278E-05
2024.08.01 10:00:00,5_88390612393E-05
2024.08.01 11:00:00,4_18931813329E-05
2024.08.01 12:00:00,3_43280698871E-05
2024.08.01 13:00:00,3_24269967678E-05
2024.08.01 14:00:00,3_01354102703E-05
2024.08.01 15:00:00,2_98180948448E-05
2024.08.01 16:00:00,2_88537066808E-05
2024.08.01 17:00:00,2_69316351478E-05
2024.08.01 18:00:00,2_49845015787E-05
2024.08.01 19:00:00,2_3351280106E-05
2024.08.01 20:00:00,2_17808355956E-05
2024.08.01 21:00:00,2_04372190638E-05
2024.08.01 22:00:00,1_94083786482E-05
2024.08.01 23:00:00,1_81990581041E-05
2024.08.02 00:00:00,1_72912732523E-05
2024.08.02 01:00:00,1_6585297999E-05
2024.08.02 02:00:00,1_58283546625E-05
2024.08.02 03:00:00,1_51801832544E-05
2024.08.02 04:00:00,1_45395888467E-05
2024.08.02 05:00:00,1_40008824019E-05
2024.08.02 06:00:00,1_33490038934E-05
2024.08.02 07:00:00,1_26257582451E-05
2024.08.02 08:00:00,1_18750722322E-05
2024.08.02 09:00:00,1_10159653559E-05
2024.08.02 10:00:00,9_82931214821E-06
2024.08.02 11:00:00,9_02939700609E-06
2024.08.02 12:00:00,8_05762010714E-06
2024.08.02 13:00:00,7_2289367381E-06
2024.08.02 14:00:00,6_86097155267E-06
2024.08.02 15:00:00,6_73841623211E-06
2024.08.02 16:00:00,7_06970786268E-06
2024.08.02 17:00:00,7_48813999962E-06
2024.08.02 18:00:00,7_62761328588E-06
2024.08.02 19:00:00,7_63475054555E-06
2024.08.02 20:00:00,7_55371593186E-06
2024.08.02 21:00:00,7_41152643968E-06
2024.08.02 22:00:00,7_26232383386E-06
2024.08.02 23:00:00,7_11202756065E-06
2024.08.03 00:00:00,6_97959785612E-06
2024.08.03 01:00:00,6_8057347562E-06
2024.08.03 02:00:00,6_6372076617E-06
2024.08.03 03:00:00,6_48772993372E-06
2024.08.03 04:00:00,6_34714069747E-06
2024.08.03 05:00:00,0_0334061048925
2024.08.03 06:00:00,0_00222749402747
2024.08.03 07:00:00,0_000502088980284
2024.08.03 08:00:00,0_000219924171688
2024.08.03 09:00:00,0_000130357220769
2024.08.03 10:00:00,8_75021723914E-05
2024.08.03 11:00:00,6_28495545243E-05
2024.08.03 12:00:00,4_68808248115E-05
2024.08.03 13:00:00,3_87568070437E-05
2024.08.03 14:00:00,3_36379707733E-05
2024.08.03 15:00:00,3_1559553463E-05
2024.08.03 16:00:00,3_04880104522E-05
2024.08.03 17:00:00,2_97850619972E-05
