Time [yyyy.MM.dd HH:mm:ss],NH4 [gN/m3]
2024.08.01 00:00:00,0
2024.08.01 01:00:00,0
2024.08.01 02:00:00,0
2024.08.01 03:00:00,0
2024.08.01 04:00:00,0
2024.08.01 05:00:00,3.62321611647E-06
2024.08.01 06:00:00,9.76432238531E-06
2024.08.01 07:00:00,1.61053212651E-05
2024.08.01 08:00:00,2.0565583327E-05
2024.08.01 09:00:00,2.2517182515E-05
2024.08.01 10:00:00,2.64511800196E-05
2024.08.01 11:00:00,2.81126303889E-05
2024.08.01 12:00:00,2.97946953651E-05
2024.08.01 13:00:00,2.87305174425E-05
2024.08.01 14:00:00,2.71333683486E-05
2024.08.01 15:00:00,2.65284616034E-05
2024.08.01 16:00:00,2.44731400016E-05
2024.08.01 17:00:00,2.16576900129E-05
2024.08.01 18:00:00,2.01747170649E-05
2024.08.01 19:00:00,2.00246231543E-05
2024.08.01 20:00:00,1.98413872567E-05
2024.08.01 21:00:00,1.92937386601E-05
2024.08.01 22:00:00,1.86710858543E-05
2024.08.01 23:00:00,1.79611342901E-05
2024.08.02 00:00:00,1.75159620994E-05
2024.08.02 01:00:00,1.69328468473E-05
2024.08.02 02:00:00,1.6230636902E-05
2024.08.02 03:00:00,1.57169397426E-05
2024.08.02 04:00:00,1.50672685777E-05
2024.08.02 05:00:00,1.45537351273E-05
2024.08.02 06:00:00,1.39065787153E-05
2024.08.02 07:00:00,1.31378956212E-05
2024.08.02 08:00:00,1.22972078316E-05
2024.08.02 09:00:00,1.1508449461E-05
2024.08.02 10:00:00,1.08943522719E-05
2024.08.02 11:00:00,1.08125605038E-05
2024.08.02 12:00:00,1.04633318188E-05
2024.08.02 13:00:00,9.91617707768E-06
2024.08.02 14:00:00,9.64230639511E-06
2024.08.02 15:00:00,9.36818651098E-06
2024.08.02 16:00:00,8.95788525668E-06
2024.08.02 17:00:00,8.53805886436E-06
2024.08.02 18:00:00,8.14121449366E-06
2024.08.02 19:00:00,7.86431701272E-06
2024.08.02 20:00:00,7.80544814916E-06
2024.08.02 21:00:00,7.7119711932E-06
2024.08.02 22:00:00,7.50042545405E-06
2024.08.02 23:00:00,7.2024927249E-06
2024.08.03 00:00:00,6.93208539815E-06
2024.08.03 01:00:00,6.75319643051E-06
2024.08.03 02:00:00,6.73187287248E-06
2024.08.03 03:00:00,6.70315648676E-06
2024.08.03 04:00:00,6.58719727653E-06
2024.08.03 05:00:00,9.73688111117E-06
2024.08.03 06:00:00,1.60320196301E-05
2024.08.03 07:00:00,2.20727215492E-05
2024.08.03 08:00:00,2.51689707511E-05
2024.08.03 09:00:00,2.8093389119E-05
2024.08.03 10:00:00,2.8997706977E-05
2024.08.03 11:00:00,3.04013465211E-05
2024.08.03 12:00:00,3.12577139994E-05
2024.08.03 13:00:00,3.22022387991E-05
2024.08.03 14:00:00,3.13917589665E-05
2024.08.03 15:00:00,3.17872218147E-05
2024.08.03 16:00:00,3.12101983582E-05
