Time [yyyy.MM.dd HH:mm:ss],NH4 [gN/m3]
2024.08.01 00:00:00,0
2024.08.01 01:00:00,0
2024.08.01 02:00:00,0
2024.08.01 03:00:00,0
2024.08.01 04:00:00,0
2024.08.01 05:00:00,0
2024.08.01 06:00:00,4_19126061982E-12
2024.08.01 07:00:00,6_53664362221E-12
2024.08.01 08:00:00,9_40375294994E-12
2024.08.01 09:00:00,1_18239567443E-11
2024.08.01 10:00:00,1_36390577651E-11
2024.08.01 11:00:00,1_44893957943E-11
2024.08.01 12:00:00,1_52859912228E-11
2024.08.01 13:00:00,2_03889440054E-11
2024.08.01 14:00:00,5_74439662504E-11
2024.08.01 15:00:00,3_8479630593E-10
2024.08.01 16:00:00,2_26601892805E-09
2024.08.01 17:00:00,5_97376770273E-09
2024.08.01 18:00:00,8_96761065405E-09
2024.08.01 19:00:00,1_0220650104E-08
2024.08.01 20:00:00,1_03822426212E-08
2024.08.01 21:00:00,1_05497885983E-08
2024.08.01 22:00:00,1_08357642858E-08
2024.08.01 23:00:00,1_14825082775E-08
2024.08.02 00:00:00,1_26397639022E-08
2024.08.02 01:00:00,1_42671341408E-08
2024.08.02 02:00:00,1_63138391684E-08
2024.08.02 03:00:00,1_82192927412E-08
2024.08.02 04:00:00,2_03236520946E-08
2024.08.02 05:00:00,2_27612950709E-08
2024.08.02 06:00:00,2_47697489186E-08
2024.08.02 07:00:00,2_53728433819E-08
2024.08.02 08:00:00,2_4838900714E-08
2024.08.02 09:00:00,2_44549234196E-08
2024.08.02 10:00:00,2_47838105594E-08
2024.08.02 11:00:00,2_59133727809E-08
2024.08.02 12:00:00,2_73238995874E-08
2024.08.02 13:00:00,2_64578190468E-08
2024.08.02 14:00:00,2_4202543969E-08
2024.08.02 15:00:00,2_37984085771E-08
2024.08.02 16:00:00,2_73569327192E-08
2024.08.02 17:00:00,3_61099878887E-08
2024.08.02 18:00:00,4_61729356971E-08
2024.08.02 19:00:00,5_12298470312E-08
2024.08.02 20:00:00,5_25881524993E-08
2024.08.02 21:00:00,5_31480708332E-08
2024.08.02 22:00:00,5_44900657928E-08
2024.08.02 23:00:00,5_67952831432E-08
2024.08.03 00:00:00,6_01622787144E-08
2024.08.03 01:00:00,6_46724913622E-08
2024.08.03 02:00:00,7_04232263615E-08
2024.08.03 03:00:00,7_68744286006E-08
2024.08.03 04:00:00,8_26269541676E-08
2024.08.03 05:00:00,8_78926087466E-08
2024.08.03 06:00:00,9_401625789E-08
2024.08.03 07:00:00,1_00947353587E-07
2024.08.03 08:00:00,1_07203952382E-07
2024.08.03 09:00:00,1_09133175386E-07
2024.08.03 10:00:00,1_06948149892E-07
2024.08.03 11:00:00,1_03772563875E-07
2024.08.03 12:00:00,1_00343825693E-07
2024.08.03 13:00:00,9_69795124206E-08
2024.08.03 14:00:00,9_39679978273E-08
2024.08.03 15:00:00,9_26035426119E-08
2024.08.03 16:00:00,9_4717726995E-08
