Time [yyyy.MM.dd HH:mm:ss],NO3 [gN/m3]
2024.08.01 00:00:00,0
2024.08.01 01:00:00,0
2024.08.01 02:00:00,0
2024.08.01 03:00:00,0
2024.08.01 04:00:00,0
2024.08.01 05:00:00,0
2024.08.01 06:00:00,2.82064221155E-13
2024.08.01 07:00:00,1.0018860741E-12
2024.08.01 08:00:00,1.80992005237E-12
2024.08.01 09:00:00,2.50892882858E-12
2024.08.01 10:00:00,3.06041585303E-12
2024.08.01 11:00:00,3.3789501145E-12
2024.08.01 12:00:00,3.49356004195E-12
2024.08.01 13:00:00,3.51378886924E-12
2024.08.01 14:00:00,3.43395841276E-12
2024.08.01 15:00:00,3.38082838634E-12
2024.08.01 16:00:00,3.29214672017E-12
2024.08.01 17:00:00,3.17126251474E-12
2024.08.01 18:00:00,3.04779378818E-12
2024.08.01 19:00:00,2.93598131917E-12
2024.08.01 20:00:00,2.88605229125E-12
2024.08.01 21:00:00,2.81862489078E-12
2024.08.01 22:00:00,2.75418143153E-12
2024.08.01 23:00:00,2.67516499404E-12
2024.08.02 00:00:00,2.62477214442E-12
2024.08.02 01:00:00,2.58383462196E-12
2024.08.02 02:00:00,2.55404963671E-12
2024.08.02 03:00:00,2.52958201261E-12
2024.08.02 04:00:00,2.49877484156E-12
2024.08.02 05:00:00,2.47406218776E-12
2024.08.02 06:00:00,2.4488633777E-12
2024.08.02 07:00:00,2.42888890424E-12
2024.08.02 08:00:00,2.38539353201E-12
2024.08.02 09:00:00,2.38477488625E-12
2024.08.02 10:00:00,2.37446390675E-12
2024.08.02 11:00:00,2.3776952629E-12
2024.08.02 12:00:00,2.38848480924E-12
2024.08.02 13:00:00,2.40771465265E-12
2024.08.02 14:00:00,2.4343099151E-12
2024.08.02 15:00:00,2.46223549362E-12
2024.08.02 16:00:00,2.48722093268E-12
2024.08.02 17:00:00,2.50084913715E-12
2024.08.02 18:00:00,2.50605590967E-12
2024.08.02 19:00:00,2.51364944484E-12
2024.08.02 20:00:00,2.52926802766E-12
2024.08.02 21:00:00,2.55307602316E-12
2024.08.02 22:00:00,2.58941284213E-12
2024.08.02 23:00:00,2.64139513213E-12
2024.08.03 00:00:00,2.73471328048E-12
2024.08.03 01:00:00,2.86964983026E-12
2024.08.03 02:00:00,3.09924395175E-12
2024.08.03 03:00:00,3.43468287665E-12
2024.08.03 04:00:00,3.9267612599E-12
2024.08.03 05:00:00,8.81925088514E-12
2024.08.03 06:00:00,1.11146708157E-11
2024.08.03 07:00:00,1.25724205352E-11
2024.08.03 08:00:00,1.36513899143E-11
2024.08.03 09:00:00,1.4885193772E-11
2024.08.03 10:00:00,1.62744609455E-11
2024.08.03 11:00:00,1.78429840347E-11
2024.08.03 12:00:00,1.97054265266E-11
2024.08.03 13:00:00,2.19447845312E-11
2024.08.03 14:00:00,2.46578087809E-11
2024.08.03 15:00:00,2.76874634331E-11
2024.08.03 16:00:00,3.11305391187E-11
