Time [yyyy.MM.dd HH:mm:ss],NO3 [gN/m3]
2024.08.01 00:00:00,0
2024.08.01 01:00:00,0
2024.08.01 02:00:00,0
2024.08.01 03:00:00,0
2024.08.01 04:00:00,0
2024.08.01 05:00:00,0_0288587454706
2024.08.01 06:00:00,0_00212981528603
2024.08.01 07:00:00,0_000432501168689
2024.08.01 08:00:00,0_000180418035598
2024.08.01 09:00:00,9_44686617004E-05
2024.08.01 10:00:00,6_00461862632E-05
2024.08.01 11:00:00,4_29294377682E-05
2024.08.01 12:00:00,3_53229406755E-05
2024.08.01 13:00:00,3_35041622748E-05
2024.08.01 14:00:00,3_126687443E-05
2024.08.01 15:00:00,3_10649775201E-05
2024.08.01 16:00:00,3_01836444123E-05
2024.08.01 17:00:00,2_82907294604E-05
2024.08.01 18:00:00,2_63544006884E-05
2024.08.01 19:00:00,2_47319985647E-05
2024.08.01 20:00:00,2_31621361308E-05
2024.08.01 21:00:00,2_18199529627E-05
2024.08.01 22:00:00,2_08022738661E-05
2024.08.01 23:00:00,1_95840802917E-05
2024.08.02 00:00:00,1_86799297808E-05
2024.08.02 01:00:00,1_79862690857E-05
2024.08.02 02:00:00,1_72324362211E-05
2024.08.02 03:00:00,1_65905421454E-05
2024.08.02 04:00:00,1_59522533068E-05
2024.08.02 05:00:00,1_54202698468E-05
2024.08.02 06:00:00,1_47595928865E-05
2024.08.02 07:00:00,1_40146412377E-05
2024.08.02 08:00:00,1_3233192476E-05
2024.08.02 09:00:00,1_23259078464E-05
2024.08.02 10:00:00,1_10444589154E-05
2024.08.02 11:00:00,1_01865889519E-05
2024.08.02 12:00:00,9_12906216399E-06
2024.08.02 13:00:00,8_22466608952E-06
2024.08.02 14:00:00,7_83663017501E-06
2024.08.02 15:00:00,7_72788735048E-06
2024.08.02 16:00:00,8_13906444819E-06
2024.08.02 17:00:00,8_65218044055E-06
2024.08.02 18:00:00,8_84765086084E-06
2024.08.02 19:00:00,8_89077728061E-06
2024.08.02 20:00:00,8_83096254256E-06
2024.08.02 21:00:00,8_69840096129E-06
2024.08.02 22:00:00,8_55592043081E-06
2024.08.02 23:00:00,8_41107976157E-06
2024.08.03 00:00:00,8_2852138803E-06
2024.08.03 01:00:00,8_10959227238E-06
2024.08.03 02:00:00,7_93861090642E-06
2024.08.03 03:00:00,7_7889435488E-06
2024.08.03 04:00:00,7_64842206991E-06
2024.08.03 05:00:00,0_0334074050188
2024.08.03 06:00:00,0_00223846524023
2024.08.03 07:00:00,0_000507735880092
2024.08.03 08:00:00,0_000224035858992
2024.08.03 09:00:00,0_000133828434628
2024.08.03 10:00:00,9_05641645659E-05
2024.08.03 11:00:00,6_56037009321E-05
2024.08.03 12:00:00,4_93752959301E-05
2024.08.03 13:00:00,4_11463515775E-05
2024.08.03 14:00:00,3_59710174962E-05
2024.08.03 15:00:00,3_3950091165E-05
2024.08.03 16:00:00,3_29773647536E-05
2024.08.03 17:00:00,3_23822023347E-05
