Time [yyyy.MM.dd HH:mm:ss],NO3 [gN/m3]
2024.08.01 00:00:00,0
2024.08.01 01:00:00,0
2024.08.01 02:00:00,0
2024.08.01 03:00:00,0
2024.08.01 04:00:00,0
2024.08.01 05:00:00,3.62321611647E-06
2024.08.01 06:00:00,9.80417644314E-06
2024.08.01 07:00:00,1.62369669852E-05
2024.08.01 08:00:00,2.08180699701E-05
2024.08.01 09:00:00,2.28865337704E-05
2024.08.01 10:00:00,2.69940446742E-05
2024.08.01 11:00:00,2.88070114038E-05
2024.08.01 12:00:00,3.06557558361E-05
2024.08.01 13:00:00,2.96836915368E-05
2024.08.01 14:00:00,2.81503635051E-05
2024.08.01 15:00:00,2.76361752185E-05
2024.08.01 16:00:00,2.56018101936E-05
2024.08.01 17:00:00,2.27538694162E-05
2024.08.01 18:00:00,2.12845516216E-05
2024.08.01 19:00:00,2.12096692849E-05
2024.08.01 20:00:00,2.10979433177E-05
2024.08.01 21:00:00,2.05972810363E-05
2024.08.01 22:00:00,2.00120084628E-05
2024.08.01 23:00:00,1.93276464415E-05
2024.08.02 00:00:00,1.89216771105E-05
2024.08.02 01:00:00,1.83636402653E-05
2024.08.02 02:00:00,1.76719695446E-05
2024.08.02 03:00:00,1.71789197339E-05
2024.08.02 04:00:00,1.65338133229E-05
2024.08.02 05:00:00,1.6032034182E-05
2024.08.02 06:00:00,1.5379731849E-05
2024.08.02 07:00:00,1.45880476339E-05
2024.08.02 08:00:00,1.37095430546E-05
2024.08.02 09:00:00,1.28816018332E-05
2024.08.02 10:00:00,1.22425881273E-05
2024.08.02 11:00:00,1.2196118405E-05
2024.08.02 12:00:00,1.18495818242E-05
2024.08.02 13:00:00,1.12768138933E-05
2024.08.02 14:00:00,1.10091586976E-05
2024.08.02 15:00:00,1.0739656318E-05
2024.08.02 16:00:00,1.03128404589E-05
2024.08.02 17:00:00,9.87120074569E-06
2024.08.02 18:00:00,9.45263218455E-06
2024.08.02 19:00:00,9.16907993087E-06
2024.08.02 20:00:00,9.13408894121E-06
2024.08.02 21:00:00,9.05834713194E-06
2024.08.02 22:00:00,8.84324890649E-06
2024.08.02 23:00:00,8.52334505907E-06
2024.08.03 00:00:00,8.2342476162E-06
2024.08.03 01:00:00,8.05408217275E-06
2024.08.03 02:00:00,8.05888703326E-06
2024.08.03 03:00:00,8.05432500783E-06
2024.08.03 04:00:00,7.94372772361E-06
2024.08.03 05:00:00,1.10970031528E-05
2024.08.03 06:00:00,1.74382403202E-05
2024.08.03 07:00:00,2.35650095419E-05
2024.08.03 08:00:00,2.6759249522E-05
2024.08.03 09:00:00,2.98117720376E-05
2024.08.03 10:00:00,3.08215057885E-05
2024.08.03 11:00:00,3.236377961E-05
2024.08.03 12:00:00,3.33577590936E-05
2024.08.03 13:00:00,3.44621112163E-05
2024.08.03 14:00:00,3.37432284141E-05
2024.08.03 15:00:00,3.42945095326E-05
2024.08.03 16:00:00,3.38252611982E-05
