Time [yyyy.MM.dd HH:mm:ss],NO3 [gN/m3]
2024.08.01 00:00:00,0
2024.08.01 01:00:00,0
2024.08.01 02:00:00,0
2024.08.01 03:00:00,0
2024.08.01 04:00:00,0
2024.08.01 05:00:00,0
2024.08.01 06:00:00,4.20084193126E-12
2024.08.01 07:00:00,6.58633260778E-12
2024.08.01 08:00:00,9.51910685693E-12
2024.08.01 09:00:00,1.20237292345E-11
2024.08.01 10:00:00,1.39263210339E-11
2024.08.01 11:00:00,1.48545984541E-11
2024.08.01 12:00:00,1.57358275715E-11
2024.08.01 13:00:00,2.10761512409E-11
2024.08.01 14:00:00,5.96285590349E-11
2024.08.01 15:00:00,4.01135819006E-10
2024.08.01 16:00:00,2.37246222667E-09
2024.08.01 17:00:00,6.28160901073E-09
2024.08.01 18:00:00,9.47075839974E-09
2024.08.01 19:00:00,1.08408881871E-08
2024.08.01 20:00:00,1.10597930814E-08
2024.08.01 21:00:00,1.12864233515E-08
2024.08.01 22:00:00,1.16415774798E-08
2024.08.01 23:00:00,1.23880345981E-08
2024.08.02 00:00:00,1.36931328498E-08
2024.08.02 01:00:00,1.55198254248E-08
2024.08.02 02:00:00,1.78191967848E-08
2024.08.02 03:00:00,1.99814085278E-08
2024.08.02 04:00:00,2.23780105557E-08
2024.08.02 05:00:00,2.51608334167E-08
2024.08.02 06:00:00,2.74882516749E-08
2024.08.02 07:00:00,2.826618406E-08
2024.08.02 08:00:00,2.77745098032E-08
2024.08.02 09:00:00,2.74431570801E-08
2024.08.02 10:00:00,2.7906571276E-08
2024.08.02 11:00:00,2.92754886999E-08
2024.08.02 12:00:00,3.0978522858E-08
2024.08.02 13:00:00,3.01093976418E-08
2024.08.02 14:00:00,2.76495413232E-08
2024.08.02 15:00:00,2.72983129435E-08
2024.08.02 16:00:00,3.15200239243E-08
2024.08.02 17:00:00,4.18058156981E-08
2024.08.02 18:00:00,5.3707271519E-08
2024.08.02 19:00:00,5.98525318196E-08
2024.08.02 20:00:00,6.16995237124E-08
2024.08.02 21:00:00,6.26127771852E-08
2024.08.02 22:00:00,6.44408473249E-08
2024.08.02 23:00:00,6.74220856922E-08
2024.08.03 00:00:00,7.16882979646E-08
2024.08.03 01:00:00,7.73485027139E-08
2024.08.03 02:00:00,8.4536239342E-08
2024.08.03 03:00:00,9.26229262177E-08
2024.08.03 04:00:00,9.99374805133E-08
2024.08.03 05:00:00,1.06731413041E-07
2024.08.03 06:00:00,1.14611964364E-07
2024.08.03 07:00:00,1.23521289197E-07
2024.08.03 08:00:00,1.31640376821E-07
2024.08.03 09:00:00,1.34482107228E-07
2024.08.03 10:00:00,1.32275246756E-07
2024.08.03 11:00:00,1.2882749445E-07
2024.08.03 12:00:00,1.25046057065E-07
2024.08.03 13:00:00,1.21324646329E-07
2024.08.03 14:00:00,1.18032929208E-07
2024.08.03 15:00:00,1.16801459171E-07
2024.08.03 16:00:00,1.19969200796E-07
