Time [yyyy.MM.dd HH:mm:ss],OXY [g/m3]
2024.08.01 00:00:00,10
2024.08.01 01:00:00,10_0027456284
2024.08.01 02:00:00,10_0055704117
2024.08.01 03:00:00,10_008480072
2024.08.01 04:00:00,10_011384964
2024.08.01 05:00:00,10_014248848
2024.08.01 06:00:00,10_0168352127
2024.08.01 07:00:00,10_0193681717
2024.08.01 08:00:00,10_0217952728
2024.08.01 09:00:00,10_0240459442
2024.08.01 10:00:00,10_0261735916
2024.08.01 11:00:00,10_0282640457
2024.08.01 12:00:00,10_0303850174
2024.08.01 13:00:00,10_0323562622
2024.08.01 14:00:00,10_0343370438
2024.08.01 15:00:00,10_0362691879
2024.08.01 16:00:00,10_0381822586
2024.08.01 17:00:00,10_0401554108
2024.08.01 18:00:00,10_0422182083
2024.08.01 19:00:00,10_0444936752
2024.08.01 20:00:00,10_0468521118
2024.08.01 21:00:00,10_0489206314
2024.08.01 22:00:00,10_0508232117
2024.08.01 23:00:00,10_0526227951
2024.08.02 00:00:00,10_0541296005
2024.08.02 01:00:00,10_0556583405
2024.08.02 02:00:00,10_0573234558
2024.08.02 03:00:00,10_0586261749
2024.08.02 04:00:00,10_0601015091
2024.08.02 05:00:00,10_061630249
2024.08.02 06:00:00,10_0628576279
2024.08.02 07:00:00,10_0640363693
2024.08.02 08:00:00,10_0650653839
2024.08.02 09:00:00,10_0664110184
2024.08.02 10:00:00,10_0683059692
2024.08.02 11:00:00,10_0699558258
2024.08.02 12:00:00,10_0711317062
2024.08.02 13:00:00,10_0721874237
2024.08.02 14:00:00,10_0727872849
2024.08.02 15:00:00,10_073513031
2024.08.02 16:00:00,10_0746622086
2024.08.02 17:00:00,10_0759439468
2024.08.02 18:00:00,10_0769577026
2024.08.02 19:00:00,10_07771492
2024.08.02 20:00:00,10_0782604218
2024.08.02 21:00:00,10_0787668228
2024.08.02 22:00:00,10_0793895721
2024.08.02 23:00:00,10_0800828934
2024.08.03 00:00:00,10_0804386139
2024.08.03 01:00:00,10_0805511475
2024.08.03 02:00:00,10_0803279877
2024.08.03 03:00:00,10_0799303055
2024.08.03 04:00:00,10_0794324875
2024.08.03 05:00:00,10_0788908005
2024.08.03 06:00:00,10_078327179
2024.08.03 07:00:00,10_0780239105
2024.08.03 08:00:00,10_0777988434
2024.08.03 09:00:00,10_077495575
2024.08.03 10:00:00,10_0774908066
2024.08.03 11:00:00,10_0777244568
2024.08.03 12:00:00,10_0778598785
2024.08.03 13:00:00,10_0777540207
2024.08.03 14:00:00,10_077372551
2024.08.03 15:00:00,10_0768222809
2024.08.03 16:00:00,10_0761232376
2024.08.03 17:00:00,10_0751829147
2024.08.03 18:00:00,10_0738830566
2024.08.03 19:00:00,10_0720205307
2024.08.03 20:00:00,10_0698413849
2024.08.03 21:00:00,10_0679750443
2024.08.03 22:00:00,10_066865921
2024.08.03 23:00:00,10_0664863586
2024.08.04 00:00:00,10_0661964417
2024.08.04 01:00:00,10_0658273697
2024.08.04 02:00:00,10_0654535294
2024.08.04 03:00:00,10_0652523041
2024.08.04 04:00:00,10_0652809143
2024.08.04 05:00:00,10_0655946732
2024.08.04 06:00:00,10_0659952164
2024.08.04 07:00:00,10_0667572021
2024.08.04 08:00:00,10_0677595139
2024.08.04 09:00:00,10_0690107346
2024.08.04 10:00:00,10_070104599
2024.08.04 11:00:00,10_0712041855
2024.08.04 12:00:00,10_0722694397
2024.08.04 13:00:00,10_0730791092
2024.08.04 14:00:00,10_0735816956
2024.08.04 15:00:00,10_0733919144
2024.08.04 16:00:00,10_0719833374
2024.08.04 17:00:00,10_0707063675
2024.08.04 18:00:00,10_0698194504
2024.08.04 19:00:00,10_0679206848
2024.08.04 20:00:00,10_0661697388
2024.08.04 21:00:00,10_0655984879
2024.08.04 22:00:00,10_0659170151
2024.08.04 23:00:00,10_0664567947
2024.08.05 00:00:00,10_0670595169
2024.08.05 01:00:00,10_067522049
2024.08.05 02:00:00,10_0677127838
2024.08.05 03:00:00,10_0686120987
2024.08.05 04:00:00,10_0694561005
2024.08.05 05:00:00,10_0699243546
2024.08.05 06:00:00,10_0705051422
2024.08.05 07:00:00,10_0714521408
2024.08.05 08:00:00,10_0722055435
2024.08.05 09:00:00,10_0725631714
2024.08.05 10:00:00,10_0730724335
2024.08.05 11:00:00,10_0738935471
2024.08.05 12:00:00,10_0746994019
2024.08.05 13:00:00,10_0756120682
2024.08.05 14:00:00,10_0765924454
2024.08.05 15:00:00,10_0771303177
2024.08.05 16:00:00,10_0769710541
2024.08.05 17:00:00,10_0768737793
2024.08.05 18:00:00,10_07700634
2024.08.05 19:00:00,10_0768947601
2024.08.05 20:00:00,10_076130867
2024.08.05 21:00:00,10_075340271
2024.08.05 22:00:00,10_0749645233
2024.08.05 23:00:00,10_0749969482
2024.08.06 00:00:00,10_074965477
2024.08.06 01:00:00,10_0744895935
2024.08.06 02:00:00,10_074215889
2024.08.06 03:00:00,10_0737886429
2024.08.06 04:00:00,10_0735988617
2024.08.06 05:00:00,10_0737886429
2024.08.06 06:00:00,10_0741596222
2024.08.06 07:00:00,10_0750293732
2024.08.06 08:00:00,10_0764226913
2024.08.06 09:00:00,10_0779533386
2024.08.06 10:00:00,10_079126358
2024.08.06 11:00:00,10_0798215866
2024.08.06 12:00:00,10_079908371
2024.08.06 13:00:00,10_0796260834
2024.08.06 14:00:00,10_0793762207
2024.08.06 15:00:00,10_0792541504
2024.08.06 16:00:00,10_079158783
2024.08.06 17:00:00,10_0790090561
2024.08.06 18:00:00,10_0787534714
2024.08.06 19:00:00,10_0786457062
2024.08.06 20:00:00,10_0785255432
2024.08.06 21:00:00,10_0783290863
2024.08.06 22:00:00,10_0771665573
2024.08.06 23:00:00,10_0761117935
2024.08.07 00:00:00,10_0760335922
2024.08.07 01:00:00,10_0767745972
2024.08.07 02:00:00,10_0771303177
2024.08.07 03:00:00,10_0773496628
2024.08.07 04:00:00,10_077375412
2024.08.07 05:00:00,10_07746315
2024.08.07 06:00:00,10_0773248672
2024.08.07 07:00:00,10_0771760941
2024.08.07 08:00:00,10_0770273209
2024.08.07 09:00:00,10_0764732361
2024.08.07 10:00:00,10_075966835
2024.08.07 11:00:00,10_0756158829
2024.08.07 12:00:00,10_0753765106
2024.08.07 13:00:00,10_0751371384
2024.08.07 14:00:00,10_0749425888
2024.08.07 15:00:00,10_0744333267
2024.08.07 16:00:00,10_0737600327
2024.08.07 17:00:00,10_0730371475
2024.08.07 18:00:00,10_0723419189
2024.08.07 19:00:00,10_0715579987
2024.08.07 20:00:00,10_0710897446
2024.08.07 21:00:00,10_0707406998
2024.08.07 22:00:00,10_0705184937
2024.08.07 23:00:00,10_0703220367
2024.08.08 00:00:00,10_0702362061
2024.08.08 01:00:00,10_0703277588
2024.08.08 02:00:00,10_0705184937
2024.08.08 03:00:00,10_0706920624
2024.08.08 04:00:00,10_0703802109
2024.08.08 05:00:00,10_0689744949
2024.08.08 06:00:00,10_067732811
2024.08.08 07:00:00,10_0671205521
2024.08.08 08:00:00,10_0664491653
2024.08.08 09:00:00,10_0656337738
2024.08.08 10:00:00,10_064412117
2024.08.08 11:00:00,10_0602045059
2024.08.08 12:00:00,10_0526666641
2024.08.08 13:00:00,10_0482940674
2024.08.08 14:00:00,10_0476875305
2024.08.08 15:00:00,10_0480260849
2024.08.08 16:00:00,10_0476045609
2024.08.08 17:00:00,10_0471067429
2024.08.08 18:00:00,10_0471315384
2024.08.08 19:00:00,10_047413826
2024.08.08 20:00:00,10_0478258133
2024.08.08 21:00:00,10_0480279922
2024.08.08 22:00:00,10_0482206345
2024.08.08 23:00:00,10_0489416122
2024.08.09 00:00:00,10_0503387451
2024.08.09 01:00:00,10_0517873764
2024.08.09 02:00:00,10_0531768799
2024.08.09 03:00:00,10_053976059
2024.08.09 04:00:00,10_055229187
2024.08.09 05:00:00,10_0566368103
2024.08.09 06:00:00,10_0571517944
2024.08.09 07:00:00,10_0570650101
2024.08.09 08:00:00,10_0574684143
2024.08.09 09:00:00,10_058380127
2024.08.09 10:00:00,10_05900383
2024.08.09 11:00:00,10_0591011047
2024.08.09 12:00:00,10_0588417053
2024.08.09 13:00:00,10_0576791763
2024.08.09 14:00:00,10_0553045273
2024.08.09 15:00:00,10_0550327301
2024.08.09 16:00:00,10_0568361282
2024.08.09 17:00:00,10_0575733185
2024.08.09 18:00:00,10_0562257767
2024.08.09 19:00:00,10_0548725128
2024.08.09 20:00:00,10_0553855896
2024.08.09 21:00:00,10_0566892624
2024.08.09 22:00:00,10_0497779846
2024.08.09 23:00:00,10_0358219147
2024.08.10 00:00:00,10_0318727493
2024.08.10 01:00:00,10_0321006775
2024.08.10 02:00:00,10_0329837799
2024.08.10 03:00:00,10_0340776443
2024.08.10 04:00:00,10_0350131989
2024.08.10 05:00:00,10_0362100601
2024.08.10 06:00:00,10_0376329422
2024.08.10 07:00:00,10_0389223099
2024.08.10 08:00:00,10_0400896072
2024.08.10 09:00:00,10_0409088135
2024.08.10 10:00:00,10_0411462784
2024.08.10 11:00:00,10_04018116
2024.08.10 12:00:00,10_0368690491
2024.08.10 13:00:00,10_0343971252
2024.08.10 14:00:00,10_0342960358
2024.08.10 15:00:00,10_0356235504
2024.08.10 16:00:00,10_0329236984
2024.08.10 17:00:00,10_0328912735
2024.08.10 18:00:00,10_0339365005
2024.08.10 19:00:00,10_0351514816
2024.08.10 20:00:00,10_0365066528
2024.08.10 21:00:00,10_0380496979
2024.08.10 22:00:00,10_0394382477
2024.08.10 23:00:00,10_0405921936
2024.08.11 00:00:00,10_0419664383
2024.08.11 01:00:00,10_0435581207
2024.08.11 02:00:00,10_0450439453
2024.08.11 03:00:00,10_0464200974
2024.08.11 04:00:00,10_0479021072
2024.08.11 05:00:00,10_0495996475
2024.08.11 06:00:00,10_0511245728
2024.08.11 07:00:00,10_0522050858
2024.08.11 08:00:00,10_0533180237
2024.08.11 09:00:00,10_0540838242
2024.08.11 10:00:00,10_0546035767
2024.08.11 11:00:00,10_0553216934
2024.08.11 12:00:00,10_0557546616
2024.08.11 13:00:00,10_0560998917
2024.08.11 14:00:00,10_0564584732
2024.08.11 15:00:00,10_0568504333
2024.08.11 16:00:00,10_0571842194
2024.08.11 17:00:00,10_0577087402
2024.08.11 18:00:00,10_0584182739
2024.08.11 19:00:00,10_0596284866
2024.08.11 20:00:00,10_0611658096
2024.08.11 21:00:00,10_0624809265
2024.08.11 22:00:00,10_0636606216
2024.08.11 23:00:00,10_0649147034
2024.08.12 00:00:00,10_0660114288
2024.08.12 01:00:00,10_0667734146
2024.08.12 02:00:00,10_0672960281
2024.08.12 03:00:00,10_0681333542
2024.08.12 04:00:00,10_0689029694
2024.08.12 05:00:00,10_0695018768
2024.08.12 06:00:00,10_0699520111
2024.08.12 07:00:00,10_0701332092
2024.08.12 08:00:00,10_0702505112
2024.08.12 09:00:00,10_0701236725
2024.08.12 10:00:00,10_0697879791
2024.08.12 11:00:00,10_0696439743
2024.08.12 12:00:00,10_069401741
2024.08.12 13:00:00,10_0695238113
2024.08.12 14:00:00,10_0688838959
2024.08.12 15:00:00,10_0659227371
2024.08.12 16:00:00,10_0654354095
2024.08.12 17:00:00,10_0651359558
2024.08.12 18:00:00,10_0652236938
2024.08.12 19:00:00,10_0638713837
2024.08.12 20:00:00,10_0626373291
2024.08.12 21:00:00,10_0622386932
2024.08.12 22:00:00,10_0564851761
2024.08.12 23:00:00,10_0559806824
2024.08.13 00:00:00,10_0554952621
2024.08.13 01:00:00,10_0549325943
2024.08.13 02:00:00,10_0549488068
2024.08.13 03:00:00,10_0552577972
2024.08.13 04:00:00,10_0558204651
2024.08.13 05:00:00,10_0563287735
2024.08.13 06:00:00,10_0567655563
2024.08.13 07:00:00,10_0572566986
2024.08.13 08:00:00,10_057803154
2024.08.13 09:00:00,10_0586118698
2024.08.13 10:00:00,10_0601015091
2024.08.13 11:00:00,10_0619525909
2024.08.13 12:00:00,10_0635957718
2024.08.13 13:00:00,10_0644302368
2024.08.13 14:00:00,10_0653400421
2024.08.13 15:00:00,10_0666074753
2024.08.13 16:00:00,10_0586271286
2024.08.13 17:00:00,10_0446367264
2024.08.13 18:00:00,10_038476944
2024.08.13 19:00:00,10_0378751755
2024.08.13 20:00:00,10_038690567
2024.08.13 21:00:00,10_0388774872
2024.08.13 22:00:00,10_0394792557
2024.08.13 23:00:00,10_0405769348
2024.08.14 00:00:00,10_0406932831
2024.08.14 01:00:00,10_039024353
2024.08.14 02:00:00,10_0148267746
2024.08.14 03:00:00,10_0056648254
2024.08.14 04:00:00,10_0029735565
2024.08.14 05:00:00,10_0031070709
2024.08.14 06:00:00,10_0038871765
2024.08.14 07:00:00,10_005563736
2024.08.14 08:00:00,10_0061864853
2024.08.14 09:00:00,10_0055847168
2024.08.14 10:00:00,10_0054311752
2024.08.14 11:00:00,10_0063686371
2024.08.14 12:00:00,10_008225441
2024.08.14 13:00:00,10_0087041855
2024.08.14 14:00:00,10_0036697388
2024.08.14 15:00:00,10_0049171448
2024.08.14 16:00:00,10_0066671371
2024.08.14 17:00:00,10_0063142776
2024.08.14 18:00:00,10_0079193115
2024.08.14 19:00:00,10_0101070404
2024.08.14 20:00:00,10_0097570419
2024.08.14 21:00:00,10_0121002197
2024.08.14 22:00:00,10_0132408142
2024.08.14 23:00:00,10_0159225464
2024.08.15 00:00:00,10_0185661316
2024.08.15 01:00:00,10_0210971832
2024.08.15 02:00:00,10_0230913162
2024.08.15 03:00:00,10_0252552032
2024.08.15 04:00:00,10_0275535583
2024.08.15 05:00:00,10_0298089981
2024.08.15 06:00:00,10_0320167542
2024.08.15 07:00:00,10_0341892242
2024.08.15 08:00:00,10_0363435745
2024.08.15 09:00:00,10_0366239548
2024.08.15 10:00:00,10_0385150909
2024.08.15 11:00:00,10_0404224396
2024.08.15 12:00:00,10_0422821045
2024.08.15 13:00:00,10_0438947678
2024.08.15 14:00:00,10_0453901291
2024.08.15 15:00:00,10_046708107
2024.08.15 16:00:00,10_0471258163
2024.08.15 17:00:00,10_0479021072
2024.08.15 18:00:00,10_0483293533
2024.08.15 19:00:00,10_0474557877
2024.08.15 20:00:00,10_0462360382
2024.08.15 21:00:00,10_0465154648
2024.08.15 22:00:00,10_0454473495
2024.08.15 23:00:00,10_045624733
2024.08.16 00:00:00,10_0465898514
2024.08.16 01:00:00,10_0472068787
2024.08.16 02:00:00,10_0483207703
2024.08.16 03:00:00,10_0491533279
2024.08.16 04:00:00,10_0504808426
2024.08.16 05:00:00,10_0520334244
2024.08.16 06:00:00,10_0536108017
