Time [yyyy.MM.dd HH:mm:ss],OXY [g/m3]
2024.08.01 00:00:00,10
2024.08.01 01:00:00,10.1067934036
2024.08.01 02:00:00,10.0301790237
2024.08.01 03:00:00,10.0294837952
2024.08.01 04:00:00,10.0298843384
2024.08.01 05:00:00,10.0274991989
2024.08.01 06:00:00,10.0312366486
2024.08.01 07:00:00,10.0304336548
2024.08.01 08:00:00,10.0335731506
2024.08.01 09:00:00,10.0344238281
2024.08.01 10:00:00,10.0307779312
2024.08.01 11:00:00,10.0290355682
2024.08.01 12:00:00,10.0282287598
2024.08.01 13:00:00,10.0244865417
2024.08.01 14:00:00,10.0258159637
2024.08.01 15:00:00,10.0190706253
2024.08.01 16:00:00,10.0151700974
2024.08.01 17:00:00,10.0159492493
2024.08.01 18:00:00,10.0162115097
2024.08.01 19:00:00,10.0136089325
2024.08.01 20:00:00,10.0107822418
2024.08.01 21:00:00,10.0100193024
2024.08.01 22:00:00,10.0076932907
2024.08.01 23:00:00,10.0092287064
2024.08.02 00:00:00,10.0056295395
2024.08.02 01:00:00,10.0039577484
2024.08.02 02:00:00,10.0052375793
2024.08.02 03:00:00,10.002081871
2024.08.02 04:00:00,10.0049858093
2024.08.02 05:00:00,10.0015134811
2024.08.02 06:00:00,10.0029735565
2024.08.02 07:00:00,10.0061664581
2024.08.02 08:00:00,10.0060882568
2024.08.02 09:00:00,10.0068073273
2024.08.02 10:00:00,10.0116224289
2024.08.02 11:00:00,10.0091714859
2024.08.02 12:00:00,10.0119810104
2024.08.02 13:00:00,10.0151882172
2024.08.02 14:00:00,10.0150699615
2024.08.02 15:00:00,10.015455246
2024.08.02 16:00:00,10.0113964081
2024.08.02 17:00:00,10.0046215057
2024.08.02 18:00:00,10.0007781982
2024.08.02 19:00:00,9.99734115601
2024.08.02 20:00:00,9.99407863617
2024.08.02 21:00:00,9.99228096008
2024.08.02 22:00:00,9.9920873642
2024.08.02 23:00:00,9.99144172668
2024.08.03 00:00:00,9.98881340027
2024.08.03 01:00:00,9.98931026459
2024.08.03 02:00:00,9.98804759979
2024.08.03 03:00:00,9.98745441437
2024.08.03 04:00:00,9.9859457016
2024.08.03 05:00:00,9.98517227173
2024.08.03 06:00:00,9.98337364197
2024.08.03 07:00:00,9.98700428009
2024.08.03 08:00:00,9.99382305145
2024.08.03 09:00:00,9.99180221558
2024.08.03 10:00:00,9.99245357513
2024.08.03 11:00:00,9.99485492706
2024.08.03 12:00:00,9.9989528656
2024.08.03 13:00:00,9.99884796143
2024.08.03 14:00:00,10.0007886887
2024.08.03 15:00:00,9.99621486664
2024.08.03 16:00:00,9.99055290222
2024.08.03 17:00:00,9.98419475555
2024.08.03 18:00:00,9.97784614563
2024.08.03 19:00:00,9.9715719223
2024.08.03 20:00:00,9.97069835663
2024.08.03 21:00:00,9.96801757813
2024.08.03 22:00:00,9.96427154541
2024.08.03 23:00:00,9.96269416809
2024.08.04 00:00:00,9.96103477478
2024.08.04 01:00:00,9.96060180664
2024.08.04 02:00:00,9.9598274231
2024.08.04 03:00:00,9.95983505249
2024.08.04 04:00:00,9.96011066437
2024.08.04 05:00:00,9.9610710144
2024.08.04 06:00:00,9.96256446838
2024.08.04 07:00:00,9.96491909027
2024.08.04 08:00:00,9.96862125397
2024.08.04 09:00:00,9.97183799744
2024.08.04 10:00:00,9.97314357758
2024.08.04 11:00:00,9.97326946259
2024.08.04 12:00:00,9.96604728699
2024.08.04 13:00:00,9.95882701874
2024.08.04 14:00:00,9.95344543457
2024.08.04 15:00:00,9.95102500916
2024.08.04 16:00:00,9.94639110565
2024.08.04 17:00:00,9.95063209534
2024.08.04 18:00:00,9.94958686829
2024.08.04 19:00:00,9.95019054413
2024.08.04 20:00:00,9.95247173309
2024.08.04 21:00:00,9.95196819305
2024.08.04 22:00:00,9.95557785034
2024.08.04 23:00:00,9.95698547363
2024.08.05 00:00:00,9.95313739777
2024.08.05 01:00:00,9.95363140106
2024.08.05 02:00:00,9.95297813416
2024.08.05 03:00:00,9.95193862915
2024.08.05 04:00:00,9.95676040649
2024.08.05 05:00:00,9.95698928833
2024.08.05 06:00:00,9.95929050446
2024.08.05 07:00:00,9.96379375458
2024.08.05 08:00:00,9.96614456177
2024.08.05 09:00:00,9.96983909607
2024.08.05 10:00:00,9.96956539154
2024.08.05 11:00:00,9.96740245819
2024.08.05 12:00:00,9.95963191986
2024.08.05 13:00:00,9.95399093628
2024.08.05 14:00:00,9.94212532043
2024.08.05 15:00:00,9.93980407715
2024.08.05 16:00:00,9.93940925598
2024.08.05 17:00:00,9.94057941437
2024.08.05 18:00:00,9.94045543671
2024.08.05 19:00:00,9.93935203552
2024.08.05 20:00:00,9.94093704224
2024.08.05 21:00:00,9.94383144379
2024.08.05 22:00:00,9.94463729858
2024.08.05 23:00:00,9.94438838959
2024.08.06 00:00:00,9.94160652161
2024.08.06 01:00:00,9.9454498291
2024.08.06 02:00:00,9.94236278534
2024.08.06 03:00:00,9.94101428986
2024.08.06 04:00:00,9.94470405579
2024.08.06 05:00:00,9.94719982147
2024.08.06 06:00:00,9.94772911072
2024.08.06 07:00:00,9.95190143585
2024.08.06 08:00:00,9.95653629303
2024.08.06 09:00:00,9.96133995056
2024.08.06 10:00:00,9.96987819672
2024.08.06 11:00:00,9.97490596771
2024.08.06 12:00:00,9.96910953522
2024.08.06 13:00:00,9.96778774261
2024.08.06 14:00:00,9.95928478241
2024.08.06 15:00:00,9.9471321106
2024.08.06 16:00:00,9.94326877594
2024.08.06 17:00:00,9.93920993805
2024.08.06 18:00:00,9.93592739105
2024.08.06 19:00:00,9.93495082855
2024.08.06 20:00:00,9.93563556671
2024.08.06 21:00:00,9.93625545502
2024.08.06 22:00:00,9.93545818329
2024.08.06 23:00:00,9.93764781952
2024.08.07 00:00:00,9.94085979462
2024.08.07 01:00:00,9.94127750397
2024.08.07 02:00:00,9.94502830505
2024.08.07 03:00:00,9.94696712494
2024.08.07 04:00:00,9.95009994507
2024.08.07 05:00:00,9.94982051849
2024.08.07 06:00:00,9.95127296448
2024.08.07 07:00:00,9.95513057709
2024.08.07 08:00:00,9.95355606079
2024.08.07 09:00:00,9.95436763763
2024.08.07 10:00:00,9.95669460297
2024.08.07 11:00:00,9.95824718475
2024.08.07 12:00:00,9.9609375
2024.08.07 13:00:00,9.95478343964
2024.08.07 14:00:00,9.95366382599
2024.08.07 15:00:00,9.95100975037
2024.08.07 16:00:00,9.94802474976
2024.08.07 17:00:00,9.94491100311
2024.08.07 18:00:00,9.94075489044
2024.08.07 19:00:00,9.93635940552
2024.08.07 20:00:00,9.9336938858
2024.08.07 21:00:00,9.93161964417
2024.08.07 22:00:00,9.9293012619
2024.08.07 23:00:00,9.92656898499
2024.08.08 00:00:00,9.92499065399
2024.08.08 01:00:00,9.92694854736
2024.08.08 02:00:00,9.92723369598
2024.08.08 03:00:00,9.92440700531
2024.08.08 04:00:00,9.92477321625
2024.08.08 05:00:00,9.92599868774
2024.08.08 06:00:00,9.92605686188
2024.08.08 07:00:00,9.92672252655
2024.08.08 08:00:00,9.92827224731
2024.08.08 09:00:00,9.93089389801
2024.08.08 10:00:00,9.92615222931
2024.08.08 11:00:00,9.91771697998
2024.08.08 12:00:00,9.91440296173
2024.08.08 13:00:00,9.91296195984
2024.08.08 14:00:00,9.91133213043
2024.08.08 15:00:00,9.89550590515
2024.08.08 16:00:00,9.89589214325
2024.08.08 17:00:00,9.89826583862
2024.08.08 18:00:00,9.90455055237
2024.08.08 19:00:00,9.91198158264
2024.08.08 20:00:00,9.91655158997
2024.08.08 21:00:00,9.92127990723
2024.08.08 22:00:00,9.9265499115
2024.08.08 23:00:00,9.92931461334
2024.08.09 00:00:00,9.92824459076
2024.08.09 01:00:00,9.93108654022
2024.08.09 02:00:00,9.93199157715
2024.08.09 03:00:00,9.93495464325
2024.08.09 04:00:00,9.93767356873
2024.08.09 05:00:00,9.94156551361
2024.08.09 06:00:00,9.94587135315
2024.08.09 07:00:00,9.95096302032
2024.08.09 08:00:00,9.9616727829
2024.08.09 09:00:00,9.96966362
2024.08.09 10:00:00,9.97096252441
2024.08.09 11:00:00,9.95974159241
2024.08.09 12:00:00,9.94417953491
2024.08.09 13:00:00,9.93171215057
2024.08.09 14:00:00,9.92325496674
2024.08.09 15:00:00,9.9256477356
2024.08.09 16:00:00,9.92816543579
2024.08.09 17:00:00,9.93186283112
2024.08.09 18:00:00,9.93469905853
2024.08.09 19:00:00,9.9333820343
2024.08.09 20:00:00,9.93352413177
2024.08.09 21:00:00,9.9331407547
2024.08.09 22:00:00,9.88852310181
2024.08.09 23:00:00,9.8284702301
2024.08.10 00:00:00,9.87357139587
2024.08.10 01:00:00,9.89975547791
2024.08.10 02:00:00,9.90795993805
2024.08.10 03:00:00,9.9136724472
2024.08.10 04:00:00,9.91436672211
2024.08.10 05:00:00,9.91407394409
2024.08.10 06:00:00,9.91590118408
2024.08.10 07:00:00,9.91699504852
2024.08.10 08:00:00,9.92097377777
2024.08.10 09:00:00,9.92115020752
2024.08.10 10:00:00,9.92029380798
2024.08.10 11:00:00,9.91736984253
2024.08.10 12:00:00,9.91364860535
2024.08.10 13:00:00,9.9152803421
2024.08.10 14:00:00,9.91964817047
2024.08.10 15:00:00,9.92024707794
2024.08.10 16:00:00,9.88842105865
2024.08.10 17:00:00,9.9050655365
2024.08.10 18:00:00,9.91403961182
2024.08.10 19:00:00,9.91728591919
2024.08.10 20:00:00,9.92106151581
2024.08.10 21:00:00,9.9206161499
2024.08.10 22:00:00,9.92122554779
2024.08.10 23:00:00,9.92162418365
2024.08.11 00:00:00,9.92130756378
2024.08.11 01:00:00,9.9214849472
2024.08.11 02:00:00,9.92109107971
2024.08.11 03:00:00,9.92025756836
2024.08.11 04:00:00,9.92133331299
2024.08.11 05:00:00,9.9224653244
2024.08.11 06:00:00,9.92250728607
2024.08.11 07:00:00,9.9247674942
2024.08.11 08:00:00,9.92660999298
2024.08.11 09:00:00,9.92985057831
2024.08.11 10:00:00,9.92997550964
2024.08.11 11:00:00,9.93139076233
2024.08.11 12:00:00,9.92916297913
2024.08.11 13:00:00,9.92788505554
2024.08.11 14:00:00,9.92716407776
2024.08.11 15:00:00,9.92972183228
2024.08.11 16:00:00,9.92639160156
2024.08.11 17:00:00,9.92845058441
2024.08.11 18:00:00,9.92820262909
2024.08.11 19:00:00,9.92521476746
2024.08.11 20:00:00,9.92439365387
2024.08.11 21:00:00,9.92255306244
2024.08.11 22:00:00,9.92142295837
2024.08.11 23:00:00,9.92087554932
2024.08.12 00:00:00,9.91935062408
2024.08.12 01:00:00,9.91981220245
2024.08.12 02:00:00,9.92007446289
2024.08.12 03:00:00,9.92178630829
2024.08.12 04:00:00,9.92154407501
2024.08.12 05:00:00,9.92206001282
2024.08.12 06:00:00,9.92158794403
2024.08.12 07:00:00,9.92291355133
2024.08.12 08:00:00,9.9306974411
2024.08.12 09:00:00,9.9335269928
2024.08.12 10:00:00,9.93470001221
2024.08.12 11:00:00,9.94135379791
2024.08.12 12:00:00,9.93785095215
2024.08.12 13:00:00,9.93421936035
2024.08.12 14:00:00,9.92569637299
2024.08.12 15:00:00,9.90441036224
2024.08.12 16:00:00,9.9170589447
2024.08.12 17:00:00,9.9214963913
2024.08.12 18:00:00,9.92346763611
