Time [yyyy.MM.dd HH:mm:ss],NO3 [gN/m3]
2024.08.01 00:00:00,0
2024.08.01 01:00:00,0
2024.08.01 02:00:00,0
2024.08.01 03:00:00,0
2024.08.01 04:00:00,0
2024.08.01 05:00:00,3_62321611647E-06
2024.08.01 06:00:00,9_80417644314E-06
2024.08.01 07:00:00,1_62369669852E-05
2024.08.01 08:00:00,2_08180699701E-05
2024.08.01 09:00:00,2_28865337704E-05
2024.08.01 10:00:00,2_69940446742E-05
2024.08.01 11:00:00,2_88070114038E-05
2024.08.01 12:00:00,3_06557558361E-05
2024.08.01 13:00:00,2_96836915368E-05
2024.08.01 14:00:00,2_81503635051E-05
2024.08.01 15:00:00,2_76361752185E-05
2024.08.01 16:00:00,2_56018101936E-05
2024.08.01 17:00:00,2_27538694162E-05
2024.08.01 18:00:00,2_12845516216E-05
2024.08.01 19:00:00,2_12096692849E-05
2024.08.01 20:00:00,2_10979433177E-05
2024.08.01 21:00:00,2_05972810363E-05
2024.08.01 22:00:00,2_00120084628E-05
2024.08.01 23:00:00,1_93276464415E-05
2024.08.02 00:00:00,1_89216771105E-05
2024.08.02 01:00:00,1_83636402653E-05
2024.08.02 02:00:00,1_76719695446E-05
2024.08.02 03:00:00,1_71789197339E-05
2024.08.02 04:00:00,1_65338133229E-05
2024.08.02 05:00:00,1_6032034182E-05
2024.08.02 06:00:00,1_5379731849E-05
2024.08.02 07:00:00,1_45880476339E-05
2024.08.02 08:00:00,1_37095430546E-05
2024.08.02 09:00:00,1_28816018332E-05
2024.08.02 10:00:00,1_22425881273E-05
2024.08.02 11:00:00,1_2196118405E-05
2024.08.02 12:00:00,1_18495818242E-05
2024.08.02 13:00:00,1_12768138933E-05
2024.08.02 14:00:00,1_10091586976E-05
2024.08.02 15:00:00,1_0739656318E-05
2024.08.02 16:00:00,1_03128404589E-05
2024.08.02 17:00:00,9_87120074569E-06
2024.08.02 18:00:00,9_45263218455E-06
2024.08.02 19:00:00,9_16907993087E-06
2024.08.02 20:00:00,9_13408894121E-06
2024.08.02 21:00:00,9_05834713194E-06
2024.08.02 22:00:00,8_84324890649E-06
2024.08.02 23:00:00,8_52334505907E-06
2024.08.03 00:00:00,8_2342476162E-06
2024.08.03 01:00:00,8_05408217275E-06
2024.08.03 02:00:00,8_05888703326E-06
2024.08.03 03:00:00,8_05432500783E-06
2024.08.03 04:00:00,7_94372772361E-06
2024.08.03 05:00:00,1_10970031528E-05
2024.08.03 06:00:00,1_74382403202E-05
2024.08.03 07:00:00,2_35650095419E-05
2024.08.03 08:00:00,2_6759249522E-05
2024.08.03 09:00:00,2_98117720376E-05
2024.08.03 10:00:00,3_08215057885E-05
2024.08.03 11:00:00,3_236377961E-05
2024.08.03 12:00:00,3_33577590936E-05
2024.08.03 13:00:00,3_44621112163E-05
2024.08.03 14:00:00,3_37432284141E-05
2024.08.03 15:00:00,3_42945095326E-05
2024.08.03 16:00:00,3_38252611982E-05
