Time [yyyy.MM.dd HH:mm:ss],cTR1 [g/m3]
2024.08.01 00:00:00,0
2024.08.01 01:00:00,0
2024.08.01 02:00:00,0
2024.08.01 03:00:00,0
2024.08.01 04:00:00,0
2024.08.01 05:00:00,9_34613497705E-13
2024.08.01 06:00:00,3_82881096619E-12
2024.08.01 07:00:00,8_7017016856E-12
2024.08.01 08:00:00,1_24924827427E-11
2024.08.01 09:00:00,1_55296903809E-11
2024.08.01 10:00:00,1_68948622453E-11
2024.08.01 11:00:00,1_73314036733E-11
2024.08.01 12:00:00,1_67804589668E-11
2024.08.01 13:00:00,1_58295442726E-11
2024.08.01 14:00:00,1_44462358742E-11
2024.08.01 15:00:00,1_45294054565E-11
2024.08.01 16:00:00,1_34301875176E-11
2024.08.01 17:00:00,1_32626175667E-11
2024.08.01 18:00:00,1_33271223918E-11
2024.08.01 19:00:00,1_32272933925E-11
2024.08.01 20:00:00,1_32056058796E-11
2024.08.01 21:00:00,1_32727327393E-11
2024.08.01 22:00:00,1_32895318014E-11
2024.08.01 23:00:00,1_33342052677E-11
2024.08.02 00:00:00,1_32062338495E-11
2024.08.02 01:00:00,1_26581896007E-11
2024.08.02 02:00:00,1_20418319413E-11
2024.08.02 03:00:00,1_15034457654E-11
2024.08.02 04:00:00,1_10001443718E-11
2024.08.02 05:00:00,1_04650888649E-11
2024.08.02 06:00:00,9_80456601324E-12
2024.08.02 07:00:00,8_91371872147E-12
2024.08.02 08:00:00,7_64248213325E-12
2024.08.02 09:00:00,7_12220907251E-12
2024.08.02 10:00:00,7_19560175333E-12
2024.08.02 11:00:00,7_29602749744E-12
2024.08.02 12:00:00,7_45658743084E-12
2024.08.02 13:00:00,7_74157907918E-12
2024.08.02 14:00:00,8_22882820911E-12
2024.08.02 15:00:00,8_44469719846E-12
2024.08.02 16:00:00,8_60460834529E-12
2024.08.02 17:00:00,8_07836089689E-12
2024.08.02 18:00:00,8_51332285917E-12
2024.08.02 19:00:00,8_85875747758E-12
2024.08.02 20:00:00,9_31867864123E-12
2024.08.02 21:00:00,9_92828042001E-12
2024.08.02 22:00:00,1_04879117543E-11
2024.08.02 23:00:00,1_10110896095E-11
2024.08.03 00:00:00,1_16443616902E-11
2024.08.03 01:00:00,1_2338558994E-11
2024.08.03 02:00:00,1_30199470996E-11
2024.08.03 03:00:00,1_36179244964E-11
2024.08.03 04:00:00,1_42288810942E-11
2024.08.03 05:00:00,1_48294657804E-11
2024.08.03 06:00:00,1_54706455979E-11
2024.08.03 07:00:00,1_59565433783E-11
2024.08.03 08:00:00,1_63338197134E-11
2024.08.03 09:00:00,1_68488088065E-11
2024.08.03 10:00:00,1_72819952793E-11
2024.08.03 11:00:00,1_767426136E-11
2024.08.03 12:00:00,1_78977284382E-11
2024.08.03 13:00:00,1_80489997947E-11
2024.08.03 14:00:00,1_83485327626E-11
2024.08.03 15:00:00,1_87051277245E-11
2024.08.03 16:00:00,1_91584092341E-11
