Time [yyyy.MM.dd HH:mm:ss],cTR1 [g/m3]
2024.08.01 00:00:00,0
2024.08.01 01:00:00,0
2024.08.01 02:00:00,0
2024.08.01 03:00:00,0
2024.08.01 04:00:00,0
2024.08.01 05:00:00,0
2024.08.01 06:00:00,9.67037006028E-11
2024.08.01 07:00:00,1.7208605374E-10
2024.08.01 08:00:00,2.15642934065E-10
2024.08.01 09:00:00,2.38106256933E-10
2024.08.01 10:00:00,2.40087005832E-10
2024.08.01 11:00:00,2.28542088032E-10
2024.08.01 12:00:00,2.11248740722E-10
2024.08.01 13:00:00,1.92743696004E-10
2024.08.01 14:00:00,1.75380959755E-10
2024.08.01 15:00:00,1.62332022824E-10
2024.08.01 16:00:00,1.525368859E-10
2024.08.01 17:00:00,1.45348622027E-10
2024.08.01 18:00:00,1.39422376422E-10
2024.08.01 19:00:00,1.3522365172E-10
2024.08.01 20:00:00,1.32278479836E-10
2024.08.01 21:00:00,1.29491820045E-10
2024.08.01 22:00:00,1.26094190644E-10
2024.08.01 23:00:00,1.23935098295E-10
2024.08.02 00:00:00,1.22681587111E-10
2024.08.02 01:00:00,1.22089602317E-10
2024.08.02 02:00:00,1.2185671916E-10
2024.08.02 03:00:00,1.21728196967E-10
2024.08.02 04:00:00,1.2181600173E-10
2024.08.02 05:00:00,1.22190077501E-10
2024.08.02 06:00:00,1.22596224839E-10
2024.08.02 07:00:00,1.23977328403E-10
2024.08.02 08:00:00,1.25305252285E-10
2024.08.02 09:00:00,1.26550298019E-10
2024.08.02 10:00:00,1.28492813611E-10
2024.08.02 11:00:00,1.32418340182E-10
2024.08.02 12:00:00,1.37043529302E-10
2024.08.02 13:00:00,1.42407571846E-10
2024.08.02 14:00:00,1.48217674245E-10
2024.08.02 15:00:00,1.53229581801E-10
2024.08.02 16:00:00,1.56893040226E-10
2024.08.02 17:00:00,1.58602533884E-10
2024.08.02 18:00:00,1.58912411008E-10
2024.08.02 19:00:00,1.58857302313E-10
2024.08.02 20:00:00,1.58771079617E-10
2024.08.02 21:00:00,1.59948942979E-10
2024.08.02 22:00:00,1.62355739963E-10
2024.08.02 23:00:00,1.65951835607E-10
2024.08.03 00:00:00,1.71368919055E-10
2024.08.03 01:00:00,1.8003033786E-10
2024.08.03 02:00:00,1.9566162579E-10
2024.08.03 03:00:00,2.22256948956E-10
2024.08.03 04:00:00,2.60171717503E-10
2024.08.03 05:00:00,3.11305287104E-10
2024.08.03 06:00:00,3.78698628012E-10
2024.08.03 07:00:00,4.58766885592E-10
2024.08.03 08:00:00,5.59095936215E-10
2024.08.03 09:00:00,6.80195233471E-10
2024.08.03 10:00:00,8.09468769791E-10
2024.08.03 11:00:00,9.45866163171E-10
2024.08.03 12:00:00,1.09854625396E-09
2024.08.03 13:00:00,1.27762589397E-09
2024.08.03 14:00:00,1.48759671248E-09
2024.08.03 15:00:00,1.7197601121E-09
2024.08.03 16:00:00,1.98297533949E-09
