Time [yyyy.MM.dd HH:mm:ss],cTR1 [g/m3]
2024.08.01 00:00:00,0
2024.08.01 01:00:00,0
2024.08.01 02:00:00,0
2024.08.01 03:00:00,0
2024.08.01 04:00:00,0
2024.08.01 05:00:00,2_38502025604
2024.08.01 06:00:00,0_175664976239
2024.08.01 07:00:00,0_0356003642082
2024.08.01 08:00:00,0_0148207386956
2024.08.01 09:00:00,0_00774458097294
2024.08.01 10:00:00,0_00491261295974
2024.08.01 11:00:00,0_00350506627001
2024.08.01 12:00:00,0_00287814042531
2024.08.01 13:00:00,0_00272442772985
2024.08.01 14:00:00,0_00253728404641
2024.08.01 15:00:00,0_00251582916826
2024.08.01 16:00:00,0_00243955967017
2024.08.01 17:00:00,0_00228191562928
2024.08.01 18:00:00,0_00212144199759
2024.08.01 19:00:00,0_00198691198602
2024.08.01 20:00:00,0_00185714743566
2024.08.01 21:00:00,0_00174616393633
2024.08.01 22:00:00,0_00166159705259
2024.08.01 23:00:00,0_00156128650997
2024.08.02 00:00:00,0_00148641329724
2024.08.02 01:00:00,0_00142857700121
2024.08.02 02:00:00,0_00136614835355
2024.08.02 03:00:00,0_00131283991504
2024.08.02 04:00:00,0_00125999341253
2024.08.02 05:00:00,0_00121575011872
2024.08.02 06:00:00,0_00116151222028
2024.08.02 07:00:00,0_00110084295738
2024.08.02 08:00:00,0_00103753164876
2024.08.02 09:00:00,0_000964540231507
2024.08.02 10:00:00,0_000862552551553
2024.08.02 11:00:00,0_000794049061369
2024.08.02 12:00:00,0_00071019353345
2024.08.02 13:00:00,0_000638578669168
2024.08.02 14:00:00,0_000607339025009
2024.08.02 15:00:00,0_000597781210672
2024.08.02 16:00:00,0_000628461770248
2024.08.02 17:00:00,0_00066695548594
2024.08.02 18:00:00,0_00068079616176
2024.08.02 19:00:00,0_000682873185724
2024.08.02 20:00:00,0_000677052943502
2024.08.02 21:00:00,0_000665699597448
2024.08.02 22:00:00,0_00065364659531
2024.08.02 23:00:00,0_000641450867988
2024.08.03 00:00:00,0_000630777503829
2024.08.03 01:00:00,0_000616336066741
2024.08.03 02:00:00,0_000602306739893
2024.08.03 03:00:00,0_000589945411775
2024.08.03 04:00:00,0_000578329258133
2024.08.03 05:00:00,0_000566613860428
2024.08.03 06:00:00,0_000554389844183
2024.08.03 07:00:00,0_000537023763172
2024.08.03 08:00:00,0_000516308820806
2024.08.03 09:00:00,0_000499298796058
2024.08.03 10:00:00,0_000479154317873
2024.08.03 11:00:00,0_00045828014845
2024.08.03 12:00:00,0_000435632711742
2024.08.03 13:00:00,0_000421868753619
2024.08.03 14:00:00,0_000407952902606
2024.08.03 15:00:00,0_000405344791943
2024.08.03 16:00:00,0_00040722056292
2024.08.03 17:00:00,0_000409427448176
2024.08.03 18:00:00,0_000409953645431
2024.08.03 19:00:00,0_000409505184507
2024.08.03 20:00:00,0_000403960002586
2024.08.03 21:00:00,0_000399113429012
2024.08.03 22:00:00,0_000394818955101
