Time [yyyy.MM.dd HH:mm:ss],cTR1 [g/m3]
2024.08.01 00:00:00,0
2024.08.01 01:00:00,0
2024.08.01 02:00:00,0
2024.08.01 03:00:00,0
2024.08.01 04:00:00,0
2024.08.01 05:00:00,0_000299442268442
2024.08.01 06:00:00,0_000808616692666
2024.08.01 07:00:00,0_00133645848837
2024.08.01 08:00:00,0_00171006831806
2024.08.01 09:00:00,0_00187618634664
2024.08.01 10:00:00,0_00220848014578
2024.08.01 11:00:00,0_00235205097124
2024.08.01 12:00:00,0_00249795219861
2024.08.01 13:00:00,0_00241380999796
2024.08.01 14:00:00,0_00228445138782
2024.08.01 15:00:00,0_00223820772953
2024.08.01 16:00:00,0_00206921249628
2024.08.01 17:00:00,0_00183518789709
2024.08.01 18:00:00,0_00171319243964
2024.08.01 19:00:00,0_0017038959777
2024.08.01 20:00:00,0_00169170752633
2024.08.01 21:00:00,0_00164838903584
2024.08.01 22:00:00,0_00159847480245
2024.08.01 23:00:00,0_00154085853137
2024.08.02 00:00:00,0_00150568748359
2024.08.02 01:00:00,0_00145853240974
2024.08.02 02:00:00,0_00140093406662
2024.08.02 03:00:00,0_00135933293495
2024.08.02 04:00:00,0_00130582973361
2024.08.02 05:00:00,0_00126387481578
2024.08.02 06:00:00,0_00121017813217
2024.08.02 07:00:00,0_00114570010919
2024.08.02 08:00:00,0_00107465905603
2024.08.02 09:00:00,0_00100785330869
2024.08.02 10:00:00,0_000956071948167
2024.08.02 11:00:00,0_000950771849602
2024.08.02 12:00:00,0_000922021223232
2024.08.02 13:00:00,0_000875743455254
2024.08.02 14:00:00,0_000853366334923
2024.08.02 15:00:00,0_0008309026598
2024.08.02 16:00:00,0_000796311011072
2024.08.02 17:00:00,0_000760713242926
2024.08.02 18:00:00,0_000727018516045
2024.08.02 19:00:00,0_000703859433997
2024.08.02 20:00:00,0_000699980941135
2024.08.02 21:00:00,0_00069298845483
2024.08.02 22:00:00,0_0006753585767
2024.08.02 23:00:00,0_000649828172754
2024.08.03 00:00:00,0_000626708148047
2024.08.03 01:00:00,0_000611871189903
2024.08.03 02:00:00,0_000611188588664
2024.08.03 03:00:00,0_000609813490883
2024.08.03 04:00:00,0_000600451661739
2024.08.03 05:00:00,0_000590564159211
2024.08.03 06:00:00,0_000581045169383
2024.08.03 07:00:00,0_000564337882679
2024.08.03 08:00:00,0_000545942224562
2024.08.03 09:00:00,0_00053058960475
2024.08.03 10:00:00,0_000511922116857
2024.08.03 11:00:00,0_000497996981721
2024.08.03 12:00:00,0_000483238109155
2024.08.03 13:00:00,0_000473205203889
2024.08.03 14:00:00,0_000457456102595
2024.08.03 15:00:00,0_000453745247796
2024.08.03 16:00:00,0_0004437121097
2024.08.03 17:00:00,0_000436555099441
2024.08.03 18:00:00,0_000428017228842
2024.08.03 19:00:00,0_000422590790549
2024.08.03 20:00:00,0_0004124486004
2024.08.03 21:00:00,0_000395030103391
2024.08.03 22:00:00,0_000390571949538
