Time [yyyy.MM.dd HH:mm:ss],cTR1 [g/m3]
2024.08.01 00:00:00,0
2024.08.01 01:00:00,0
2024.08.01 02:00:00,0
2024.08.01 03:00:00,0
2024.08.01 04:00:00,0
2024.08.01 05:00:00,5_46877210184E-09
2024.08.01 06:00:00,3_30454530406E-09
2024.08.01 07:00:00,2_35251129688E-09
2024.08.01 08:00:00,1_90558857582E-09
2024.08.01 09:00:00,1_65807834129E-09
2024.08.01 10:00:00,1_50473389304E-09
2024.08.01 11:00:00,1_41744616045E-09
2024.08.01 12:00:00,1_42388978386E-09
2024.08.01 13:00:00,1_8501850052E-09
2024.08.01 14:00:00,4_99005858856E-09
2024.08.01 15:00:00,3_26611697687E-08
2024.08.01 16:00:00,1_9191311651E-07
2024.08.01 17:00:00,5_067097959E-07
2024.08.01 18:00:00,7_62226761708E-07
2024.08.01 19:00:00,8_70618805493E-07
2024.08.01 20:00:00,8_86316854576E-07
2024.08.01 21:00:00,9_02580950424E-07
2024.08.01 22:00:00,9_29056909627E-07
2024.08.01 23:00:00,9_8661564607E-07
2024.08.02 00:00:00,1_08835513402E-06
2024.08.02 01:00:00,1_23108054595E-06
2024.08.02 02:00:00,1_4106716435E-06
2024.08.02 03:00:00,1_57875513196E-06
2024.08.02 04:00:00,1_76473940883E-06
2024.08.02 05:00:00,1_98045495381E-06
2024.08.02 06:00:00,2_15961358663E-06
2024.08.02 07:00:00,2_21666914513E-06
2024.08.02 08:00:00,2_17426213567E-06
2024.08.02 09:00:00,2_14469855564E-06
2024.08.02 10:00:00,2_17744172915E-06
2024.08.02 11:00:00,2_28067074204E-06
2024.08.02 12:00:00,2_40932035922E-06
2024.08.02 13:00:00,2_33760624724E-06
2024.08.02 14:00:00,2_1427572392E-06
2024.08.02 15:00:00,2_11153701457E-06
2024.08.02 16:00:00,2_43303361458E-06
2024.08.02 17:00:00,3_21976881423E-06
2024.08.02 18:00:00,4_1273970055E-06
2024.08.02 19:00:00,4_59030343336E-06
2024.08.02 20:00:00,4_72275769425E-06
2024.08.02 21:00:00,4_78363426737E-06
2024.08.02 22:00:00,4_91462833452E-06
2024.08.02 23:00:00,5_13307668371E-06
2024.08.03 00:00:00,5_44849763173E-06
2024.08.03 01:00:00,5_86876330999E-06
2024.08.03 02:00:00,6_40341113467E-06
2024.08.03 03:00:00,7_00415102983E-06
2024.08.03 04:00:00,7_54411394155E-06
2024.08.03 05:00:00,8_04258615972E-06
2024.08.03 06:00:00,8_62124670675E-06
2024.08.03 07:00:00,9_27574819798E-06
2024.08.03 08:00:00,9_86967006611E-06
2024.08.03 09:00:00,1_0066672985E-05
2024.08.03 10:00:00,9_88502233668E-06
2024.08.03 11:00:00,9_61112618825E-06
2024.08.03 12:00:00,9_31291560846E-06
2024.08.03 13:00:00,9_01973362488E-06
2024.08.03 14:00:00,8_75870046002E-06
2024.08.03 15:00:00,8_65042966325E-06
2024.08.03 16:00:00,8_865991731E-06
