Time [yyyy.MM.dd HH:mm:ss],dTR1 [g/m3]
2024.08.01 00:00:00,0
2024.08.01 01:00:00,0
2024.08.01 02:00:00,0
2024.08.01 03:00:00,0
2024.08.01 04:00:00,0
2024.08.01 05:00:00,0
2024.08.01 06:00:00,9.66581190087E-11
2024.08.01 07:00:00,1.71938477345E-10
2024.08.01 08:00:00,2.15371859236E-10
2024.08.01 09:00:00,2.37716180074E-10
2024.08.01 10:00:00,2.39599173835E-10
2024.08.01 11:00:00,2.2753736395E-10
2024.08.01 12:00:00,2.09989539646E-10
2024.08.01 13:00:00,1.91401769434E-10
2024.08.01 14:00:00,1.74025613364E-10
2024.08.01 15:00:00,1.60988944398E-10
2024.08.01 16:00:00,1.51212931065E-10
2024.08.01 17:00:00,1.4404538673E-10
2024.08.01 18:00:00,1.38138861461E-10
2024.08.01 19:00:00,1.3395425047E-10
2024.08.01 20:00:00,1.31015157057E-10
2024.08.01 21:00:00,1.28226887441E-10
2024.08.01 22:00:00,1.24820945246E-10
2024.08.01 23:00:00,1.22647489387E-10
2024.08.02 00:00:00,1.21373910922E-10
2024.08.02 01:00:00,1.20753212984E-10
2024.08.02 02:00:00,1.20483303889E-10
2024.08.02 03:00:00,1.20312676488E-10
2024.08.02 04:00:00,1.20353699229E-10
2024.08.02 05:00:00,1.20677579041E-10
2024.08.02 06:00:00,1.21030727107E-10
2024.08.02 07:00:00,1.22355306442E-10
2024.08.02 08:00:00,1.2362215418E-10
2024.08.02 09:00:00,1.24800170198E-10
2024.08.02 10:00:00,1.26667371037E-10
2024.08.02 11:00:00,1.30508270857E-10
2024.08.02 12:00:00,1.35042768634E-10
2024.08.02 13:00:00,1.40307737651E-10
2024.08.02 14:00:00,1.4601175824E-10
2024.08.02 15:00:00,1.50919457487E-10
2024.08.02 16:00:00,1.5448807511E-10
2024.08.02 17:00:00,1.56114163263E-10
2024.08.02 18:00:00,1.56347712554E-10
2024.08.02 19:00:00,1.56216400926E-10
2024.08.02 20:00:00,1.56048590716E-10
2024.08.02 21:00:00,1.57135318646E-10
2024.08.02 22:00:00,1.59438323655E-10
2024.08.02 23:00:00,1.62910240853E-10
2024.08.03 00:00:00,1.68160790848E-10
2024.08.03 01:00:00,1.76586981149E-10
2024.08.03 02:00:00,1.91835866636E-10
2024.08.03 03:00:00,2.17839649097E-10
2024.08.03 04:00:00,2.54916227016E-10
2024.08.03 05:00:00,3.04920366734E-10
2024.08.03 06:00:00,3.70837527353E-10
2024.08.03 07:00:00,4.49088183307E-10
2024.08.03 08:00:00,5.47144884955E-10
2024.08.03 09:00:00,6.65439148229E-10
2024.08.03 10:00:00,7.91626930674E-10
2024.08.03 11:00:00,9.24666898605E-10
2024.08.03 12:00:00,1.07350406342E-09
2024.08.03 13:00:00,1.24800769719E-09
2024.08.03 14:00:00,1.45254275274E-09
2024.08.03 15:00:00,1.6785555168E-09
2024.08.03 16:00:00,1.93465643505E-09
