Time [yyyy.MM.dd HH:mm:ss],dTR1 [g/m3]
2024.08.01 00:00:00,0
2024.08.01 01:00:00,0
2024.08.01 02:00:00,0
2024.08.01 03:00:00,0
2024.08.01 04:00:00,0
2024.08.01 05:00:00,2_38502025604
2024.08.01 06:00:00,0_175591781735
2024.08.01 07:00:00,0_0355707034469
2024.08.01 08:00:00,0_0148022202775
2024.08.01 09:00:00,0_00773168168962
2024.08.01 10:00:00,0_00490238703787
2024.08.01 11:00:00,0_0034963125363
2024.08.01 12:00:00,0_00286975619383
2024.08.01 13:00:00,0_00271535944194
2024.08.01 14:00:00,0_00252778525464
2024.08.01 15:00:00,0_0025053662248
2024.08.01 16:00:00,0_00242840172723
2024.08.01 17:00:00,0_00227053207345
2024.08.01 18:00:00,0_00210997951217
2024.08.01 19:00:00,0_00197535310872
2024.08.01 20:00:00,0_00184557400644
2024.08.01 21:00:00,0_00173455919139
2024.08.01 22:00:00,0_0016498665791
2024.08.01 23:00:00,0_00154961831868
2024.08.02 00:00:00,0_00147468980867
2024.08.02 01:00:00,0_00141671928577
2024.08.02 02:00:00,0_00135424418841
2024.08.02 03:00:00,0_00130085798446
2024.08.02 04:00:00,0_00124797364697
2024.08.02 05:00:00,0_00120365060866
2024.08.02 06:00:00,0_00114947347902
2024.08.02 07:00:00,0_00108897907194
2024.08.02 08:00:00,0_00102592236362
2024.08.02 09:00:00,0_000953350332566
2024.08.02 10:00:00,0_00085219059838
2024.08.02 11:00:00,0_000784183153883
2024.08.02 12:00:00,0_000701077282429
2024.08.02 13:00:00,0_000630119058769
2024.08.02 14:00:00,0_000599043502007
2024.08.02 15:00:00,0_000589370611124
2024.08.02 16:00:00,0_00061936135171
2024.08.02 17:00:00,0_000657023745589
2024.08.02 18:00:00,0_000670378853101
2024.08.02 19:00:00,0_000672143942211
2024.08.02 20:00:00,0_000666137493681
2024.08.02 21:00:00,0_000654694274999
2024.08.02 22:00:00,0_000642572704237
2024.08.02 23:00:00,0_000630320806522
2024.08.03 00:00:00,0_000619574391749
2024.08.03 01:00:00,0_00060513720382
2024.08.03 02:00:00,0_00059111637529
2024.08.03 03:00:00,0_000578743463848
2024.08.03 04:00:00,0_000567111477721
2024.08.03 05:00:00,0_000555391830858
2024.08.03 06:00:00,0_000543183472473
2024.08.03 07:00:00,0_000525949173607
2024.08.03 08:00:00,0_00050545076374
2024.08.03 09:00:00,0_000488594756462
2024.08.03 10:00:00,0_000468686805107
2024.08.03 11:00:00,0_00044808187522
2024.08.03 12:00:00,0_000425760925282
2024.08.03 13:00:00,0_000412137102103
2024.08.03 14:00:00,0_000398376199882
2024.08.03 15:00:00,0_000395664392272
2024.08.03 16:00:00,0_000397329713451
2024.08.03 17:00:00,0_000399316573748
2024.08.03 18:00:00,0_000399663171265
2024.08.03 19:00:00,0_000399059645133
2024.08.03 20:00:00,0_000393491849536
2024.08.03 21:00:00,0_000388608896174
2024.08.03 22:00:00,0_000384267274057
