Time [yyyy.MM.dd HH:mm:ss],dTR1 [g/m3]
2024.08.01 00:00:00,0
2024.08.01 01:00:00,0
2024.08.01 02:00:00,0
2024.08.01 03:00:00,0
2024.08.01 04:00:00,0
2024.08.01 05:00:00,5_46877210184E-09
2024.08.01 06:00:00,3_30317151409E-09
2024.08.01 07:00:00,2_35053354558E-09
2024.08.01 08:00:00,1_90317694937E-09
2024.08.01 09:00:00,1_65528157847E-09
2024.08.01 10:00:00,1_50157852818E-09
2024.08.01 11:00:00,1_41547173982E-09
2024.08.01 12:00:00,1_42115708091E-09
2024.08.01 13:00:00,1_84504345135E-09
2024.08.01 14:00:00,4_97203656025E-09
2024.08.01 15:00:00,3_25257651923E-08
2024.08.01 16:00:00,1_91035653074E-07
2024.08.01 17:00:00,5_04182310124E-07
2024.08.01 18:00:00,7_58108512855E-07
2024.08.01 19:00:00,8_65554000029E-07
2024.08.01 20:00:00,8_80793493252E-07
2024.08.01 21:00:00,8_96582434962E-07
2024.08.01 22:00:00,9_22497861211E-07
2024.08.01 23:00:00,9_79242031462E-07
2024.08.02 00:00:00,1_07977109565E-06
2024.08.02 01:00:00,1_22086191823E-06
2024.08.02 02:00:00,1_39837948154E-06
2024.08.02 03:00:00,1_56434634846E-06
2024.08.02 04:00:00,1_7479046619E-06
2024.08.02 05:00:00,1_96074506675E-06
2024.08.02 06:00:00,2_13722978515E-06
2024.08.02 07:00:00,2_19277990254E-06
2024.08.02 08:00:00,2_14993383452E-06
2024.08.02 09:00:00,2_11981705434E-06
2024.08.02 10:00:00,2_1512839794E-06
2024.08.02 11:00:00,2_25233407036E-06
2024.08.02 12:00:00,2_37839367401E-06
2024.08.02 13:00:00,2_30663863476E-06
2024.08.02 14:00:00,2_11348992707E-06
2024.08.02 15:00:00,2_08182814276E-06
2024.08.02 16:00:00,2_3978018362E-06
2024.08.02 17:00:00,3_17182275467E-06
2024.08.02 18:00:00,4_06424123867E-06
2024.08.02 19:00:00,4_51818095826E-06
2024.08.02 20:00:00,4_6466175263E-06
2024.08.02 21:00:00,4_70455142931E-06
2024.08.02 22:00:00,4_83136636831E-06
2024.08.02 23:00:00,5_04401077706E-06
2024.08.03 00:00:00,5_35172830496E-06
2024.08.03 01:00:00,5_76212732994E-06
2024.08.03 02:00:00,6_28444149697E-06
2024.08.03 03:00:00,6_87115607434E-06
2024.08.03 04:00:00,7_39778215575E-06
2024.08.03 05:00:00,7_88329907664E-06
2024.08.03 06:00:00,8_44697842695E-06
2024.08.03 07:00:00,9_0844632723E-06
2024.08.03 08:00:00,9_66210882325E-06
2024.08.03 09:00:00,9_85086262517E-06
2024.08.03 10:00:00,9_66907646216E-06
2024.08.03 11:00:00,9_39724668569E-06
2024.08.03 12:00:00,9_10187827685E-06
2024.08.03 13:00:00,8_81166670297E-06
2024.08.03 14:00:00,8_5530900833E-06
2024.08.03 15:00:00,8_44384067022E-06
2024.08.03 16:00:00,8_65064885147E-06
