Time [yyyy.MM.dd HH:mm:ss],NH4 [gN/m3]
2024.08.01 00:00:00,0
2024.08.01 01:00:00,0
2024.08.01 02:00:00,0
2024.08.01 03:00:00,0
2024.08.01 04:00:00,0
2024.08.01 05:00:00,1_59146012341E-11
2024.08.01 06:00:00,1_73639210649E-11
2024.08.01 07:00:00,1_70169885128E-11
2024.08.01 08:00:00,1_63148071441E-11
2024.08.01 09:00:00,1_55078293956E-11
2024.08.01 10:00:00,1_44941419977E-11
2024.08.01 11:00:00,1_36966653297E-11
2024.08.01 12:00:00,1_27335225697E-11
2024.08.01 13:00:00,1_16665427319E-11
2024.08.01 14:00:00,1_04202072318E-11
2024.08.01 15:00:00,9_60420718649E-12
2024.08.01 16:00:00,8_68199435955E-12
2024.08.01 17:00:00,8_07190512347E-12
2024.08.01 18:00:00,7_86660406954E-12
2024.08.01 19:00:00,7_38011821794E-12
2024.08.01 20:00:00,6_94339421028E-12
2024.08.01 21:00:00,6_6303529507E-12
2024.08.01 22:00:00,6_34090739984E-12
2024.08.01 23:00:00,6_01517490331E-12
2024.08.02 00:00:00,5_65646574718E-12
2024.08.02 01:00:00,5_32720742519E-12
2024.08.02 02:00:00,5_01281568338E-12
2024.08.02 03:00:00,4_72353623229E-12
2024.08.02 04:00:00,4_36915737964E-12
2024.08.02 05:00:00,4_03491606446E-12
2024.08.02 06:00:00,3_85577507422E-12
2024.08.02 07:00:00,3_95351936952E-12
2024.08.02 08:00:00,4_01794656574E-12
2024.08.02 09:00:00,3_97521468867E-12
2024.08.02 10:00:00,4_12410426989E-12
2024.08.02 11:00:00,4_26110622481E-12
2024.08.02 12:00:00,4_36219073016E-12
2024.08.02 13:00:00,4_59064643937E-12
2024.08.02 14:00:00,4_89082298966E-12
2024.08.02 15:00:00,5_02920838655E-12
2024.08.02 16:00:00,5_10489090236E-12
2024.08.02 17:00:00,5_31889072716E-12
2024.08.02 18:00:00,5_49251052626E-12
2024.08.02 19:00:00,5_6765386662E-12
2024.08.02 20:00:00,5_94371990861E-12
2024.08.02 21:00:00,6_23817187143E-12
2024.08.02 22:00:00,6_53414778881E-12
2024.08.02 23:00:00,6_83734969684E-12
2024.08.03 00:00:00,7_12150217269E-12
2024.08.03 01:00:00,7_46769659998E-12
2024.08.03 02:00:00,7_79937139178E-12
2024.08.03 03:00:00,8_19434190641E-12
2024.08.03 04:00:00,8_52898827952E-12
2024.08.03 05:00:00,8_83988975769E-12
2024.08.03 06:00:00,9_14866619961E-12
2024.08.03 07:00:00,9_43127693998E-12
2024.08.03 08:00:00,9_70308035309E-12
2024.08.03 09:00:00,9_97420115251E-12
2024.08.03 10:00:00,1_02510352637E-11
2024.08.03 11:00:00,1_05587700042E-11
2024.08.03 12:00:00,1_07687669545E-11
2024.08.03 13:00:00,1_09295680145E-11
2024.08.03 14:00:00,1_1238472826E-11
2024.08.03 15:00:00,1_14611879015E-11
2024.08.03 16:00:00,1_16701700387E-11
