Time [yyyy.MM.dd HH:mm:ss],NH4 [gN/m3]
2024.08.01 00:00:00,0
2024.08.01 01:00:00,0
2024.08.01 02:00:00,0
2024.08.01 03:00:00,0
2024.08.01 04:00:00,0
2024.08.01 05:00:00,8_18486320386E-11
2024.08.01 06:00:00,1_1842934966E-10
2024.08.01 07:00:00,1_29143279404E-10
2024.08.01 08:00:00,1_272626865E-10
2024.08.01 09:00:00,1_18208359767E-10
2024.08.01 10:00:00,1_04672791268E-10
2024.08.01 11:00:00,9_09393185755E-11
2024.08.01 12:00:00,7_87530735069E-11
2024.08.01 13:00:00,6_93403875984E-11
2024.08.01 14:00:00,6_15337225618E-11
2024.08.01 15:00:00,5_64130235581E-11
2024.08.01 16:00:00,5_33471218589E-11
2024.08.01 17:00:00,5_15367644394E-11
2024.08.01 18:00:00,5_03191897872E-11
2024.08.01 19:00:00,4_93707262572E-11
2024.08.01 20:00:00,4_89468118814E-11
2024.08.01 21:00:00,4_90512977458E-11
2024.08.01 22:00:00,4_87537267502E-11
2024.08.01 23:00:00,4_82785061928E-11
2024.08.02 00:00:00,4_83134053597E-11
2024.08.02 01:00:00,4_86673652766E-11
2024.08.02 02:00:00,4_91129290014E-11
2024.08.02 03:00:00,4_95596272354E-11
2024.08.02 04:00:00,5_0050855821E-11
2024.08.02 05:00:00,5_0646143529E-11
2024.08.02 06:00:00,5_1312589594E-11
2024.08.02 07:00:00,5_23540585884E-11
2024.08.02 08:00:00,5_32827358624E-11
2024.08.02 09:00:00,5_38610510359E-11
2024.08.02 10:00:00,5_64208645082E-11
2024.08.02 11:00:00,5_93253154935E-11
2024.08.02 12:00:00,6_22444110143E-11
2024.08.02 13:00:00,6_54416243417E-11
2024.08.02 14:00:00,6_87224582796E-11
2024.08.02 15:00:00,7_139344671E-11
2024.08.02 16:00:00,7_30186258679E-11
2024.08.02 17:00:00,7_3595338157E-11
2024.08.02 18:00:00,7_33991062374E-11
2024.08.02 19:00:00,7_31153332323E-11
2024.08.02 20:00:00,7_32963412187E-11
2024.08.02 21:00:00,7_40874306349E-11
2024.08.02 22:00:00,7_52081244504E-11
2024.08.02 23:00:00,7_69889083041E-11
2024.08.03 00:00:00,7_9140048681E-11
2024.08.03 01:00:00,8_27927865155E-11
2024.08.03 02:00:00,8_984942651E-11
2024.08.03 03:00:00,1_01147291931E-10
2024.08.03 04:00:00,1_17822251955E-10
2024.08.03 05:00:00,1_40866429632E-10
2024.08.03 06:00:00,1_70909425501E-10
2024.08.03 07:00:00,2_08180639394E-10
2024.08.03 08:00:00,2_53337989475E-10
2024.08.03 09:00:00,3_07319364401E-10
2024.08.03 10:00:00,3_64608149228E-10
2024.08.03 11:00:00,4_24842050428E-10
2024.08.03 12:00:00,4_9213649822E-10
2024.08.03 13:00:00,5_70982261472E-10
2024.08.03 14:00:00,6_62915777827E-10
2024.08.03 15:00:00,7_64890428773E-10
2024.08.03 16:00:00,8_80430561789E-10
