Time [yyyy.MM.dd HH:mm:ss],NH4 [gN/m3]
2024.08.01 00:00:00,0
2024.08.01 01:00:00,0
2024.08.01 02:00:00,0
2024.08.01 03:00:00,0
2024.08.01 04:00:00,0
2024.08.01 05:00:00,0
2024.08.01 06:00:00,4_79749129312E-10
2024.08.01 07:00:00,6_05443029045E-10
2024.08.01 08:00:00,6_70184407969E-10
2024.08.01 09:00:00,6_95269619655E-10
2024.08.01 10:00:00,6_88747336941E-10
2024.08.01 11:00:00,6_70395183811E-10
2024.08.01 12:00:00,6_78419542766E-10
2024.08.01 13:00:00,8_86511253295E-10
2024.08.01 14:00:00,2_42505993064E-09
2024.08.01 15:00:00,1_59694266699E-08
2024.08.01 16:00:00,9_3735920359E-08
2024.08.01 17:00:00,2_46976185281E-07
2024.08.01 18:00:00,3_70699780206E-07
2024.08.01 19:00:00,4_22476432504E-07
2024.08.01 20:00:00,4_29139817015E-07
2024.08.01 21:00:00,4_36050555663E-07
2024.08.01 22:00:00,4_47859889618E-07
2024.08.01 23:00:00,4_74579394449E-07
2024.08.02 00:00:00,5_22395964708E-07
2024.08.02 01:00:00,5_89642354498E-07
2024.08.02 02:00:00,6_74218767927E-07
2024.08.02 03:00:00,7_52955770622E-07
2024.08.02 04:00:00,8_39910853756E-07
2024.08.02 05:00:00,9_40637733038E-07
2024.08.02 06:00:00,1_02362662346E-06
2024.08.02 07:00:00,1_04854120764E-06
2024.08.02 08:00:00,1_0264662933E-06
2024.08.02 09:00:00,1_01060788893E-06
2024.08.02 10:00:00,1_02419357972E-06
2024.08.02 11:00:00,1_07086623302E-06
2024.08.02 12:00:00,1_12915006412E-06
2024.08.02 13:00:00,1_09335780962E-06
2024.08.02 14:00:00,1_00016029592E-06
2024.08.02 15:00:00,9_83457653092E-07
2024.08.02 16:00:00,1_13050441541E-06
2024.08.02 17:00:00,1_49220375079E-06
2024.08.02 18:00:00,1_90803211808E-06
2024.08.02 19:00:00,2_11699807551E-06
2024.08.02 20:00:00,2_1731277684E-06
2024.08.02 21:00:00,2_19626531361E-06
2024.08.02 22:00:00,2_25171970669E-06
2024.08.02 23:00:00,2_34697608903E-06
2024.08.03 00:00:00,2_48610786002E-06
2024.08.03 01:00:00,2_67248037744E-06
2024.08.03 02:00:00,2_91011428999E-06
2024.08.03 03:00:00,3_17669309879E-06
2024.08.03 04:00:00,3_41440090779E-06
2024.08.03 05:00:00,3_63206072507E-06
2024.08.03 06:00:00,3_88509124605E-06
2024.08.03 07:00:00,4_17146884502E-06
2024.08.03 08:00:00,4_4299486035E-06
2024.08.03 09:00:00,4_50959760201E-06
2024.08.03 10:00:00,4_41922475147E-06
2024.08.03 11:00:00,4_28790190199E-06
2024.08.03 12:00:00,4_14608757637E-06
2024.08.03 13:00:00,4_00688077207E-06
2024.08.03 14:00:00,3_88215948988E-06
2024.08.03 15:00:00,3_82528969567E-06
2024.08.03 16:00:00,3_91134062738E-06
