Time [yyyy.MM.dd HH:mm:ss],NO3 [gN/m3]
2024.08.01 00:00:00,0
2024.08.01 01:00:00,0
2024.08.01 02:00:00,0
2024.08.01 03:00:00,0
2024.08.01 04:00:00,0
2024.08.01 05:00:00,1_59146012341E-11
2024.08.01 06:00:00,1_74432135402E-11
2024.08.01 07:00:00,1_71686189571E-11
2024.08.01 08:00:00,1_65295849924E-11
2024.08.01 09:00:00,1_57787723859E-11
2024.08.01 10:00:00,1_48148767559E-11
2024.08.01 11:00:00,1_40630337236E-11
2024.08.01 12:00:00,1_31355360616E-11
2024.08.01 13:00:00,1_20923479563E-11
2024.08.01 14:00:00,1_08560582399E-11
2024.08.01 15:00:00,1_00360718E-11
2024.08.01 16:00:00,9_10975028051E-12
2024.08.01 17:00:00,8_51581218736E-12
2024.08.01 18:00:00,8_33011090662E-12
2024.08.01 19:00:00,7_85799550429E-12
2024.08.01 20:00:00,7_43430230571E-12
2024.08.01 21:00:00,7_13274187977E-12
2024.08.01 22:00:00,6_85366607217E-12
2024.08.01 23:00:00,6_53728026573E-12
2024.08.02 00:00:00,6_18848592163E-12
2024.08.02 01:00:00,5_86757985949E-12
2024.08.02 02:00:00,5_55961917129E-12
2024.08.02 03:00:00,5_27664500635E-12
2024.08.02 04:00:00,4_92729338233E-12
2024.08.02 05:00:00,4_59780911261E-12
2024.08.02 06:00:00,4_1643212316E-12
2024.08.02 07:00:00,4_29944014418E-12
2024.08.02 08:00:00,3_88811942711E-12
2024.08.02 09:00:00,3_95191475031E-12
2024.08.02 10:00:00,4_18403289446E-12
2024.08.02 11:00:00,4_41319680453E-12
2024.08.02 12:00:00,4_58587551613E-12
2024.08.02 13:00:00,4_89636066067E-12
2024.08.02 14:00:00,5_28783050333E-12
2024.08.02 15:00:00,5_48670614151E-12
2024.08.02 16:00:00,5_61265010163E-12
2024.08.02 17:00:00,5_90275744949E-12
2024.08.02 18:00:00,6_15041004237E-12
2024.08.02 19:00:00,6_39876389721E-12
2024.08.02 20:00:00,6_73295186965E-12
2024.08.02 21:00:00,7_14568031482E-12
2024.08.02 22:00:00,7_51250884418E-12
2024.08.02 23:00:00,7_89989254568E-12
2024.08.03 00:00:00,8_27377142493E-12
2024.08.03 01:00:00,8_71937591573E-12
2024.08.03 02:00:00,9_15062903922E-12
2024.08.03 03:00:00,9_64627423078E-12
2024.08.03 04:00:00,1_00828061178E-11
2024.08.03 05:00:00,1_04990183214E-11
2024.08.03 06:00:00,1_09114583688E-11
2024.08.03 07:00:00,1_12723120768E-11
2024.08.03 08:00:00,1_16532660258E-11
2024.08.03 09:00:00,1_20319622321E-11
2024.08.03 10:00:00,1_24158790887E-11
2024.08.03 11:00:00,1_2769830332E-11
2024.08.03 12:00:00,1_30818637173E-11
2024.08.03 13:00:00,1_32510053277E-11
2024.08.03 14:00:00,1_36777577112E-11
2024.08.03 15:00:00,1_40175319269E-11
2024.08.03 16:00:00,1_4328838463E-11
