Time [yyyy.MM.dd HH:mm:ss],NO3 [gN/m3]
2024.08.01 00:00:00,0
2024.08.01 01:00:00,0
2024.08.01 02:00:00,0
2024.08.01 03:00:00,0
2024.08.01 04:00:00,0
2024.08.01 05:00:00,8.18486320386E-11
2024.08.01 06:00:00,1.18953805139E-10
2024.08.01 07:00:00,1.30234684148E-10
2024.08.01 08:00:00,1.28839661162E-10
2024.08.01 09:00:00,1.20133694659E-10
2024.08.01 10:00:00,1.06801741062E-10
2024.08.01 11:00:00,9.3165697379E-11
2024.08.01 12:00:00,8.10278233399E-11
2024.08.01 13:00:00,7.16464318429E-11
2024.08.01 14:00:00,6.387267798E-11
2024.08.01 15:00:00,5.88085483089E-11
2024.08.01 16:00:00,5.58536099315E-11
2024.08.01 17:00:00,5.41914187135E-11
2024.08.01 18:00:00,5.31333588238E-11
2024.08.01 19:00:00,5.23491840154E-11
2024.08.01 20:00:00,5.2099439346E-11
2024.08.01 21:00:00,5.23858491308E-11
2024.08.01 22:00:00,5.22850616969E-11
2024.08.01 23:00:00,5.20228790601E-11
2024.08.02 00:00:00,5.2283517793E-11
2024.08.02 01:00:00,5.28784169229E-11
2024.08.02 02:00:00,5.35768963916E-11
2024.08.02 03:00:00,5.4280170636E-11
2024.08.02 04:00:00,5.50402987076E-11
2024.08.02 05:00:00,5.59162820213E-11
2024.08.02 06:00:00,5.68520855393E-11
2024.08.02 07:00:00,5.81622458529E-11
2024.08.02 08:00:00,5.98415483832E-11
2024.08.02 09:00:00,6.04857344766E-11
2024.08.02 10:00:00,6.33485972013E-11
2024.08.02 11:00:00,6.67951319255E-11
2024.08.02 12:00:00,7.03643185385E-11
2024.08.02 13:00:00,7.42993097602E-11
2024.08.02 14:00:00,7.83752784894E-11
2024.08.02 15:00:00,8.17619721927E-11
2024.08.02 16:00:00,8.40667674362E-11
2024.08.02 17:00:00,8.50744752423E-11
2024.08.02 18:00:00,8.51964956916E-11
2024.08.02 19:00:00,8.5205890954E-11
2024.08.02 20:00:00,8.57232410056E-11
2024.08.02 21:00:00,8.66466343119E-11
2024.08.02 22:00:00,8.83704082133E-11
2024.08.02 23:00:00,9.08389266585E-11
2024.08.03 00:00:00,9.3824559233E-11
2024.08.03 01:00:00,9.85688752841E-11
2024.08.03 02:00:00,1.07328944343E-10
2024.08.03 03:00:00,1.21253576624E-10
2024.08.03 04:00:00,1.41659919906E-10
2024.08.03 05:00:00,1.69741373734E-10
2024.08.03 06:00:00,2.06143879744E-10
2024.08.03 07:00:00,2.510049113E-10
2024.08.03 08:00:00,3.06537045747E-10
2024.08.03 09:00:00,3.7331876479E-10
2024.08.03 10:00:00,4.44666747867E-10
2024.08.03 11:00:00,5.20190612807E-10
2024.08.03 12:00:00,6.04972016927E-10
2024.08.03 13:00:00,7.04678537744E-10
2024.08.03 14:00:00,8.21274603879E-10
2024.08.03 15:00:00,9.51148049211E-10
2024.08.03 16:00:00,1.09894471301E-09
