Time [yyyy.MM.dd HH:mm:ss],NO3 [gN/m3]
2024.08.01 00:00:00,0
2024.08.01 01:00:00,0
2024.08.01 02:00:00,0
2024.08.01 03:00:00,0
2024.08.01 04:00:00,0
2024.08.01 05:00:00,1_19251012802
2024.08.01 06:00:00,0_0880088955164
2024.08.01 07:00:00,0_0178719479591
2024.08.01 08:00:00,0_00745528982952
2024.08.01 09:00:00,0_00390366278589
2024.08.01 10:00:00,0_00248124659993
2024.08.01 11:00:00,0_00177394307684
2024.08.01 12:00:00,0_00145962508395
2024.08.01 13:00:00,0_001384468982
2024.08.01 14:00:00,0_00129201915115
2024.08.01 15:00:00,0_00128367624711
2024.08.01 16:00:00,0_00124725757632
2024.08.01 17:00:00,0_00116903788876
2024.08.01 18:00:00,0_0010890243575
2024.08.01 19:00:00,0_00102198298555
2024.08.01 20:00:00,0_000957112642936
2024.08.01 21:00:00,0_000901650579181
2024.08.01 22:00:00,0_000859597756062
2024.08.01 23:00:00,0_000809259130619
2024.08.02 00:00:00,0_00077189761214
2024.08.02 01:00:00,0_000743233948015
2024.08.02 02:00:00,0_000712083827239
2024.08.02 03:00:00,0_000685559294652
2024.08.02 04:00:00,0_000659183773678
2024.08.02 05:00:00,0_000637200952042
2024.08.02 06:00:00,0_000609900278505
2024.08.02 07:00:00,0_000579117157031
2024.08.02 08:00:00,0_00054682593327
2024.08.02 09:00:00,0_000509334844537
2024.08.02 10:00:00,0_000456382433185
2024.08.02 11:00:00,0_000420933298301
2024.08.02 12:00:00,0_000377233838663
2024.08.02 13:00:00,0_000339862133842
2024.08.02 14:00:00,0_000323827640386
2024.08.02 15:00:00,0_000319334096275
2024.08.02 16:00:00,0_000336324883392
2024.08.02 17:00:00,0_00035752801341
2024.08.02 18:00:00,0_000365605286788
2024.08.02 19:00:00,0_000367387401639
2024.08.02 20:00:00,0_000364915700629
2024.08.02 21:00:00,0_000359437981388
2024.08.02 22:00:00,0_00035355030559
2024.08.02 23:00:00,0_000347565161064
2024.08.03 00:00:00,0_000342364102835
2024.08.03 01:00:00,0_00033510706271
2024.08.03 02:00:00,0_000328041700413
2024.08.03 03:00:00,0_000321857107338
2024.08.03 04:00:00,0_0003160504275
2024.08.03 05:00:00,0_000310168194119
2024.08.03 06:00:00,0_000303987617372
2024.08.03 07:00:00,0_00029502477264
2024.08.03 08:00:00,0_000284211884718
2024.08.03 09:00:00,0_000275332626188
2024.08.03 10:00:00,0_000264712667558
2024.08.03 11:00:00,0_000253664446063
2024.08.03 12:00:00,0_000241613655817
2024.08.03 13:00:00,0_000234413193539
2024.08.03 14:00:00,0_00022710399935
2024.08.03 15:00:00,0_000226035248488
2024.08.03 16:00:00,0_000227457188885
2024.08.03 17:00:00,0_000229053679504
2024.08.03 18:00:00,0_000229703466175
2024.08.03 19:00:00,0_000229798606597
2024.08.03 20:00:00,0_000227097058087
2024.08.03 21:00:00,0_000224733579671
2024.08.03 22:00:00,0_000222627291805
