Time [yyyy.MM.dd HH:mm:ss],NO3 [gN/m3]
2024.08.01 00:00:00,0
2024.08.01 01:00:00,0
2024.08.01 02:00:00,0
2024.08.01 03:00:00,0
2024.08.01 04:00:00,0
2024.08.01 05:00:00,0
2024.08.01 06:00:00,4.81925055418E-10
2024.08.01 07:00:00,6.10732742157E-10
2024.08.01 08:00:00,6.78807565713E-10
2024.08.01 09:00:00,7.07055580751E-10
2024.08.01 10:00:00,7.03206604058E-10
2024.08.01 11:00:00,6.87211620942E-10
2024.08.01 12:00:00,6.98273050492E-10
2024.08.01 13:00:00,9.16274833784E-10
2024.08.01 14:00:00,2.51717868771E-09
2024.08.01 15:00:00,1.6647469181E-08
2024.08.01 16:00:00,9.81390400057E-08
2024.08.01 17:00:00,2.59703398342E-07
2024.08.01 18:00:00,3.91498360841E-07
2024.08.01 19:00:00,4.48114008123E-07
2024.08.01 20:00:00,4.57145688415E-07
2024.08.01 21:00:00,4.66497766638E-07
2024.08.01 22:00:00,4.81163738186E-07
2024.08.01 23:00:00,5.12005669862E-07
2024.08.02 00:00:00,5.65932054997E-07
2024.08.02 01:00:00,6.41414430902E-07
2024.08.02 02:00:00,7.36431502446E-07
2024.08.02 03:00:00,8.25779750357E-07
2024.08.02 04:00:00,9.24810933611E-07
2024.08.02 05:00:00,1.03980130461E-06
2024.08.02 06:00:00,1.13597104701E-06
2024.08.02 07:00:00,1.16811008866E-06
2024.08.02 08:00:00,1.14777901672E-06
2024.08.02 09:00:00,1.13408657398E-06
2024.08.02 10:00:00,1.15323950922E-06
2024.08.02 11:00:00,1.20980178053E-06
2024.08.02 12:00:00,1.28017234147E-06
2024.08.02 13:00:00,1.24425469039E-06
2024.08.02 14:00:00,1.14260319606E-06
2024.08.02 15:00:00,1.12808720587E-06
2024.08.02 16:00:00,1.30253897623E-06
2024.08.02 17:00:00,1.72757540895E-06
2024.08.02 18:00:00,2.21937602873E-06
2024.08.02 19:00:00,2.47331581704E-06
2024.08.02 20:00:00,2.54963993029E-06
2024.08.02 21:00:00,2.58737850345E-06
2024.08.02 22:00:00,2.66291885964E-06
2024.08.02 23:00:00,2.78611059912E-06
2024.08.03 00:00:00,2.96240045827E-06
2024.08.03 01:00:00,3.19629361911E-06
2024.08.03 02:00:00,3.49330821336E-06
2024.08.03 03:00:00,3.82746929972E-06
2024.08.03 04:00:00,4.12972440245E-06
2024.08.03 05:00:00,4.41053634859E-06
2024.08.03 06:00:00,4.73616637464E-06
2024.08.03 07:00:00,5.10428981215E-06
2024.08.03 08:00:00,5.4397319218E-06
2024.08.03 09:00:00,5.5570862969E-06
2024.08.03 10:00:00,5.46580895389E-06
2024.08.03 11:00:00,5.32323656444E-06
2024.08.03 12:00:00,5.16684076501E-06
2024.08.03 13:00:00,5.01286604049E-06
2024.08.03 14:00:00,4.87655461257E-06
2024.08.03 15:00:00,4.82515451949E-06
2024.08.03 16:00:00,4.95466656503E-06
