Time [yyyy.MM.dd HH:mm:ss],NH4 [gN/m3]
2024.08.01 00:00:00,0
2024.08.01 01:00:00,0
2024.08.01 02:00:00,0
2024.08.01 03:00:00,0
2024.08.01 04:00:00,0
2024.08.01 05:00:00,9.34613497705E-13
2024.08.01 06:00:00,3.81513961048E-12
2024.08.01 07:00:00,8.65791032617E-12
2024.08.01 08:00:00,1.24041072552E-11
2024.08.01 09:00:00,1.53869209041E-11
2024.08.01 10:00:00,1.66997214668E-11
2024.08.01 11:00:00,1.68953358248E-11
2024.08.01 12:00:00,1.62638166823E-11
2024.08.01 13:00:00,1.52721117003E-11
2024.08.01 14:00:00,1.3864681972E-11
2024.08.01 15:00:00,1.39361820695E-11
2024.08.01 16:00:00,1.28241748817E-11
2024.08.01 17:00:00,1.2628844151E-11
2024.08.01 18:00:00,1.26393192787E-11
2024.08.01 19:00:00,1.24943805302E-11
2024.08.01 20:00:00,1.24362993861E-11
2024.08.01 21:00:00,1.24717580013E-11
2024.08.01 22:00:00,1.24586408898E-11
2024.08.01 23:00:00,1.24768684967E-11
2024.08.02 00:00:00,1.23269901231E-11
2024.08.02 01:00:00,1.17600148369E-11
2024.08.02 02:00:00,1.11264365776E-11
2024.08.02 03:00:00,1.05735802058E-11
2024.08.02 04:00:00,1.00578755394E-11
2024.08.02 05:00:00,9.51113059838E-12
2024.08.02 06:00:00,8.83836753784E-12
2024.08.02 07:00:00,7.93449073805E-12
2024.08.02 08:00:00,6.6483793297E-12
2024.08.02 09:00:00,6.11399776293E-12
2024.08.02 10:00:00,6.17152813229E-12
2024.08.02 11:00:00,6.25368853924E-12
2024.08.02 12:00:00,6.39618349604E-12
2024.08.02 13:00:00,6.68846878923E-12
2024.08.02 14:00:00,7.13827521398E-12
2024.08.02 15:00:00,7.32780936624E-12
2024.08.02 16:00:00,7.46159557752E-12
2024.08.02 17:00:00,7.48944916501E-12
2024.08.02 18:00:00,7.79212111501E-12
2024.08.02 19:00:00,8.05658924991E-12
2024.08.02 20:00:00,8.45474992101E-12
2024.08.02 21:00:00,8.96379064724E-12
2024.08.02 22:00:00,9.43736928882E-12
2024.08.02 23:00:00,9.87989984963E-12
2024.08.03 00:00:00,1.04338621076E-11
2024.08.03 01:00:00,1.10419199825E-11
2024.08.03 02:00:00,1.16379935203E-11
2024.08.03 03:00:00,1.21499373062E-11
2024.08.03 04:00:00,1.2673763948E-11
2024.08.03 05:00:00,1.31836130554E-11
2024.08.03 06:00:00,1.37002466663E-11
2024.08.03 07:00:00,1.41381871488E-11
2024.08.03 08:00:00,1.44467875163E-11
2024.08.03 09:00:00,1.48848884607E-11
2024.08.03 10:00:00,1.52428503847E-11
2024.08.03 11:00:00,1.55630855425E-11
2024.08.03 12:00:00,1.5827164232E-11
2024.08.03 13:00:00,1.59187125287E-11
2024.08.03 14:00:00,1.62558109335E-11
2024.08.03 15:00:00,1.65384910628E-11
2024.08.03 16:00:00,1.691318266E-11
