Time [yyyy.MM.dd HH:mm:ss],NH4 [gN/m3]
2024.08.01 00:00:00,0
2024.08.01 01:00:00,0
2024.08.01 02:00:00,0
2024.08.01 03:00:00,0
2024.08.01 04:00:00,0
2024.08.01 05:00:00,0
2024.08.01 06:00:00,9_64544763504E-11
2024.08.01 07:00:00,1_71280226113E-10
2024.08.01 08:00:00,2_14164450063E-10
2024.08.01 09:00:00,2_35980596175E-10
2024.08.01 10:00:00,2_37430242134E-10
2024.08.01 11:00:00,2_25072738225E-10
2024.08.01 12:00:00,2_07338174407E-10
2024.08.01 13:00:00,1_88635357334E-10
2024.08.01 14:00:00,1_71174047159E-10
2024.08.01 15:00:00,1_58047019916E-10
2024.08.01 16:00:00,1_48152504154E-10
2024.08.01 17:00:00,1_40854841679E-10
2024.08.01 18:00:00,1_34821542819E-10
2024.08.01 19:00:00,1_30509991703E-10
2024.08.01 20:00:00,1_27434410246E-10
2024.08.01 21:00:00,1_24500548759E-10
2024.08.01 22:00:00,1_20938731252E-10
2024.08.01 23:00:00,1_18598769694E-10
2024.08.02 00:00:00,1_17148568624E-10
2024.08.02 01:00:00,1_16332783684E-10
2024.08.02 02:00:00,1_15849968507E-10
2024.08.02 03:00:00,1_1545874673E-10
2024.08.02 04:00:00,1_15267621836E-10
2024.08.02 05:00:00,1_15350326513E-10
2024.08.02 06:00:00,1_15455416061E-10
2024.08.02 07:00:00,1_16518211746E-10
2024.08.02 08:00:00,1_17500856267E-10
2024.08.02 09:00:00,1_18358656209E-10
2024.08.02 10:00:00,1_1984718773E-10
2024.08.02 11:00:00,1_23248286577E-10
2024.08.02 12:00:00,1_27312618781E-10
2024.08.02 13:00:00,1_32121272256E-10
2024.08.02 14:00:00,1_37194061667E-10
2024.08.02 15:00:00,1_41512482288E-10
2024.08.02 16:00:00,1_44586828621E-10
2024.08.02 17:00:00,1_45794182282E-10
2024.08.02 18:00:00,1_45791628769E-10
2024.08.02 19:00:00,1_45425310683E-10
2024.08.02 20:00:00,1_45556136588E-10
2024.08.02 21:00:00,1_46323300698E-10
2024.08.02 22:00:00,1_48178844195E-10
2024.08.02 23:00:00,1_510917641E-10
2024.08.03 00:00:00,1_55630702769E-10
2024.08.03 01:00:00,1_63101990247E-10
2024.08.03 02:00:00,1_76849049294E-10
2024.08.03 03:00:00,2_00543762152E-10
2024.08.03 04:00:00,2_34349734063E-10
2024.08.03 05:00:00,2_79950063131E-10
2024.08.03 06:00:00,3_39381217573E-10
2024.08.03 07:00:00,4_1093339842E-10
2024.08.03 08:00:00,5_00348318333E-10
2024.08.03 09:00:00,6_07790873186E-10
2024.08.03 10:00:00,7_21913806512E-10
2024.08.03 11:00:00,8_41743952318E-10
2024.08.03 12:00:00,9_75500791256E-10
2024.08.03 13:00:00,1_13188869388E-09
2024.08.03 14:00:00,1_31454569452E-09
2024.08.03 15:00:00,1_51632006951E-09
2024.08.03 16:00:00,1_74445635714E-09
