Time [yyyy.MM.dd HH:mm:ss],NH4 [gN/m3]
2024.08.01 00:00:00,0
2024.08.01 01:00:00,0
2024.08.01 02:00:00,0
2024.08.01 03:00:00,0
2024.08.01 04:00:00,0
2024.08.01 05:00:00,2_38502025604
2024.08.01 06:00:00,0_17527961731
2024.08.01 07:00:00,0_0354436971247
2024.08.01 08:00:00,0_0147227253765
2024.08.01 09:00:00,0_00767616415396
2024.08.01 10:00:00,0_00485825212672
2024.08.01 11:00:00,0_00345842493698
2024.08.01 12:00:00,0_00283338385634
2024.08.01 13:00:00,0_00267598452047
2024.08.01 14:00:00,0_00248642615043
2024.08.01 15:00:00,0_00245979824103
2024.08.01 16:00:00,0_0023798099719
2024.08.01 17:00:00,0_00222088093869
2024.08.01 18:00:00,0_00205994164571
2024.08.01 19:00:00,0_00192493421491
2024.08.01 20:00:00,0_00179514894262
2024.08.01 21:00:00,0_00168410025071
2024.08.01 22:00:00,0_00159902346786
2024.08.01 23:00:00,0_00149911502376
2024.08.02 00:00:00,0_0014240744058
2024.08.02 01:00:00,0_00136567768641
2024.08.02 02:00:00,0_00130310840905
2024.08.02 03:00:00,0_00124951417092
2024.08.02 04:00:00,0_00119656440802
2024.08.02 05:00:00,0_00115201680455
2024.08.02 06:00:00,0_00109817681368
2024.08.02 07:00:00,0_00103848718572
2024.08.02 08:00:00,0_000976563314907
2024.08.02 09:00:00,0_000905750726815
2024.08.02 10:00:00,0_0008080395055
2024.08.02 11:00:00,0_00074214709457
2024.08.02 12:00:00,0_000662158883642
2024.08.02 13:00:00,0_000593955279328
2024.08.02 14:00:00,0_000563619774766
2024.08.02 15:00:00,0_000553453632165
2024.08.02 16:00:00,0_0005805582623
2024.08.02 17:00:00,0_000614804623183
2024.08.02 18:00:00,0_000626142485999
2024.08.02 19:00:00,0_000626615365036
2024.08.02 20:00:00,0_000619852624368
2024.08.02 21:00:00,0_000608074304182
2024.08.02 22:00:00,0_000595724210143
2024.08.02 23:00:00,0_000583289191127
2024.08.03 00:00:00,0_000572322169319
2024.08.03 01:00:00,0_000557963503525
2024.08.03 02:00:00,0_000544046983123
2024.08.03 03:00:00,0_000531696656253
2024.08.03 04:00:00,0_000520078639966
2024.08.03 05:00:00,0_00050841801567
2024.08.03 06:00:00,0_000496345222928
2024.08.03 07:00:00,0_000479605689179
2024.08.03 08:00:00,0_000459904811578
2024.08.03 09:00:00,0_000443714408902
2024.08.03 10:00:00,0_000424771365942
2024.08.03 11:00:00,0_000405239494285
2024.08.03 12:00:00,0_000384190585464
2024.08.03 13:00:00,0_000371130765416
2024.08.03 14:00:00,0_000357990444172
2024.08.03 15:00:00,0_000354880496161
2024.08.03 16:00:00,0_000355715077603
2024.08.03 17:00:00,0_000356857839506
2024.08.03 18:00:00,0_000356547301635
2024.08.03 19:00:00,0_000355405238224
2024.08.03 20:00:00,0_000349721958628
2024.08.03 21:00:00,0_000344749278156
2024.08.03 22:00:00,0_000340357189998
