Time [yyyy.MM.dd HH:mm:ss],NH4 [gN/m3]
2024.08.01 00:00:00,0
2024.08.01 01:00:00,0
2024.08.01 02:00:00,0
2024.08.01 03:00:00,0
2024.08.01 04:00:00,0
2024.08.01 05:00:00,5.46877210184E-09
2024.08.01 06:00:00,3.29699423318E-09
2024.08.01 07:00:00,2.34166308566E-09
2024.08.01 08:00:00,1.89238869019E-09
2024.08.01 09:00:00,1.64280189452E-09
2024.08.01 10:00:00,1.48752521412E-09
2024.08.01 11:00:00,1.39968903135E-09
2024.08.01 12:00:00,1.40276434912E-09
2024.08.01 13:00:00,1.81782688902E-09
2024.08.01 14:00:00,4.88955320677E-09
2024.08.01 15:00:00,3.19244968239E-08
2024.08.01 16:00:00,1.87136052432E-07
2024.08.01 17:00:00,4.92911908623E-07
2024.08.01 18:00:00,7.39691529361E-07
2024.08.01 19:00:00,8.42853751237E-07
2024.08.01 20:00:00,8.55999019223E-07
2024.08.01 21:00:00,8.69630923717E-07
2024.08.01 22:00:00,8.93023980097E-07
2024.08.01 23:00:00,9.46128693613E-07
2024.08.02 00:00:00,1.04126354472E-06
2024.08.02 01:00:00,1.1750843214E-06
2024.08.02 02:00:00,1.34338756652E-06
2024.08.02 03:00:00,1.49999675614E-06
2024.08.02 04:00:00,1.67291443631E-06
2024.08.02 05:00:00,1.87319278666E-06
2024.08.02 06:00:00,2.0380823571E-06
2024.08.02 07:00:00,2.08730421036E-06
2024.08.02 08:00:00,2.04297384698E-06
2024.08.02 09:00:00,2.01101397579E-06
2024.08.02 10:00:00,2.03765648621E-06
2024.08.02 11:00:00,2.13008934224E-06
2024.08.02 12:00:00,2.24559039452E-06
2024.08.02 13:00:00,2.17400088331E-06
2024.08.02 14:00:00,1.98832549358E-06
2024.08.02 15:00:00,1.95477059606E-06
2024.08.02 16:00:00,2.24666837312E-06
2024.08.02 17:00:00,2.96500661534E-06
2024.08.02 18:00:00,3.79064317713E-06
2024.08.02 19:00:00,4.20508376919E-06
2024.08.02 20:00:00,4.31583112004E-06
2024.08.02 21:00:00,4.36101709056E-06
2024.08.02 22:00:00,4.47031789008E-06
2024.08.02 23:00:00,4.65857874588E-06
2024.08.03 00:00:00,4.9338405006E-06
2024.08.03 01:00:00,5.3027292779E-06
2024.08.03 02:00:00,5.77317177886E-06
2024.08.03 03:00:00,6.3008565121E-06
2024.08.03 04:00:00,6.77111574987E-06
2024.08.03 05:00:00,7.2014804573E-06
2024.08.03 06:00:00,7.701793038E-06
2024.08.03 07:00:00,8.26799259812E-06
2024.08.03 08:00:00,8.77865841176E-06
2024.08.03 09:00:00,8.93481683306E-06
2024.08.03 10:00:00,8.7541548055E-06
2024.08.03 11:00:00,8.49246862344E-06
2024.08.03 12:00:00,8.21011963126E-06
2024.08.03 13:00:00,7.93305480329E-06
2024.08.03 14:00:00,7.68479549151E-06
2024.08.03 15:00:00,7.57093539505E-06
2024.08.03 16:00:00,7.7399517977E-06
