Time [yyyy.MM.dd HH:mm:ss],OXY [g/m3]
2024.08.01 00:00:00,10
2024.08.01 01:00:00,9_98937511444
2024.08.01 02:00:00,9_97854709625
2024.08.01 03:00:00,9_96747589111
2024.08.01 04:00:00,9_95653915405
2024.08.01 05:00:00,9_9460144043
2024.08.01 06:00:00,9_93653488159
2024.08.01 07:00:00,9_92740631104
2024.08.01 08:00:00,9_9187002182
2024.08.01 09:00:00,9_91073322296
2024.08.01 10:00:00,9_90303993225
2024.08.01 11:00:00,9_89534568787
2024.08.01 12:00:00,9_8874835968
2024.08.01 13:00:00,9_87985992432
2024.08.01 14:00:00,9_87182617188
2024.08.01 15:00:00,9_86331939697
2024.08.01 16:00:00,9_85436344147
2024.08.01 17:00:00,9_84518718719
2024.08.01 18:00:00,9_83602333069
2024.08.01 19:00:00,9_82614040375
2024.08.01 20:00:00,9_81597518921
2024.08.01 21:00:00,9_80691719055
2024.08.01 22:00:00,9_79870796204
2024.08.01 23:00:00,9_79109573364
2024.08.02 00:00:00,9_78483867645
2024.08.02 01:00:00,9_77851486206
2024.08.02 02:00:00,9_77154541016
2024.08.02 03:00:00,9_76602363586
2024.08.02 04:00:00,9_76009464264
2024.08.02 05:00:00,9_75419998169
2024.08.02 06:00:00,9_74973964691
2024.08.02 07:00:00,9_74581050873
2024.08.02 08:00:00,9_74267196655
2024.08.02 09:00:00,9_7385597229
2024.08.02 10:00:00,9_73273944855
2024.08.02 11:00:00,9_72767543793
2024.08.02 12:00:00,9_72358512878
2024.08.02 13:00:00,9_71931648254
2024.08.02 14:00:00,9_71591281891
2024.08.02 15:00:00,9_71149158478
2024.08.02 16:00:00,9_70519161224
2024.08.02 17:00:00,9_69820404053
2024.08.02 18:00:00,9_69195079803
2024.08.02 19:00:00,9_68668174744
2024.08.02 20:00:00,9_68215656281
2024.08.02 21:00:00,9_67788791656
2024.08.02 22:00:00,9_67330169678
2024.08.02 23:00:00,9_6685256958
2024.08.03 00:00:00,9_66500854492
2024.08.03 01:00:00,9_66239833832
2024.08.03 02:00:00,9_66103553772
2024.08.03 03:00:00,9_66046619415
2024.08.03 04:00:00,9_66055393219
2024.08.03 05:00:00,9_66108036041
2024.08.03 06:00:00,9_66190814972
2024.08.03 07:00:00,9_66189002991
2024.08.03 08:00:00,9_6617898941
2024.08.03 09:00:00,9_66189575195
2024.08.03 10:00:00,9_66063690186
2024.08.03 11:00:00,9_65816783905
2024.08.03 12:00:00,9_65562343597
2024.08.03 13:00:00,9_65345573425
2024.08.03 14:00:00,9_65190410614
2024.08.03 15:00:00,9_6505279541
2024.08.03 16:00:00,9_64928722382
2024.08.03 17:00:00,9_64844512939
2024.08.03 18:00:00,9_64837265015
2024.08.03 19:00:00,9_65042591095
2024.08.03 20:00:00,9_6540555954
2024.08.03 21:00:00,9_65700340271
2024.08.03 22:00:00,9_65754127502
2024.08.03 23:00:00,9_65557003021
2024.08.04 00:00:00,9_65347385406
2024.08.04 01:00:00,9_65201473236
2024.08.04 02:00:00,9_65096092224
2024.08.04 03:00:00,9_64965820313
2024.08.04 04:00:00,9_64796447754
2024.08.04 05:00:00,9_64548969269
2024.08.04 06:00:00,9_64293289185
2024.08.04 07:00:00,9_63885879517
2024.08.04 08:00:00,9_63369846344
2024.08.04 09:00:00,9_62742614746
2024.08.04 10:00:00,9_62159538269
2024.08.04 11:00:00,9_61564826965
2024.08.04 12:00:00,9_60961055756
2024.08.04 13:00:00,9_6039352417
2024.08.04 14:00:00,9_59755420685
2024.08.04 15:00:00,9_59158802032
2024.08.04 16:00:00,9_58917713165
2024.08.04 17:00:00,9_58734607697
2024.08.04 18:00:00,9_58462715149
2024.08.04 19:00:00,9_5881652832
2024.08.04 20:00:00,9_59296131134
2024.08.04 21:00:00,9_59280967712
2024.08.04 22:00:00,9_58869743347
2024.08.04 23:00:00,9_58409881592
2024.08.05 00:00:00,9_58030605316
2024.08.05 01:00:00,9_57873725891
2024.08.05 02:00:00,9_57991981506
2024.08.05 03:00:00,9_5773229599
2024.08.05 04:00:00,9_57511997223
2024.08.05 05:00:00,9_57567596436
2024.08.05 06:00:00,9_5764875412
2024.08.05 07:00:00,9_57563781738
2024.08.05 08:00:00,9_57534694672
2024.08.05 09:00:00,9_5763502121
2024.08.05 10:00:00,9_57589626312
2024.08.05 11:00:00,9_57315349579
2024.08.05 12:00:00,9_56961345673
2024.08.05 13:00:00,9_56483078003
2024.08.05 14:00:00,9_55830192566
2024.08.05 15:00:00,9_5523223877
2024.08.05 16:00:00,9_54900550842
2024.08.05 17:00:00,9_54560756683
2024.08.05 18:00:00,9_54092597961
2024.08.05 19:00:00,9_53712272644
2024.08.05 20:00:00,9_5372209549
2024.08.05 21:00:00,9_53848266602
2024.08.05 22:00:00,9_53877639771
2024.08.05 23:00:00,9_53771877289
2024.08.06 00:00:00,9_53777217865
2024.08.06 01:00:00,9_5408449173
2024.08.06 02:00:00,9_54354095459
2024.08.06 03:00:00,9_5474691391
2024.08.06 04:00:00,9_5502872467
2024.08.06 05:00:00,9_5511713028
2024.08.06 06:00:00,9_55120182037
2024.08.06 07:00:00,9_54872989655
2024.08.06 08:00:00,9_54340744019
2024.08.06 09:00:00,9_53677654266
2024.08.06 10:00:00,9_53115081787
2024.08.06 11:00:00,9_5269317627
2024.08.06 12:00:00,9_52480125427
2024.08.06 13:00:00,9_5236158371
2024.08.06 14:00:00,9_52169513702
2024.08.06 15:00:00,9_51856136322
2024.08.06 16:00:00,9_5148973465
2024.08.06 17:00:00,9_51109218597
2024.08.06 18:00:00,9_50743770599
2024.08.06 19:00:00,9_50290489197
2024.08.06 20:00:00,9_49837493896
