Time [yyyy.MM.dd HH:mm:ss],OXY [g/m3]
2024.08.01 00:00:00,10
2024.08.01 01:00:00,9_654255867
2024.08.01 02:00:00,9_91355609894
2024.08.01 03:00:00,9_9079618454
2024.08.01 04:00:00,9_90228271484
2024.08.01 05:00:00,9_90300750732
2024.08.01 06:00:00,9_87979030609
2024.08.01 07:00:00,9_87268257141
2024.08.01 08:00:00,9_84708118439
2024.08.01 09:00:00,9_818775177
2024.08.01 10:00:00,9_79746723175
2024.08.01 11:00:00,9_76922416687
2024.08.01 12:00:00,9_74711799622
2024.08.01 13:00:00,9_7542257309
2024.08.01 14:00:00,9_73420715332
2024.08.01 15:00:00,9_75525379181
2024.08.01 16:00:00,9_76508998871
2024.08.01 17:00:00,9_75049495697
2024.08.01 18:00:00,9_7421169281
2024.08.01 19:00:00,9_74599552155
2024.08.01 20:00:00,9_74868011475
2024.08.01 21:00:00,9_74517822266
2024.08.01 22:00:00,9_75100231171
2024.08.01 23:00:00,9_73806285858
2024.08.02 00:00:00,9_74517250061
2024.08.02 01:00:00,9_7466840744
2024.08.02 02:00:00,9_73681259155
2024.08.02 03:00:00,9_7415266037
2024.08.02 04:00:00,9_72744464874
2024.08.02 05:00:00,9_7316570282
2024.08.02 06:00:00,9_72163677216
2024.08.02 07:00:00,9_7072019577
2024.08.02 08:00:00,9_69979572296
2024.08.02 09:00:00,9_68163204193
2024.08.02 10:00:00,9_64798927307
2024.08.02 11:00:00,9_63874149323
2024.08.02 12:00:00,9_6000957489
2024.08.02 13:00:00,9_57479763031
2024.08.02 14:00:00,9_57673740387
2024.08.02 15:00:00,9_55794715881
2024.08.02 16:00:00,9_55685424805
2024.08.02 17:00:00,9_57665252686
2024.08.02 18:00:00,9_58449935913
2024.08.02 19:00:00,9_59439659119
2024.08.02 20:00:00,9_60567092896
2024.08.02 21:00:00,9_61258125305
2024.08.02 22:00:00,9_61251735687
2024.08.02 23:00:00,9_61266040802
2024.08.03 00:00:00,9_6210641861
2024.08.03 01:00:00,9_61579608917
2024.08.03 02:00:00,9_61730670929
2024.08.03 03:00:00,9_61513519287
2024.08.03 04:00:00,9_61697292328
2024.08.03 05:00:00,9_61618709564
2024.08.03 06:00:00,9_61831092834
2024.08.03 07:00:00,9_5920343399
2024.08.03 08:00:00,9_54592037201
2024.08.03 09:00:00,9_54110813141
2024.08.03 10:00:00,9_5204076767
2024.08.03 11:00:00,9_48869514465
2024.08.03 12:00:00,9_44483852386
2024.08.03 13:00:00,9_42820167542
2024.08.03 14:00:00,9_4101896286
2024.08.03 15:00:00,9_41661453247
2024.08.03 16:00:00,9_42074108124
2024.08.03 17:00:00,9_43557357788
2024.08.03 18:00:00,9_45896530151
2024.08.03 19:00:00,9_48745346069
2024.08.03 20:00:00,9_47583961487
2024.08.03 21:00:00,9_48571586609
2024.08.03 22:00:00,9_50648784637
2024.08.03 23:00:00,9_51205635071
2024.08.04 00:00:00,9_52133846283
2024.08.04 01:00:00,9_52131652832
2024.08.04 02:00:00,9_52408409119
2024.08.04 03:00:00,9_52478408813
2024.08.04 04:00:00,9_52490139008
2024.08.04 05:00:00,9_52315998077
2024.08.04 06:00:00,9_52074432373
2024.08.04 07:00:00,9_5115032196
2024.08.04 08:00:00,9_49008274078
2024.08.04 09:00:00,9_46207237244
2024.08.04 10:00:00,9_43702888489
2024.08.04 11:00:00,9_40212726593
