Time [yyyy.MM.dd HH:mm:ss],OXY [g/m3]
2024.08.01 00:00:00,10
2024.08.01 01:00:00,9_74346446991
2024.08.01 02:00:00,9_91293334961
2024.08.01 03:00:00,9_89903068542
2024.08.01 04:00:00,9_89119529724
2024.08.01 05:00:00,9_87770366669
2024.08.01 06:00:00,9_85140609741
2024.08.01 07:00:00,9_84600353241
2024.08.01 08:00:00,9_82183074951
2024.08.01 09:00:00,9_80100154877
2024.08.01 10:00:00,9_8011636734
2024.08.01 11:00:00,9_78320503235
2024.08.01 12:00:00,9_78296852112
2024.08.01 13:00:00,9_76381397247
2024.08.01 14:00:00,9_7551574707
2024.08.01 15:00:00,9_77243995667
2024.08.01 16:00:00,9_76170253754
2024.08.01 17:00:00,9_71388339996
2024.08.01 18:00:00,9_69444656372
2024.08.01 19:00:00,9_71255302429
2024.08.01 20:00:00,9_72700786591
2024.08.01 21:00:00,9_71987819672
2024.08.01 22:00:00,9_717045784
2024.08.01 23:00:00,9_7099275589
2024.08.02 00:00:00,9_71987342834
2024.08.02 01:00:00,9_71687221527
2024.08.02 02:00:00,9_7043466568
2024.08.02 03:00:00,9_70872306824
2024.08.02 04:00:00,9_69428730011
2024.08.02 05:00:00,9_6965265274
2024.08.02 06:00:00,9_68283462524
2024.08.02 07:00:00,9_6575717926
2024.08.02 08:00:00,9_63635730743
2024.08.02 09:00:00,9_61580276489
2024.08.02 10:00:00,9_59975624084
2024.08.02 11:00:00,9_61435413361
2024.08.02 12:00:00,9_60280227661
2024.08.02 13:00:00,9_57942485809
2024.08.02 14:00:00,9_58206558228
2024.08.02 15:00:00,9_57947731018
2024.08.02 16:00:00,9_56911849976
2024.08.02 17:00:00,9_56242656708
2024.08.02 18:00:00,9_54396438599
2024.08.02 19:00:00,9_52739620209
2024.08.02 20:00:00,9_54946136475
2024.08.02 21:00:00,9_56242847443
2024.08.02 22:00:00,9_46810245514
2024.08.02 23:00:00,9_2487745285
2024.08.03 00:00:00,9_09324550629
2024.08.03 01:00:00,9_10884952545
2024.08.03 02:00:00,9_29420948029
2024.08.03 03:00:00,9_45662593842
2024.08.03 04:00:00,9_48723602295
2024.08.03 05:00:00,9_52242279053
2024.08.03 06:00:00,9_56986713409
2024.08.03 07:00:00,9_55094528198
2024.08.03 08:00:00,9_51395511627
