Time [yyyy.MM.dd HH:mm:ss],OXY [g/m3]
2024.08.01 00:00:00,10
2024.08.01 01:00:00,9_98441410065
2024.08.01 02:00:00,9_96857738495
2024.08.01 03:00:00,9_95272731781
2024.08.01 04:00:00,9_9371213913
2024.08.01 05:00:00,9_92218112946
2024.08.01 06:00:00,9_90789222717
2024.08.01 07:00:00,9_89435195923
2024.08.01 08:00:00,9_88180160522
2024.08.01 09:00:00,9_87028026581
2024.08.01 10:00:00,9_85938549042
2024.08.01 11:00:00,9_84871959686
2024.08.01 12:00:00,9_83789348602
2024.08.01 13:00:00,9_82610988617
2024.08.01 14:00:00,9_81357479095
2024.08.01 15:00:00,9_79890155792
2024.08.01 16:00:00,9_78240871429
2024.08.01 17:00:00,9_76785373688
2024.08.01 18:00:00,9_75669193268
2024.08.01 19:00:00,9_74650382996
2024.08.01 20:00:00,9_73562908173
2024.08.01 21:00:00,9_72528171539
2024.08.01 22:00:00,9_71674823761
2024.08.01 23:00:00,9_70998859406
2024.08.02 00:00:00,9_70401763916
2024.08.02 01:00:00,9_69847393036
2024.08.02 02:00:00,9_69173145294
2024.08.02 03:00:00,9_68610191345
2024.08.02 04:00:00,9_6837310791
2024.08.02 05:00:00,9_68078231812
2024.08.02 06:00:00,9_67694473267
2024.08.02 07:00:00,9_67420101166
2024.08.02 08:00:00,9_67530536652
2024.08.02 09:00:00,9_67965221405
2024.08.02 10:00:00,9_68711471558
2024.08.02 11:00:00,9_69663238525
2024.08.02 12:00:00,9_70306301117
2024.08.02 13:00:00,9_70310497284
2024.08.02 14:00:00,9_70005226135
2024.08.02 15:00:00,9_69516086578
2024.08.02 16:00:00,9_6860408783
2024.08.02 17:00:00,9_67069530487
2024.08.02 18:00:00,9_65232276917
2024.08.02 19:00:00,9_63568973541
2024.08.02 20:00:00,9_62269496918
2024.08.02 21:00:00,9_61170959473
2024.08.02 22:00:00,9_60376548767
2024.08.02 23:00:00,9_59521961212
2024.08.03 00:00:00,9_58677959442
2024.08.03 01:00:00,9_57964229584
2024.08.03 02:00:00,9_57400226593
2024.08.03 03:00:00,9_56886672974
2024.08.03 04:00:00,9_56136989594
2024.08.03 05:00:00,9_55089092255
2024.08.03 06:00:00,9_54251670837
2024.08.03 07:00:00,9_53775024414
2024.08.03 08:00:00,9_53820991516
2024.08.03 09:00:00,9_5388174057
2024.08.03 10:00:00,9_53523349762
2024.08.03 11:00:00,9_53133296967
2024.08.03 12:00:00,9_52706050873
2024.08.03 13:00:00,9_52198600769
2024.08.03 14:00:00,9_51422786713
2024.08.03 15:00:00,9_50497817993
2024.08.03 16:00:00,9_49524974823
2024.08.03 17:00:00,9_48307800293
2024.08.03 18:00:00,9_46896743774
2024.08.03 19:00:00,9_45489788055
2024.08.03 20:00:00,9_44364070892
2024.08.03 21:00:00,9_43270015717
2024.08.03 22:00:00,9_42394733429
2024.08.03 23:00:00,9_41919326782
