Column,Min Value,Time
"('SingleBlast', 'Eutroph', 'NH4', 'Blast Site')",0.0,2024-08-01
"('SingleBlast', 'Eutroph', 'NH4', 'Spjelkavikelva')",0.0,2024-08-01
"('SingleBlast', 'Eutroph', 'NH4', 'Vasstrandlia Pump Intake')",0.0,2024-08-01
"('SingleBlast', 'Eutroph', 'NH4', 'Profiler')",0.0,2024-08-01
"('SingleBlast', 'Eutroph', 'NH4', 'Nørebotnen')",0.0,2024-08-01
"('SingleBlast', 'Eutroph', 'NO3', 'Blast Site')",0.0,2024-08-01
"('SingleBlast', 'Eutroph', 'NO3', 'Spjelkavikelva')",0.0,2024-08-01
"('SingleBlast', 'Eutroph', 'NO3', 'Vasstrandlia Pump Intake')",0.0,2024-08-01
"('SingleBlast', 'Eutroph', 'NO3', 'Profiler')",0.0,2024-08-01
"('SingleBlast', 'Eutroph', 'NO3', 'Nørebotnen')",0.0,2024-08-01
