Index;Include?;Label;Path to Results;Max Layers;Layer Type;Secchi Depth (m);HMF?;VFF?;Vicoww;Dicoww;Mesh;Area (m2);Volume (m3);2D Cells;3D Cells;3D Links;Courant Limit;Max Timestep (s);Start;End;Simulation Period (h);Timesteps;Model Size;Run Time (h);Simulation Time/Run Time;Correlation;Mean Absolute Error;Mean Squared Error;Root Mean Squared Error;Mean Percent Error;Correlation, common period;Root Mean Squared Error, common period;RMSE 95% lower;RMSE 95% upper;RMSE 95% lower, common period;RMSE 95% upper, common period
19;1;40 Layer, Filtered, Secchi Depth=1;2mnth/40_filtered_secchi1;40;z;1;1;1;1.00E-06;1.00E-06;fine;7.55E+06;2.54E+08;4935;65904;94081;0.7;30;25.04.2024 00:00;28.06.2024 00:00;1536;184345;29492434825;6.07;253.24312;0.9696;0.4543;0.5233;0.7234;6.5285;0.9696;0.7234;0.6536;0.7859;0.6536;0.7859
18;1;40 Layer, Filtered, Secchi Depth=1, Courant=0.4;2mnth/40_Secchi1_Courant4;40;z;1;1;1;1.00E-06;1.00E-06;fine;7.55E+06;2.54E+08;4935;65904;94081;0.4;30;25.04.2024 00:00;28.06.2024 00:00;1536;184345;29492434825;6.34;242.42658;0.9696;0.4543;0.5233;0.7234;6.5285;0.9696;0.7234;0.6536;0.7859;0.6536;0.7859
17;1;40 Layer, Filtered, Secchi Depth=2;2mnth/40_filtered_2Secchi;40;z;2;1;1;1.00E-06;1.00E-06;fine;7.55E+06;2.54E+08;4935;65904;94081;0.7;30;25.04.2024 00:00;28.06.2024 00:00;1536;184345;29492434825;5.46;281.40408;0.9673;0.4519;0.5223;0.7227;6.0846;0.9673;0.7227;0.6495;0.7831;0.6495;0.7831
4;0;20 Layer, Low Res, Filtered, Secchi Depth=1;2mnth/20_filtered_secchi1_lowres;20;z;1;1;1;1.00E-06;1.00E-06;coarse;7.58E+06;2.59E+08;2603;18661;26203;0.7;30;25.04.2024 00:00;28.06.2024 00:00;1536;184345;8270454080;2.15;715.83186;0.9048;0.5737;1.1486;1.0717;1.2276;0.9048;1.0717;0.9742;1.156;0.9742;1.156
16;1;40 Layer, Filtered, Secchi Depth=7;2mnth/40_filtered;40;z;7;1;1;1.00E-06;1.00E-06;fine;7.55E+06;2.54E+08;4935;65904;94081;0.7;30;25.04.2024 00:00;28.06.2024 00:00;1536;184345;29492434825;6.89;222.92886;0.901;0.5759;1.2103;1.1001;3.0691;0.901;1.1001;1.0021;1.1793;1.0021;1.1793
15;1;40 Layer, Unfiltered, Secchi Depth=7;2mnth/40_unfiltered;40;z;7;0;0;1.00E-06;1.00E-06;fine;7.55E+06;2.54E+08;4935;65904;94081;0.7;30;25.04.2024 00:00;28.06.2024 00:00;1536;184443;29508113355;5.16;297.64787;0.8912;0.5976;1.307;1.1432;2.7029;0.8912;1.1432;1.0411;1.226;1.0411;1.226
14;1;20 Layer, Filtered, Secchi Depth=7;2mnth/20_filtered;20;z;7;1;1;1.00E-06;1.00E-06;fine;7.55E+06;2.54E+08;4935;34160;48822;0.7;30;25.04.2024 00:00;28.06.2024 00:00;1536;184345;15297316790;3.71;413.63475;0.8308;0.7212;1.9153;1.3839;-0.2961;0.8308;1.3839;1.2562;1.4929;1.2562;1.4929
13;1;20 Layer, Unfiltered, Secchi Depth=7;2mnth/20_unfiltered;20;z;7;0;0;1.00E-06;1.00E-06;fine;7.55E+06;2.54E+08;4935;34160;48822;0.7;30;25.04.2024 00:00;28.06.2024 00:00;1536;184345;15297316790;3.29;467.26816;0.8146;0.7554;2.0696;1.4386;-1.1232;0.8146;1.4386;1.3029;1.5518;1.3029;1.5518
12;0;40 Layer, Low Res, Filtered, Secchi Depth=0;2mnth/40_Low_Secc0;40;z;0;1;1;1.00E-06;1.00E-06;coarse;7.58E+06;2.59E+08;2603;36197;50719;0.7;30;25.04.2024 00:00;28.06.2024 00:00;1536;184345;4391466590;3.45;445.19743;0.9696;0.4528;0.5254;0.7248;6.5647;0.9696;0.7248;0.6535;0.7905;0.6535;0.7905
11;0;10 Layer, Low-Res Filtered, Secchi Depth=0;2mnth/10_filtered_secchi0;10;z;0;1;1;1.00E-06;1.00E-06;coarse;7.58E+06;2.59E+08;2603;9884;13938;0.7;30;25.04.2024 00:00;28.06.2024 00:00;1536;184345;4391466590;0.98;1563.78941;0.7292;0.9818;2.8696;1.694;-5.8195;0.7292;1.694;1.5416;1.8312;1.5416;1.8312
10;1;10 Layer, Low Res, Filtered, Secchi Depth=0, 15s Max dt;2mnth/10_filtered_15s;10;z;0;1;1;1.00E-06;1.00E-06;coarse;7.58E+06;2.59E+08;2603;9884;13938;0.7;15;25.04.2024 00:00;28.06.2024 00:00;1536;368658;8782170876;2.56;599.17905;0.7291;0.982;2.8701;1.6941;-5.8254;0.7291;1.6941;1.5417;1.8314;1.5417;1.8314
9;1;10 Layer, Filtered, Secchi Depth=1;2mnth/10_filtered_Secc1;10;z;1;1;1;1.00E-06;1.00E-06;fine;7.55E+06;2.54E+08;4935;18322;26220;0.7;30;25.04.2024 00:00;28.06.2024 00:00;1536;184345;8211094990;2.27;677.00183;0.7061;1.0435;3.0517;1.7469;-6.9275;0.7061;1.7469;1.5794;1.8886;1.5794;1.8886
8;1;10 Layer, Unfiltered, Secchi Depth=7;2mnth/10_unfiltered;10;z;7;0;0;1.00E-06;1.00E-06;fine;7.55E+06;2.54E+08;4935;18322;26220;0.7;30;25.04.2024 00:00;28.06.2024 00:00;1536;184345;8211094990;1.91;804.57521;0.6492;1.1518;3.5017;1.8713;-8.1492;0.6492;1.8713;1.6901;2.0218;1.6901;2.0218
7;1;40 Layer High Res VicoDicoww5;7mnth/40High_VicDic5;40;z;1;1;1;1.00E-05;1.00E-05;fine;7.55E+06;2.54E+08;4935;65900;94077;0.7;30;25.04.2024 00:00;20.11.2024 00:00;5016;601945;96297355265;23.59;212.63935;0.9494;0.8874;1.2318;1.1099;8.7574;0.964;0.7474;1.0728;1.1461;0.689;0.7946
6;1;40 Layer Full Season High Res noVfilter;7mnth/40_highres_novfilt;40;z;1;1;0;1.00E-06;1.00E-06;fine;7.55E+06;2.54E+08;4935;65900;94077;0.7;30;25.04.2024 00:00;20.11.2024 00:00;5016;601945;96297355265;19.76;253.83371;0.9559;1.1274;1.8547;1.3619;16.1975;0.9696;0.7229;1.3039;1.4206;0.653;0.7854
5;1;40 Layer Full Season High Res;7mnth/40_highres_contam;40;z;1;1;1;1.00E-06;1.00E-06;fine;7.55E+06;2.54E+08;4935;65900;94077;0.7;30;25.04.2024 00:00;20.11.2024 00:00;5016;601945;96297355265;18.4;272.66956;0.9561;1.1305;1.8643;1.3654;16.287;0.9696;0.7234;1.3065;1.4247;0.6536;0.7859
4;1;40 Layer Full Season Low Res;7mnth/40_low_filtered;40;z;1;1;1;1.00E-06;1.00E-06;coarse;7.58E+06;2.59E+08;2603;36197;50719;0.7;30;25.04.2024 00:00;20.11.2024 00:00;5016;601945;52318651620;11.58;433.2052;0.9566;1.1396;1.8965;1.3771;16.5739;0.9696;0.7238;1.314;1.4379;0.6526;0.7894
3;1;40high_Vico6Dico5;7mnth/40high_Vico6Dico5;40;z;1;1;1;1.00E-06;1.00E-05;fine;7.55E+06;2.54E+08;4935;65900;94077;0.7;30;25.04.2024 00:00;20.11.2024 00:00;5016;601945;96297355265;23.53;213.16335;0.949;0.887;1.2312;1.1096;8.6884;0.9637;0.7487;1.0726;1.1457;0.6905;0.7963
2;1;20 Layer Full Season Low Res;7mnth/20_lowres_contam;20;z;1;1;1;1.00E-06;1.00E-06;coarse;7.58E+06;2.59E+08;2603;18661;26203;0.7;30;25.04.2024 00:00;20.11.2024 00:00;5016;601945;27005660480;5.33;940.94337;0.8544;1.1284;2.3753;1.5412;-2.0451;0.9048;1.0717;1.4747;1.6063;0.9742;1.156
15;0;20 Layer Low Res;7mnth/20Low;20;z;1;1;1;1.00E-06;1.00E-06;coarse;7.58E+06;2.59E+08;2603;18661;26203;0.7;30;25.04.2024 00:00;15.11.2024 00:00;4920;590425;51317379300;5.23;940.05015;0.8544;1.1285;2.3754;1.5412;-2.046;0.9048;1.0717;1.4747;1.6064;0.9742;1.156
1;1;20 Layer Full Season High Res;7mnth/20_highres_filtered;20;z;1;1;1;1.00E-06;1.00E-06;fine;7.55E+06;2.54E+08;4935;34160;48822;0.7;30;25.04.2024 00:00;20.11.2024 00:00;5016;601945;49950599990;11.71;428.31331;0.8401;1.1762;2.605;1.614;-4.2044;0.8918;1.1316;1.545;1.6835;1.0241;1.2253
23;0;40 Layer High Res Dicoww4;7mnth/40High_Dico4;40;z;1;1;1;1.00E-06;1.00E-04;fine;7.55E+06;2.54E+08;4935;65900;94077;0.7;30;25.04.2024 00:00;20.11.2024 00:00;5016;601945;96297355265;23.7;211.62218;0.7356;1.7072;4.4938;2.1199;-17.322;0.8204;1.4444;2.0275;2.2139;1.2923;1.5693
24;0;40 Layer High Res VicoDicoww3;7mnth/40_highresVicDic;40;z;1;1;1;1.00E-03;1.00E-03;fine;7.55E+06;2.54E+08;4935;65900;94077;0.7;30;25.04.2024 00:00;20.11.2024 00:00;5016;601945;96297355265;18.99;264.09254;0.4555;2.4213;8.4926;2.9142;-28.0019;0.4654;2.2001;2.8043;3.0304;1.9829;2.3823
25;0;40 Layer High Res Dicoww3;7mnth/40_highresDic;40;z;1;1;1;1.00E-06;1.00E-03;fine;7.55E+06;2.54E+08;4935;65900;94077;0.7;30;25.04.2024 00:00;20.11.2024 00:00;5016;601945;96297355265;18.02;278.35653;0.4553;2.4245;8.5055;2.9164;-28.0792;0.4645;2.2023;2.8066;3.0325;1.9851;2.3848
