;Depth-averaged uncertainty;Longitude;Latitude;time
1;4.12;6.401747016;62.46578258;0
2;4.12;6.394517812;62.46622895;1
3;4.12;6.39786565;62.46912523;2
4;4.12;6.412072499;62.47335013;3
5;4.12;6.412072499;62.47335013;4
6;4.12;6.412072499;62.47335013;5
7;4.12;6.433445549;62.47569043;6
8;4.12;6.450098895;62.4744608;7
9;4.12;6.472675339;62.47870478;8
10;4.12;6.472847023;62.47430214;9
11;4.12;6.441428854;62.47128734;10
12;4.12;6.41318684;62.46779615;11
13;4.12;6.41318684;62.46779615;12
14;4.12;6.41318684;62.46779615;13
1;4.12;6.401467713;62.4657925;14
