parameter,event,calibration_end_time,point,standard,pre_calibration_value,post_calibration_value
DO (% Sat),1,2020-08-27 13:23:36,1,100.0,134.4,99.3
DO (% Sat),2,2020-09-15 13:38:56,1,100.0,99.0,100.2
DO (% Sat),3,2020-10-09 15:15:12,1,100.0,99.9,98.3
DO (% Sat),4,2020-11-09 14:27:12,1,100.0,101.0,101.3
DO (% Sat),5,2020-12-08 09:43:43,1,100.0,100.0,99.6
DO (% Sat),6,2021-03-24 10:23:50,1,100.0,89.0,98.9
DO (% Sat),7,2021-04-30 10:25:45,1,100.0,108.6,100.5
DO (% Sat),8,2021-06-03 11:30:58,1,100.0,104.6,101.3
DO (% Sat),9,2021-06-29 13:00:44,1,100.0,101.5,100.3
DO (% Sat),10,2021-08-16 16:08:00,1,100.0,98.2,99.7
DO (% Sat),11,2021-10-26 14:49:26,1,100.0,101.0,99.0
DO (% Sat),12,2022-04-22 11:15:39,1,100.0,102.2,101.6
DO (% Sat),13,2022-06-20 13:37:25,1,100.0,100.9,100.1
DO (% Sat),14,2022-09-21 15:16:11,1,100.0,101.2,100.8
DO (% Sat),15,2022-11-02 12:54:01,1,100.0,99.5,99.0
DO (% Sat),16,2023-05-23 10:40:01,1,100.0,102.7,100.9
DO (% Sat),17,2023-07-12 11:37:05,1,100.0,98.5,98.9
DO (% Sat),18,2023-08-18 10:42:58,1,100.0,102.6,101.6
DO (% Sat),19,2023-09-27 12:28:46,1,100.0,100.4,100.2
DO (% Sat),20,2023-10-25 10:39:20,1,100.0,99.3,99.7
DO (% Sat),21,2024-05-24 12:23:06,1,100.0,103.6,100.8
DO (% Sat),22,2024-06-27 10:59:16,1,100.0,98.6,99.7
DO (% Sat),23,2024-08-21 11:33:03,1,100.0,100.2,99.1
DO (% Sat),24,2024-09-27 10:50:34,1,100.0,99.1,99.9
DO (% Sat),25,2024-09-27 11:34:44,1,100.0,99.3,98.6
Sp Cond (µS/cm),1,2020-10-08 14:09:58,1,1000.0,1069.2,1000.0
Sp Cond (µS/cm),2,2020-11-09 14:14:59,1,1000.0,1003.2,1000.0
Sp Cond (µS/cm),3,2020-12-08 09:26:25,1,1000.0,993.4,1000.0
Sp Cond (µS/cm),4,2021-03-24 10:11:43,1,1000.0,999.5,1000.0
Sp Cond (µS/cm),5,2021-04-30 10:28:52,1,1000.0,1004.7,1000.0
Sp Cond (µS/cm),6,2021-06-03 11:17:15,1,1000.0,989.7,1000.0
Sp Cond (µS/cm),7,2021-06-29 11:59:24,1,1000.0,1005.4,1000.0
Sp Cond (µS/cm),8,2021-08-16 15:36:24,1,1000.0,999.3,1000.0
Sp Cond (µS/cm),9,2021-10-26 14:31:59,1,1000.0,1007.1,1000.0
Sp Cond (µS/cm),10,2022-04-22 11:03:09,1,1000.0,1005.2,1000.0
Sp Cond (µS/cm),11,2022-06-20 13:21:10,1,1000.0,990.6,1000.0
Sp Cond (µS/cm),12,2022-09-21 14:59:38,1,1000.0,1005.5,1000.0
Sp Cond (µS/cm),13,2022-11-02 12:39:29,1,1000.0,995.6,1000.0
Sp Cond (µS/cm),14,2023-05-23 10:10:47,1,1000.0,940.0,1000.0
Sp Cond (µS/cm),15,2023-07-12 11:23:42,1,1000.0,999.6,1000.0
Sp Cond (µS/cm),16,2023-08-18 10:30:26,1,1000.0,1004.9,1000.0
Sp Cond (µS/cm),17,2023-09-27 12:15:10,1,1000.0,1002.1,1000.0
Sp Cond (µS/cm),18,2023-10-25 10:26:04,1,1000.0,996.7,1000.0
Sp Cond (µS/cm),19,2024-08-21 11:20:50,1,1000.0,1013.6,1000.0
Sp Cond (µS/cm),20,2024-09-27 10:38:27,1,1000.0,1006.8,1000.0
Turbidity (FNU),1,2020-07-23 14:12:07,1,0.0,1.73,0.0
Turbidity (FNU),1,2020-07-23 14:12:07,2,124.0,126.41,124.0
Turbidity (FNU),2,2020-08-13 13:00:19,1,0.0,-0.86,0.0
Turbidity (FNU),2,2020-08-13 13:00:19,2,124.0,123.15,124.0
Turbidity (FNU),3,2020-09-15 11:14:30,1,0.0,1.25,0.0
Turbidity (FNU),3,2020-09-15 11:14:30,2,12.4,14.01,12.4
Turbidity (FNU),4,2020-10-08 13:57:20,1,0.0,-1.13,0.0
Turbidity (FNU),4,2020-10-08 13:57:20,2,12.4,10.36,12.4
Turbidity (FNU),5,2020-11-09 12:42:04,1,0.0,-0.3,0.0
Turbidity (FNU),5,2020-11-09 12:42:04,2,12.4,12.84,12.4
Turbidity (FNU),6,2020-12-08 09:22:23,1,0.0,-0.77,0.0
Turbidity (FNU),6,2020-12-08 09:22:23,2,12.4,11.03,12.4
Turbidity (FNU),7,2021-03-24 10:52:50,1,0.0,3.11,0.0
Turbidity (FNU),7,2021-03-24 10:52:50,2,12.4,41.04,12.4
Turbidity (FNU),8,2021-04-30 10:55:33,1,0.0,-0.33,0.0
Turbidity (FNU),8,2021-04-30 10:55:33,2,12.4,3.35,12.4
Turbidity (FNU),9,2021-06-03 12:13:55,1,0.0,-236.91,0.0
Turbidity (FNU),9,2021-06-03 12:13:55,2,12.4,-50.93,12.4
Turbidity (FNU),10,2021-06-29 12:38:23,1,0.0,-4.72,0.0
Turbidity (FNU),10,2021-06-29 12:38:23,2,12.4,7.02,12.4
Turbidity (FNU),11,2021-08-16 15:54:53,1,0.0,-4.96,0.0
Turbidity (FNU),11,2021-08-16 15:54:53,2,12.4,9.82,12.4
Turbidity (FNU),12,2021-10-26 15:06:47,1,0.0,-0.21,0.0
Turbidity (FNU),12,2021-10-26 15:06:47,2,12.4,12.33,12.4
Turbidity (FNU),13,2022-04-22 11:41:55,1,0.0,0.41,0.0
Turbidity (FNU),13,2022-04-22 11:41:55,2,12.4,71.62,12.4
Turbidity (FNU),14,2022-06-20 14:01:45,1,0.0,-0.09,0.0
Turbidity (FNU),14,2022-06-20 14:01:45,2,12.4,2.25,12.4
Turbidity (FNU),15,2022-09-21 14:37:09,1,0.0,-0.2,0.0
Turbidity (FNU),15,2022-09-21 14:37:09,2,12.4,11.28,12.4
Turbidity (FNU),16,2022-11-02 13:08:33,1,0.0,0.17,0.0
Turbidity (FNU),16,2022-11-02 13:08:33,2,12.4,12.48,12.4
Turbidity (FNU),17,2023-05-23 11:17:59,1,0.0,0.02,0.0
Turbidity (FNU),17,2023-05-23 11:17:59,2,12.4,11.89,12.4
Turbidity (FNU),18,2023-07-12 11:54:58,1,0.0,0.0,0.0
Turbidity (FNU),18,2023-07-12 11:54:58,2,12.4,12.26,12.4
Turbidity (FNU),19,2023-08-18 11:00:00,1,0.0,-0.08,0.0
Turbidity (FNU),19,2023-08-18 11:00:00,2,12.4,12.18,12.4
Turbidity (FNU),20,2023-09-27 12:40:52,1,0.0,0.06,0.0
Turbidity (FNU),20,2023-09-27 12:40:52,2,12.4,12.41,12.4
Turbidity (FNU),21,2023-10-25 10:59:25,1,0.0,-0.03,0.0
Turbidity (FNU),21,2023-10-25 10:59:25,2,12.4,12.43,12.4
Turbidity (FNU),22,2024-04-19 12:32:15,1,0.0,0.0,0.0
Turbidity (FNU),22,2024-04-19 12:32:15,2,12.4,5.84,12.4
Turbidity (FNU),23,2024-04-19 12:32:15,1,0.0,0.0,0.0
Turbidity (FNU),23,2024-04-19 12:32:15,2,12.4,5.84,12.4
Turbidity (FNU),24,2024-04-19 12:37:57,1,12.4,12.38,12.4
Turbidity (FNU),24,2024-04-19 12:37:57,2,0.0,0.0,0.0
Turbidity (FNU),25,2024-04-19 12:37:57,1,12.4,12.38,12.4
Turbidity (FNU),25,2024-04-19 12:37:57,2,0.0,0.0,0.0
Turbidity (FNU),26,2024-05-24 13:20:11,1,0.0,-0.02,0.0
Turbidity (FNU),26,2024-05-24 13:20:11,2,12.4,12.44,12.4
Turbidity (FNU),27,2024-06-27 11:10:32,1,0.0,-0.05,0.0
Turbidity (FNU),27,2024-06-27 11:10:32,2,12.4,12.79,12.4
Turbidity (FNU),28,2024-08-21 11:44:40,1,0.0,-0.15,0.0
Turbidity (FNU),28,2024-08-21 11:44:40,2,12.4,10.21,12.4
Turbidity (FNU),29,2024-09-27 11:09:16,1,0.0,0.0,0.0
Turbidity (FNU),29,2024-09-27 11:09:16,2,12.4,12.44,12.4
fDOM (QSU),1,2020-07-23 15:51:13,1,0.0,-0.9,0.0
fDOM (QSU),1,2020-07-23 15:51:13,2,300.0,332.65,300.0
fDOM (QSU),2,2020-08-13 14:11:36,1,0.0,0.02,0.0
fDOM (QSU),2,2020-08-13 14:11:36,2,300.0,307.08,300.0
fDOM (QSU),3,2020-09-15 11:40:37,1,0.0,-0.21,0.0
fDOM (QSU),3,2020-09-15 11:40:37,2,300.0,289.54,300.0
fDOM (QSU),4,2020-10-08 14:48:45,1,0.0,1.59,0.0
fDOM (QSU),4,2020-10-08 14:48:45,2,300.0,320.02,300.0
fDOM (QSU),5,2020-11-09 14:50:07,1,0.0,-0.94,-0.01
fDOM (QSU),5,2020-11-09 14:50:07,2,300.0,246.11,300.0
fDOM (QSU),6,2020-12-08 10:42:34,1,0.0,-0.51,0.0
fDOM (QSU),6,2020-12-08 10:42:34,2,300.0,358.74,300.0
fDOM (QSU),7,2021-03-24 11:08:36,1,0.0,-0.16,0.0
fDOM (QSU),7,2021-03-24 11:08:36,2,300.0,276.23,300.0
fDOM (QSU),8,2021-04-30 11:26:18,1,0.0,1.08,0.0
fDOM (QSU),8,2021-04-30 11:26:18,2,300.0,347.05,300.0
fDOM (QSU),9,2021-06-03 12:35:28,1,0.0,-0.24,0.0
fDOM (QSU),9,2021-06-03 12:35:28,2,300.0,291.67,300.0
fDOM (QSU),10,2021-06-29 13:13:26,1,0.0,1.52,0.0
fDOM (QSU),10,2021-06-29 13:13:26,2,300.0,309.55,300.0
fDOM (QSU),11,2021-08-16 16:13:49,1,0.0,-1.21,0.0
fDOM (QSU),11,2021-08-16 16:13:49,2,300.0,271.06,300.0
fDOM (QSU),12,2021-10-26 15:51:16,1,0.0,0.35,0.0
fDOM (QSU),12,2021-10-26 15:51:16,2,300.0,324.13,300.0
fDOM (QSU),13,2022-06-20 14:16:01,1,0.0,0.67,0.0
fDOM (QSU),13,2022-06-20 14:16:01,2,300.0,289.34,300.0
fDOM (QSU),14,2022-09-21 15:28:43,1,0.0,1.05,0.0
fDOM (QSU),14,2022-09-21 15:28:43,2,300.0,281.13,300.0
fDOM (QSU),15,2022-11-02 13:22:32,1,0.0,-1.82,0.0
fDOM (QSU),15,2022-11-02 13:22:32,2,300.0,334.72,300.0
fDOM (QSU),16,2023-08-18 11:09:42,1,0.0,-0.33,0.0
fDOM (QSU),17,2023-08-18 11:12:20,1,0.0,0.33,0.0
fDOM (QSU),17,2023-08-18 11:12:20,2,300.0,290.69,300.0
fDOM (QSU),18,2023-09-27 12:55:13,1,0.0,-0.47,0.0
fDOM (QSU),18,2023-09-27 12:55:13,2,300.0,303.56,300.0
fDOM (QSU),19,2023-10-25 11:08:12,1,0.0,0.1,0.0
fDOM (QSU),19,2023-10-25 11:08:12,2,300.0,309.08,300.0
fDOM (QSU),20,2024-05-24 13:35:49,1,0.0,-0.17,0.0
fDOM (QSU),20,2024-05-24 13:35:49,2,300.0,297.34,300.0
fDOM (QSU),21,2024-06-27 11:22:59,1,0.0,0.02,0.0
fDOM (QSU),21,2024-06-27 11:22:59,2,300.0,325.22,300.0
fDOM (QSU),22,2024-08-21 11:55:51,1,0.0,0.29,0.0
fDOM (QSU),22,2024-08-21 11:55:51,2,300.0,286.14,300.0
fDOM (QSU),23,2024-09-27 11:15:36,1,0.0,0.3,0.0
fDOM (QSU),23,2024-09-27 11:15:36,2,300.0,292.95,300.0
fDOM (RFU),1,2020-07-23 15:58:40,1,0.0,-0.31,0.0
fDOM (RFU),1,2020-07-23 15:58:40,2,100.0,123.66,100.0
fDOM (RFU),2,2020-08-13 14:05:39,1,0.0,0.03,0.0
fDOM (RFU),2,2020-08-13 14:05:39,2,100.0,99.88,100.0
fDOM (RFU),3,2020-09-15 11:37:11,1,0.0,-0.04,0.0
fDOM (RFU),3,2020-09-15 11:37:11,2,100.0,103.82,100.0
fDOM (RFU),4,2020-10-08 14:53:25,1,0.0,0.02,0.0
fDOM (RFU),4,2020-10-08 14:53:25,2,100.0,104.13,100.0
fDOM (RFU),5,2020-11-09 14:46:09,1,0.0,-0.02,0.0
fDOM (RFU),5,2020-11-09 14:46:09,2,100.0,82.96,100.0
fDOM (RFU),6,2020-12-08 10:02:58,1,0.0,-0.01,0.0
fDOM (RFU),6,2020-12-08 10:02:58,2,100.0,112.74,100.0
fDOM (RFU),7,2021-03-24 11:12:11,1,0.0,-0.19,0.0
fDOM (RFU),7,2021-03-24 11:12:11,2,100.0,96.82,100.0
fDOM (RFU),8,2021-04-30 11:22:30,1,0.0,0.13,0.0
fDOM (RFU),8,2021-04-30 11:22:30,2,100.0,111.11,100.0
fDOM (RFU),9,2021-06-03 12:30:53,1,0.0,0.02,0.0
fDOM (RFU),9,2021-06-03 12:30:53,2,100.0,94.84,100.0
fDOM (RFU),10,2021-06-29 13:04:42,1,0.0,-0.06,0.0
fDOM (RFU),10,2021-06-29 13:04:42,2,100.0,103.66,100.0
fDOM (RFU),11,2021-08-16 16:20:49,1,0.0,0.29,0.0
fDOM (RFU),11,2021-08-16 16:20:49,2,100.0,94.0,100.0
fDOM (RFU),12,2021-10-26 15:46:12,1,0.0,-0.41,0.0
fDOM (RFU),12,2021-10-26 15:46:12,2,100.0,103.98,100.0
fDOM (RFU),13,2022-04-22 11:54:43,1,0.0,-0.08,0.0
fDOM (RFU),13,2022-04-22 11:54:43,2,100.0,95.95,100.0
fDOM (RFU),14,2022-06-20 14:11:06,1,0.0,0.13,0.0
fDOM (RFU),14,2022-06-20 14:11:06,2,100.0,91.47,100.0
fDOM (RFU),15,2022-09-21 15:23:45,1,0.0,0.13,0.0
fDOM (RFU),15,2022-09-21 15:23:45,2,100.0,104.44,100.0
fDOM (RFU),16,2022-11-02 13:17:25,1,0.0,-0.29,0.0
fDOM (RFU),16,2022-11-02 13:17:25,2,100.0,102.39,100.0
fDOM (RFU),17,2023-07-12 12:04:45,1,0.0,0.07,0.0
fDOM (RFU),17,2023-07-12 12:04:45,2,100.0,95.2,100.0
fDOM (RFU),18,2023-08-18 11:06:10,1,0.0,-0.07,0.0
fDOM (RFU),18,2023-08-18 11:06:10,2,100.0,102.16,100.0
fDOM (RFU),19,2023-09-27 12:47:31,1,0.0,-0.07,0.0
fDOM (RFU),19,2023-09-27 12:47:31,2,100.0,102.72,100.0
fDOM (RFU),20,2023-10-25 11:04:47,1,0.0,0.06,0.0
fDOM (RFU),20,2023-10-25 11:04:47,2,100.0,100.32,100.0
fDOM (RFU),21,2024-05-24 13:38:44,1,100.0,97.95,99.98
fDOM (RFU),21,2024-05-24 13:38:44,2,0.0,0.0,0.0
fDOM (RFU),22,2024-06-27 11:34:48,1,100.0,103.27,100.0
fDOM (RFU),22,2024-06-27 11:34:48,2,0.0,0.04,0.0
fDOM (RFU),23,2024-08-21 12:00:57,1,100.0,85.34,100.0
fDOM (RFU),23,2024-08-21 12:00:57,2,0.0,0.08,0.0
fDOM (RFU),24,2024-09-27 11:20:23,1,0.0,0.08,0.0
fDOM (RFU),24,2024-09-27 11:20:23,2,100.0,117.24,100.0
pH,1,2021-04-30 10:10:11,1,7.02,7.14,7.02
pH,1,2021-04-30 10:10:11,2,4.0,4.1,4.0
pH,1,2021-04-30 10:10:11,3,10.03,10.09,10.02
pH,2,2021-06-03 11:43:03,1,7.02,7.08,7.02
pH,2,2021-06-03 11:43:03,2,4.0,4.13,4.0
pH,2,2021-06-03 11:43:03,3,10.03,10.18,10.06
pH,3,2021-06-29 11:56:08,1,7.02,6.97,7.02
pH,3,2021-06-29 11:56:08,2,4.0,4.02,4.0
pH,3,2021-06-29 11:56:08,3,10.03,10.07,10.05
pH,4,2021-08-16 15:32:47,1,7.02,6.93,7.02
pH,4,2021-08-16 15:32:47,2,4.0,4.02,4.0
pH,4,2021-08-16 15:32:47,3,10.03,10.03,10.06
pH,5,2021-10-26 14:24:29,1,7.02,7.08,7.02
pH,5,2021-10-26 14:24:29,2,4.0,4.11,4.0
pH,5,2021-10-26 14:24:29,3,10.06,10.14,10.07
pH,6,2022-04-22 10:59:18,1,7.02,7.04,7.02
pH,6,2022-04-22 10:59:18,2,4.0,3.99,4.0
pH,6,2022-04-22 10:59:18,3,10.06,10.16,10.07
pH,7,2022-06-20 13:17:36,1,7.02,7.17,7.02
pH,7,2022-06-20 13:17:36,2,4.0,4.15,4.0
pH,7,2022-06-20 13:17:36,3,10.06,10.23,10.06
pH,8,2022-09-21 14:53:04,1,7.02,7.22,7.02
pH,8,2022-09-21 14:53:04,2,4.0,4.15,4.0
pH,8,2022-09-21 14:53:04,3,10.06,10.21,10.04
pH,9,2022-11-02 12:36:02,1,7.02,7.11,7.02
pH,9,2022-11-02 12:36:02,2,4.0,4.05,4.0
pH,9,2022-11-02 12:36:02,3,10.06,10.1,10.05
pH,10,2023-05-23 10:27:02,1,7.02,7.04,7.02
pH,10,2023-05-23 10:27:02,2,4.0,4.11,4.0
pH,10,2023-05-23 10:27:02,3,10.06,10.16,10.09
pH,11,2023-07-12 11:16:22,1,7.02,7.0,7.02
pH,11,2023-07-12 11:16:22,2,4.0,3.98,4.0
pH,11,2023-07-12 11:16:22,3,10.06,10.09,10.07
pH,12,2023-08-18 10:27:31,1,7.02,7.18,7.02
pH,12,2023-08-18 10:27:31,2,4.0,4.12,4.0
pH,12,2023-08-18 10:27:31,3,10.06,10.17,10.05
pH,13,2023-09-27 12:11:13,1,7.02,7.07,7.02
pH,13,2023-09-27 12:11:13,2,4.0,4.01,4.0
pH,13,2023-09-27 12:11:13,3,10.06,10.04,10.04
pH,14,2024-04-19 11:53:09,1,10.0,9.95,10.0
pH,14,2024-04-19 11:53:09,2,7.0,6.96,7.0
pH,14,2024-04-19 11:53:09,3,4.0,4.02,4.01
pH,15,2024-04-19 11:53:09,1,10.0,9.95,10.0
pH,15,2024-04-19 11:53:09,2,7.0,6.96,7.0
pH,15,2024-04-19 11:53:09,3,4.0,4.02,4.01
pH,16,2024-05-24 12:10:09,1,4.0,4.33,4.0
pH,16,2024-05-24 12:10:09,2,7.0,7.28,7.0
pH,16,2024-05-24 12:10:09,3,10.0,10.21,10.0
pH,17,2024-05-24 12:54:12,1,4.0,3.86,4.0
pH,17,2024-05-24 12:54:12,2,7.0,6.96,7.0
pH,17,2024-05-24 12:54:12,3,10.0,10.03,9.99
pH,18,2024-06-27 10:47:20,1,4.0,4.16,4.0
pH,18,2024-06-27 10:47:20,2,7.0,7.09,7.0
pH,18,2024-06-27 10:47:20,3,10.0,10.11,10.01
pH,19,2024-08-21 11:17:09,1,4.0,3.37,4.0
pH,19,2024-08-21 11:17:09,2,7.0,6.47,7.0
pH,19,2024-08-21 11:17:09,3,10.0,9.44,9.98
pH,20,2024-09-27 10:34:17,1,4.0,4.21,4.0
pH,20,2024-09-27 10:34:17,2,7.0,7.21,7.0
