lag_lower_m,lag_upper_m,pairs,semivariance,fraction_of_sill
0.0,25.0,416,3.091695098350124e-05,0.0011169842261029785
25.0,50.0,3688,0.0011009874025357813,0.03977706477028832
50.0,75.0,7361,0.003180047610525622,0.11489046966853676
75.0,100.0,7100,0.004816396539571437,0.17400936347925133
100.0,125.0,9870,0.006735862910286925,0.24335687642671114
125.0,150.0,10825,0.008136264177386533,0.2939513262610312
150.0,175.0,13160,0.010370746904709535,0.37467991949298596
175.0,200.0,13983,0.011334152543539523,0.40948635634007424
200.0,225.0,15423,0.01297645318758727,0.4688202769100241
225.0,250.0,16620,0.013807191806801815,0.4988336483505778
250.0,275.0,17576,0.01509743442615636,0.5454482273378104
275.0,300.0,18633,0.01579154886763544,0.570525567035899
300.0,325.0,19250,0.01674909910785666,0.6051204568941838
325.0,350.0,20255,0.01708054653025679,0.617095167556985
350.0,375.0,20667,0.018019403310969313,0.651014690060525
375.0,400.0,21677,0.018352785397304804,0.6630592973020595
400.0,425.0,21726,0.019035325255348692,0.6877184642272984
425.0,450.0,22584,0.01954779759638796,0.7062333404697972
450.0,475.0,22752,0.019840611757659467,0.7168122879052797
475.0,500.0,23147,0.020102805828526218,0.7262849762532405
500.0,525.0,23282,0.020483230370246717,0.7400291586129762
525.0,550.0,23493,0.02072400318327341,0.7487279282416107
550.0,575.0,24017,0.020826854794522388,0.7524438065459005
575.0,600.0,24147,0.02142516062779305,0.774059721339871
600.0,625.0,24468,0.021773882861935948,0.786658545688264
625.0,650.0,24496,0.022393519461792667,0.8090451098848883
650.0,675.0,24903,0.023078287021019234,0.8337847603960686
675.0,700.0,24990,0.02387463805735275,0.8625557587555117
700.0,725.0,24938,0.024627888664827523,0.8897696016503303
725.0,750.0,24875,0.025044328494539577,0.9048149636964649
750.0,775.0,24871,0.025788542499236084,0.9317023273480273
775.0,800.0,24805,0.026487898095551524,0.9569690223056916
800.0,825.0,24710,0.027366094310426352,0.9886969672754914
825.0,850.0,24569,0.028165864835972266,1.0175915067795194
850.0,875.0,24341,0.028577996661579053,1.0324812269373536
875.0,900.0,24124,0.02871399811027473,1.0373947603902898
900.0,925.0,23703,0.028780375196287174,1.0397928674381078
925.0,950.0,23454,0.0292416176530965,1.0564568828819314
950.0,975.0,23134,0.029563289391413866,1.068078412374777
975.0,1000.0,22847,0.03027413413069667,1.0937601932661365
1000.0,1025.0,22668,0.030438561019931643,1.09970069631641
1025.0,1050.0,22287,0.030727134418352973,1.1101264311918047
1050.0,1075.0,22073,0.030012492958403247,1.0843074803350714
1075.0,1100.0,21787,0.030288942545585472,1.0942951996402517
1100.0,1125.0,21389,0.02987667889848392,1.0794007169645874
1125.0,1150.0,21315,0.0304087550654048,1.0986238507675654
1150.0,1175.0,21061,0.03029994059666702,1.0946925431422845
1175.0,1200.0,20935,0.03029016273236646,1.0943392832042484
1200.0,1225.0,20474,0.029865053782173037,1.0789807185128384
1225.0,1250.0,20439,0.029535835213209426,1.0670865330652246
1250.0,1275.0,19814,0.02923434797215408,1.056194239940659
1275.0,1300.0,19417,0.029019919003253347,1.0484472348750733
1300.0,1325.0,19064,0.02892205739346587,1.0449116380262122
1325.0,1350.0,18804,0.028914593572911935,1.0446419811046854
1350.0,1375.0,18495,0.028725274714837108,1.0378021676222287
1375.0,1400.0,18375,0.029082973642922193,1.050725306795241
1400.0,1425.0,18091,0.029063549243984722,1.0500235316678597
1425.0,1450.0,17931,0.029352064390849142,1.06044716199969
1450.0,1475.0,17604,0.029464754811803252,1.064518502110357
1475.0,1500.0,17598,0.029485280513247968,1.0652600656867806
1500.0,1525.0,17295,0.029483420455123352,1.0651928645068862
1525.0,1550.0,17155,0.029864734075047902,1.0789691679619469
1550.0,1575.0,17044,0.029926101337489613,1.0811862774105174
1575.0,1600.0,16959,0.030335149393719073,1.0959645854904512
