Time [yyyy.MM.dd HH:mm:ss],NH4 [gN/m3]
2024.08.01 00:00:00,0
2024.08.01 01:00:00,0
2024.08.01 02:00:00,0
2024.08.01 03:00:00,0
2024.08.01 04:00:00,0
2024.08.01 05:00:00,1.59146012341E-11
2024.08.01 06:00:00,1.73639210649E-11
2024.08.01 07:00:00,1.70169885128E-11
2024.08.01 08:00:00,1.63148071441E-11
2024.08.01 09:00:00,1.55078293956E-11
2024.08.01 10:00:00,1.44941419977E-11
2024.08.01 11:00:00,1.36966653297E-11
2024.08.01 12:00:00,1.27335225697E-11
2024.08.01 13:00:00,1.16665427319E-11
2024.08.01 14:00:00,1.04202072318E-11
2024.08.01 15:00:00,9.60420718649E-12
2024.08.01 16:00:00,8.68199435955E-12
2024.08.01 17:00:00,8.07190512347E-12
2024.08.01 18:00:00,7.86660406954E-12
2024.08.01 19:00:00,7.38011821794E-12
2024.08.01 20:00:00,6.94339421028E-12
2024.08.01 21:00:00,6.6303529507E-12
2024.08.01 22:00:00,6.34090739984E-12
2024.08.01 23:00:00,6.01517490331E-12
2024.08.02 00:00:00,5.65646574718E-12
2024.08.02 01:00:00,5.32720742519E-12
2024.08.02 02:00:00,5.01281568338E-12
2024.08.02 03:00:00,4.72353623229E-12
2024.08.02 04:00:00,4.36915737964E-12
2024.08.02 05:00:00,4.03491606446E-12
2024.08.02 06:00:00,3.85577507422E-12
2024.08.02 07:00:00,3.95351936952E-12
2024.08.02 08:00:00,4.01794656574E-12
2024.08.02 09:00:00,3.97521468867E-12
2024.08.02 10:00:00,4.12410426989E-12
2024.08.02 11:00:00,4.26110622481E-12
2024.08.02 12:00:00,4.36219073016E-12
2024.08.02 13:00:00,4.59064643937E-12
2024.08.02 14:00:00,4.89082298966E-12
2024.08.02 15:00:00,5.02920838655E-12
2024.08.02 16:00:00,5.10489090236E-12
2024.08.02 17:00:00,5.31889072716E-12
2024.08.02 18:00:00,5.49251052626E-12
2024.08.02 19:00:00,5.6765386662E-12
2024.08.02 20:00:00,5.94371990861E-12
2024.08.02 21:00:00,6.23817187143E-12
2024.08.02 22:00:00,6.53414778881E-12
2024.08.02 23:00:00,6.83734969684E-12
2024.08.03 00:00:00,7.12150217269E-12
2024.08.03 01:00:00,7.46769659998E-12
2024.08.03 02:00:00,7.79937139178E-12
2024.08.03 03:00:00,8.19434190641E-12
2024.08.03 04:00:00,8.52898827952E-12
2024.08.03 05:00:00,8.83988975769E-12
2024.08.03 06:00:00,9.14866619961E-12
2024.08.03 07:00:00,9.43127693998E-12
2024.08.03 08:00:00,9.70308035309E-12
2024.08.03 09:00:00,9.97420115251E-12
2024.08.03 10:00:00,1.02510352637E-11
2024.08.03 11:00:00,1.05587700042E-11
2024.08.03 12:00:00,1.07687669545E-11
2024.08.03 13:00:00,1.09295680145E-11
2024.08.03 14:00:00,1.1238472826E-11
2024.08.03 15:00:00,1.14611879015E-11
2024.08.03 16:00:00,1.16701700387E-11
