Time [yyyy.MM.dd HH:mm:ss],NH4 [gN/m3]
2024.08.01 00:00:00,0
2024.08.01 01:00:00,0
2024.08.01 02:00:00,0
2024.08.01 03:00:00,0
2024.08.01 04:00:00,0
2024.08.01 05:00:00,8.18486320386E-11
2024.08.01 06:00:00,1.1842934966E-10
2024.08.01 07:00:00,1.29143279404E-10
2024.08.01 08:00:00,1.272626865E-10
2024.08.01 09:00:00,1.18208359767E-10
2024.08.01 10:00:00,1.04672791268E-10
2024.08.01 11:00:00,9.09393185755E-11
2024.08.01 12:00:00,7.87530735069E-11
2024.08.01 13:00:00,6.93403875984E-11
2024.08.01 14:00:00,6.15337225618E-11
2024.08.01 15:00:00,5.64130235581E-11
2024.08.01 16:00:00,5.33471218589E-11
2024.08.01 17:00:00,5.15367644394E-11
2024.08.01 18:00:00,5.03191897872E-11
2024.08.01 19:00:00,4.93707262572E-11
2024.08.01 20:00:00,4.89468118814E-11
2024.08.01 21:00:00,4.90512977458E-11
2024.08.01 22:00:00,4.87537267502E-11
2024.08.01 23:00:00,4.82785061928E-11
2024.08.02 00:00:00,4.83134053597E-11
2024.08.02 01:00:00,4.86673652766E-11
2024.08.02 02:00:00,4.91129290014E-11
2024.08.02 03:00:00,4.95596272354E-11
2024.08.02 04:00:00,5.0050855821E-11
2024.08.02 05:00:00,5.0646143529E-11
2024.08.02 06:00:00,5.1312589594E-11
2024.08.02 07:00:00,5.23540585884E-11
2024.08.02 08:00:00,5.32827358624E-11
2024.08.02 09:00:00,5.38610510359E-11
2024.08.02 10:00:00,5.64208645082E-11
2024.08.02 11:00:00,5.93253154935E-11
2024.08.02 12:00:00,6.22444110143E-11
2024.08.02 13:00:00,6.54416243417E-11
2024.08.02 14:00:00,6.87224582796E-11
2024.08.02 15:00:00,7.139344671E-11
2024.08.02 16:00:00,7.30186258679E-11
2024.08.02 17:00:00,7.3595338157E-11
2024.08.02 18:00:00,7.33991062374E-11
2024.08.02 19:00:00,7.31153332323E-11
2024.08.02 20:00:00,7.32963412187E-11
2024.08.02 21:00:00,7.40874306349E-11
2024.08.02 22:00:00,7.52081244504E-11
2024.08.02 23:00:00,7.69889083041E-11
2024.08.03 00:00:00,7.9140048681E-11
2024.08.03 01:00:00,8.27927865155E-11
2024.08.03 02:00:00,8.984942651E-11
2024.08.03 03:00:00,1.01147291931E-10
2024.08.03 04:00:00,1.17822251955E-10
2024.08.03 05:00:00,1.40866429632E-10
2024.08.03 06:00:00,1.70909425501E-10
2024.08.03 07:00:00,2.08180639394E-10
2024.08.03 08:00:00,2.53337989475E-10
2024.08.03 09:00:00,3.07319364401E-10
2024.08.03 10:00:00,3.64608149228E-10
2024.08.03 11:00:00,4.24842050428E-10
2024.08.03 12:00:00,4.9213649822E-10
2024.08.03 13:00:00,5.70982261472E-10
2024.08.03 14:00:00,6.62915777827E-10
2024.08.03 15:00:00,7.64890428773E-10
2024.08.03 16:00:00,8.80430561789E-10
