Time [yyyy.MM.dd HH:mm:ss],NO3 [gN/m3]
2024.08.01 00:00:00,0
2024.08.01 01:00:00,0
2024.08.01 02:00:00,0
2024.08.01 03:00:00,0
2024.08.01 04:00:00,0
2024.08.01 05:00:00,1.59146012341E-11
2024.08.01 06:00:00,1.74432135402E-11
2024.08.01 07:00:00,1.71686189571E-11
2024.08.01 08:00:00,1.65295849924E-11
2024.08.01 09:00:00,1.57787723859E-11
2024.08.01 10:00:00,1.48148767559E-11
2024.08.01 11:00:00,1.40630337236E-11
2024.08.01 12:00:00,1.31355360616E-11
2024.08.01 13:00:00,1.20923479563E-11
2024.08.01 14:00:00,1.08560582399E-11
2024.08.01 15:00:00,1.00360718E-11
2024.08.01 16:00:00,9.10975028051E-12
2024.08.01 17:00:00,8.51581218736E-12
2024.08.01 18:00:00,8.33011090662E-12
2024.08.01 19:00:00,7.85799550429E-12
2024.08.01 20:00:00,7.43430230571E-12
2024.08.01 21:00:00,7.13274187977E-12
2024.08.01 22:00:00,6.85366607217E-12
2024.08.01 23:00:00,6.53728026573E-12
2024.08.02 00:00:00,6.18848592163E-12
2024.08.02 01:00:00,5.86757985949E-12
2024.08.02 02:00:00,5.55961917129E-12
2024.08.02 03:00:00,5.27664500635E-12
2024.08.02 04:00:00,4.92729338233E-12
2024.08.02 05:00:00,4.59780911261E-12
2024.08.02 06:00:00,4.1643212316E-12
2024.08.02 07:00:00,4.29944014418E-12
2024.08.02 08:00:00,3.88811942711E-12
2024.08.02 09:00:00,3.95191475031E-12
2024.08.02 10:00:00,4.18403289446E-12
2024.08.02 11:00:00,4.41319680453E-12
2024.08.02 12:00:00,4.58587551613E-12
2024.08.02 13:00:00,4.89636066067E-12
2024.08.02 14:00:00,5.28783050333E-12
2024.08.02 15:00:00,5.48670614151E-12
2024.08.02 16:00:00,5.61265010163E-12
2024.08.02 17:00:00,5.90275744949E-12
2024.08.02 18:00:00,6.15041004237E-12
2024.08.02 19:00:00,6.39876389721E-12
2024.08.02 20:00:00,6.73295186965E-12
2024.08.02 21:00:00,7.14568031482E-12
2024.08.02 22:00:00,7.51250884418E-12
2024.08.02 23:00:00,7.89989254568E-12
2024.08.03 00:00:00,8.27377142493E-12
2024.08.03 01:00:00,8.71937591573E-12
2024.08.03 02:00:00,9.15062903922E-12
2024.08.03 03:00:00,9.64627423078E-12
2024.08.03 04:00:00,1.00828061178E-11
2024.08.03 05:00:00,1.04990183214E-11
2024.08.03 06:00:00,1.09114583688E-11
2024.08.03 07:00:00,1.12723120768E-11
2024.08.03 08:00:00,1.16532660258E-11
2024.08.03 09:00:00,1.20319622321E-11
2024.08.03 10:00:00,1.24158790887E-11
2024.08.03 11:00:00,1.2769830332E-11
2024.08.03 12:00:00,1.30818637173E-11
2024.08.03 13:00:00,1.32510053277E-11
2024.08.03 14:00:00,1.36777577112E-11
2024.08.03 15:00:00,1.40175319269E-11
2024.08.03 16:00:00,1.4328838463E-11
